КАРТА_ИД	ДАТУМ_ПРЕГЛЕДА	ВРЕМЕ_ПРЕГЛЕДА	РЕЗУЛТАТ_ПРЕГЛЕДА	НОВИ_ИНТЕРВАЛ
93e718b980ca4bc795a3fad0b18d9910	2020-04-08	21:35:03+0200	1	1
6a902bf1f2de47d4899985eb59cf4b10	2020-04-08	21:35:05+0200	1	1
8563b18c5c2e47a08f95b27ba84ac470	2020-04-08	21:35:07+0200	1	1
d39ee3461ef5460aadefe3548dfdc840	2020-04-08	21:35:08+0200	1	1
bec4a934d4144a4389133ab76d105260	2020-04-08	21:35:10+0200	1	1
d61d2c36c9f34f5791cf01a932312b40	2020-04-08	21:35:12+0200	1	1
735cd4c0bfd04fb5a14f3bc5db4e3ea0	2020-04-08	21:35:14+0200	1	1
ebdbdbf75f9c4c7f9eb157a4dcc2ee60	2020-04-08	21:35:16+0200	1	1
d39ee3461ef5460aadefe3548dfdc840	2020-04-10	08:18:55+0200	1	2
93e718b980ca4bc795a3fad0b18d9910	2020-04-10	08:18:58+0200	1	2
ebdbdbf75f9c4c7f9eb157a4dcc2ee60	2020-04-10	08:19:00+0200	1	2
735cd4c0bfd04fb5a14f3bc5db4e3ea0	2020-04-10	08:19:03+0200	1	2
6a902bf1f2de47d4899985eb59cf4b10	2020-04-10	08:19:07+0200	1	2
bec4a934d4144a4389133ab76d105260	2020-04-10	08:19:15+0200	1	2
d61d2c36c9f34f5791cf01a932312b40	2020-04-10	08:19:24+0200	1	2
8563b18c5c2e47a08f95b27ba84ac470	2020-04-10	08:19:27+0200	1	2
93e718b980ca4bc795a3fad0b18d9910	2020-04-11	07:43:57+0200	1	3
bec4a934d4144a4389133ab76d105260	2020-04-11	07:44:02+0200	1	3
d61d2c36c9f34f5791cf01a932312b40	2020-04-11	07:44:04+0200	1	3
8563b18c5c2e47a08f95b27ba84ac470	2020-04-11	07:44:07+0200	1	3
d39ee3461ef5460aadefe3548dfdc840	2020-04-11	07:44:09+0200	1	3
735cd4c0bfd04fb5a14f3bc5db4e3ea0	2020-04-11	07:44:16+0200	1	3
6a902bf1f2de47d4899985eb59cf4b10	2020-04-11	07:44:20+0200	1	3
ebdbdbf75f9c4c7f9eb157a4dcc2ee60	2020-04-11	07:44:21+0200	1	3
