КАРТА_ИД	ДАТУМ_ПРЕГЛЕДА	ВРЕМЕ_ПРЕГЛЕДА	РЕЗУЛТАТ_ПРЕГЛЕДА	НОВИ_ИНТЕРВАЛ
b48b2ea5336b4eb1a9e7b25ce81dac20	2020-02-09	10:02:09+0100	2	2
c8b0ae613c0e443c9e79f51d1485d970	2020-02-09	10:02:12+0100	2	2
bf7191b3870f48fab725047cf9b1de60	2020-02-09	10:02:14+0100	2	2
7538336d295d47fd98e2a7aacd201990	2020-02-09	10:02:17+0100	2	2
73c21a9dc89c4b189c6ab8fb90c31200	2020-02-09	10:02:19+0100	2	2
cb77ecbb462c49fabdf6a2f6b3cc85d0	2020-02-09	10:02:22+0100	2	2
b5af4a7db4f943f0a20bc3dbdc20dc40	2020-02-09	10:02:24+0100	2	2
6061998fb1704f1ab38beea17bdfbff0	2020-02-09	10:02:26+0100	2	2
b2ca07bce1214b238b87dd28096a60d0	2020-02-09	10:02:28+0100	2	2
0e3d4c03a88e4ed9898216aa64c8e4a0	2020-02-09	10:02:30+0100	2	2
ee2e56f7a72245f6a6b9b87645974460	2020-02-09	10:02:33+0100	2	2
115451ef1d374745bbcbec211b806310	2020-02-09	10:02:41+0100	2	2
075aaaef86914a209bc77664a332ba10	2020-02-09	10:07:55+0100	2	2
00eb0880895944d7805317b6ee4bb0f0	2020-02-09	10:07:58+0100	0	0
01813d0f35ca4b2c8209d5445ea444a0	2020-02-09	10:07:59+0100	2	2
8a9e33bc6e104ddbb06a6b64203f7f90	2020-02-09	10:08:02+0100	2	2
14fba41861244c41b3a6071c59abad00	2020-02-09	10:08:04+0100	0	0
cd978d2f3d1c4b98860103046581f410	2020-02-09	10:08:06+0100	2	2
be6d41e132fe42abab1bd51f7fb4fc40	2020-02-09	10:08:09+0100	2	2
ae82dd1cdea549d7ace7218a7d411240	2020-02-09	10:08:14+0100	0	0
2a479360c75d41a9b23882afc4a6eea0	2020-02-09	10:08:16+0100	2	2
1857ea4c57514376b7f838fbbd3297d0	2020-02-09	10:08:20+0100	2	2
2315ff29b5364abb950fc9eef13246f0	2020-02-09	10:08:21+0100	2	2
6455c66371a44aa08a416c6fe8dc4b60	2020-02-09	10:08:25+0100	2	2
2a8233091ef14977848ffddcb50b02d0	2020-02-09	10:08:27+0100	2	2
1f5df67262cd4537b8ccffb37ef78a10	2020-02-09	10:08:29+0100	2	2
cbaecbea235f4bb79dfe957a2994bcb0	2020-02-09	10:08:31+0100	2	2
9fddb55556b84a769b55b5473a420430	2020-02-09	10:08:33+0100	2	2
0817616900e9456c86d8bed46716f150	2020-02-09	10:08:35+0100	2	2
c2e755119ee8481bbf866c1277c30bb0	2020-02-09	10:08:38+0100	2	2
590bf9a1296d4d788ed4b763e376f360	2020-02-09	10:08:42+0100	2	2
f0e28ba4377f4de8ad97c4f831546330	2020-02-09	10:08:50+0100	2	2
66da2babfe8541aa94d8bd49b66b3b50	2020-02-09	10:08:53+0100	2	2
1fce42810565462a88abf6bcc10e4920	2020-02-09	10:09:01+0100	1	1
39daabcbaa414c34a985dd222452fcc0	2020-02-09	10:09:07+0100	0	0
e5e585f77c5347a282a63311086db6c0	2020-02-09	10:09:10+0100	2	2
ded071fa106f4c97a2257c3bc9e33140	2020-02-09	10:09:12+0100	2	2
6c63425b8e1b4d64b2f279cb5aa37510	2020-02-09	10:09:13+0100	2	2
089cc635f03340e5bc63b20d398643d0	2020-02-09	10:09:15+0100	2	2
6cf552873d4d4dc8931fe9487cd6c710	2020-02-09	10:09:33+0100	1	1
7c0723c3c1c14f39ace5ccb0bd0a9a40	2020-02-09	10:09:37+0100	2	2
86e2c43b206947a5a9d64023d8b8cc80	2020-02-09	10:09:42+0100	1	1
02d7f935edb74776af5ec6b398524a60	2020-02-09	10:09:45+0100	2	2
8730e239d68f47dabcdead19fb276f10	2020-02-09	10:09:51+0100	0	0
281bb3886d204ebdb686424f14be7050	2020-02-09	10:09:52+0100	2	2
eeb011c5f88c4920a657488a06888460	2020-02-09	10:09:54+0100	2	2
9274071b091f47d399cabc031f2d5d30	2020-02-09	10:09:55+0100	2	2
2b1f08a411f446c49368eee77a855e20	2020-02-09	10:09:57+0100	2	2
90b8112baaba42dc8cbde70173481aa0	2020-02-09	10:09:59+0100	2	2
0c8ff7a5c5c1489380e2b2f790d7b4b0	2020-02-09	10:10:04+0100	1	1
11a58e683acc4923b4654aa5d4cdd160	2020-02-09	10:10:06+0100	2	2
b36285a8cc7148f58fabd926d2778270	2020-02-09	10:10:08+0100	2	2
b0a6183d6c6548b08aa9722b4d884530	2020-02-09	10:10:10+0100	2	2
547c46ca1b3c4aa4a8027e72079505d0	2020-02-09	10:10:14+0100	1	1
0e7992fbf2a749a3bd27cf19e4f372f0	2020-02-09	10:10:18+0100	0	0
79702770c2584bd990854c4a1a172740	2020-02-09	10:10:21+0100	0	0
5bf78db51aad46ecb7e89de28915bfc0	2020-02-09	10:10:24+0100	1	1
6323258623ba4876a5b364e9b5224e70	2020-02-09	10:10:29+0100	1	1
c0be68d076e143c692b0913991ddfbf0	2020-02-09	10:14:25+0100	1	1
b0c3758d94274d3f91fc9341fcf0ca30	2020-02-09	10:14:27+0100	2	2
b79963945a15481c907ca0922068ade0	2020-02-09	10:14:31+0100	2	2
1820be846ff94638b314beb1c6b3d880	2020-02-09	10:14:33+0100	2	2
1c9a4e6d6d7d45f5ac753ceb76d964c0	2020-02-09	10:14:38+0100	2	2
188251337cc7475caf127ff870dc9ac0	2020-02-09	10:14:51+0100	0	0
9cb568e30aa846bb84a4760951773870	2020-02-09	10:14:56+0100	0	0
4e1c51c93d9a4b9d9b0591db888602c0	2020-02-09	10:14:58+0100	2	2
86b1e60dbcf549c3b5b49b9104c1fe50	2020-02-09	10:15:02+0100	2	2
f0e97df929f34f5f987f1a0e78b505d0	2020-02-09	10:15:04+0100	2	2
e0d7a4af3ac24f9db4424d99fa248750	2020-02-09	10:15:06+0100	2	2
d5ce3a1b144a4884bacb3116c8b80610	2020-02-09	10:15:08+0100	2	2
e05799fd5e0d461ba8af654c2cf6d190	2020-02-09	10:15:11+0100	2	2
94e1b23122914709b219c3e22620e5a0	2020-02-09	10:15:12+0100	2	2
214d9456f5a249168b26d74cad139770	2020-02-09	10:15:15+0100	2	2
1ab4f7d51ed44955bb86e701f8f1a360	2020-02-09	10:15:17+0100	2	2
c13f3405a4744ff3b16ccf8d3bf98320	2020-02-09	10:15:20+0100	2	2
1941ef8c171c4815b84f481385b246d0	2020-02-09	10:15:21+0100	2	2
1b0bbc80dd2e4b0f8df8cc8a91492910	2020-02-09	10:15:23+0100	2	2
046c43d6ef6b442e973b4194899e7fe0	2020-02-09	10:15:29+0100	2	2
476f332a39d842f9ac9cd29b70e931b0	2020-02-09	10:15:32+0100	2	2
09885acf771f47098099686908a84a10	2020-02-09	10:15:34+0100	2	2
3139ac939a8346f6bb4f35b1a31e45b0	2020-02-09	10:15:37+0100	0	0
ef95621ebc544c92b1c2f9feb8116200	2020-02-09	10:15:40+0100	2	2
9ea4d463c020401a98003c316454aef0	2020-02-09	10:15:42+0100	2	2
0fde47efc9a54c94a7b2336ac758a9d0	2020-02-09	10:15:45+0100	2	2
cd6de1ec0cfa4a0c8cec6514da672ae0	2020-02-09	10:15:47+0100	2	2
039aebf86fd24aab950b2a4f79131f00	2020-02-09	10:15:51+0100	2	2
bb694fc43db94cfdbb602cf7e840d9c0	2020-02-09	10:15:54+0100	2	2
da04cf9d67d440a8acf49aa3922a4450	2020-02-09	10:15:59+0100	2	2
40805d943a284bc3a551c827bdc2b650	2020-02-09	10:16:05+0100	2	2
e76205f03fff4b209520afa0ead6ee80	2020-02-09	10:16:07+0100	2	2
6b9c2f7583474ee8aecc578d34c4a8c0	2020-02-09	10:16:08+0100	2	2
098f257b447d4bacbf15eb23a5dde8a0	2020-02-09	10:16:11+0100	2	2
a2f858e782db4c11aa2610446491e370	2020-02-09	10:16:14+0100	2	2
edbc6e8d076343caa62950498c6d1e60	2020-02-09	10:16:16+0100	2	2
ee4201b47b704218baa6ca8a7d1ce3b0	2020-02-09	10:16:21+0100	2	2
a1127a9e649a45a68122fe99d5b5daf0	2020-02-09	10:16:30+0100	0	0
a27b99cd4b3b4e6196fb633c00da7bb0	2020-02-09	10:16:33+0100	2	2
82aa08cc4e554e36a316f9bcf7e43320	2020-02-09	10:16:35+0100	2	2
9b60d64bacbe449398f965165b05af80	2020-02-09	10:16:38+0100	2	2
8dc05b63dfa744c98f2036368f0c6980	2020-02-09	10:16:42+0100	2	2
a3f90e62416f44439ee992d77e76c280	2020-02-09	10:16:49+0100	2	2
cece734642f342f19e74561231f22730	2020-02-09	10:16:51+0100	2	2
46c331e2cd8247d58edb09a127bb9000	2020-02-09	10:16:53+0100	2	2
f483c724328b47cdb9d76ef9ce12d480	2020-02-09	10:16:55+0100	0	0
88dfe306772a4f5eba95e54ddf222b50	2020-02-09	10:16:57+0100	2	2
577f34f7aada4e6b9098d296103a7b20	2020-02-09	10:16:59+0100	2	2
a7e69be4fbc74c069796e0977cf63530	2020-02-09	10:17:05+0100	1	1
4b56d2f0bf424d198af12924fb597cf0	2020-02-09	10:17:12+0100	1	1
a4f9c0dc1064464d8b1074a4c4ab29c0	2020-02-09	10:17:16+0100	1	1
52bf4242859a4e67a8f14e7a74964f20	2020-02-09	10:17:18+0100	2	2
51735b6e883745fd8164d03a66dc5120	2020-02-09	10:17:23+0100	1	1
