ИД	ДАТУМ	ГЕРМАНСКИ	ПРЕВОД
4723b3788b58484292578f9aebb7b010	2020-04-12	Du kommst aus Jamaika? Wie ist es denn [dort]?	Ti si sa Jamajke? Kako je [tamo]?
733c13d217714fe2bfc865a35ffdf050	2020-04-12	Mein Bruder möchte auch mal [dorthin] fahren.	Moj brat je jednom takođe hteo da putuje [tamo]?
82c18e3ee650451698b84aab77f28d90	2020-04-12	Jochens Frau kommt auch [dorther].	Johensova žena dolazi odatle.
461b75762fc74598bc25a3ff6596a880	2020-04-12	Wo ist die Katze? - [Draußen].	Gde je mačka? - Napolju.
19a2e2ac38ea48f49902a25e8466d480	2020-04-12	Lass die Katze [nach draußen].	Pusti mačku napolje.
536525a78e0247de87ed056bf442fbc0	2020-04-12	Der Hund kommt gerade [von draußen].	Pas dolazi pravo spolja.
d0acdb992f694dada15d0cb3a7222d70	2020-04-12	Den ganzen Tag ist er [drinnen].	Ceo dan je on unutra.
7888d28df3564b13bd5e356e636d4bb0	2020-04-12	Lasst uns [rein]gehen	Ajmo unutra.
09b1bf15a0d44f6198765cbfe60ce390	2020-04-12	Die Sonne kommt [raus]. Lasst uns auch [raus]gehen.	Sunce izlazi. Ajmo i mi da izađemo.
ec6e3570dcdc4d1ba8d7175063b6c2d0	2020-04-12	[Wohin] gehst du jetzt?\n[Wo] gehst du jetzt [hin]?	Kuda sad ideš? (kuda odvojeno)
5047cf6db1a24b7b9aa8db795d41e9b0	2020-04-12	[Woher] kommst du gerade?\n[Wo] kommst du gerade [her]?	Odakle si upravo došao? (odakle odvojeno)
92d7ae85c40b4da794619e78a8a35880	2020-04-12	{SYNO} raus	{SYNO} hinaus / heraus
23d42fcad6224452a7df2da2aebe0610	2020-04-12	{SYNO} rein	{SYNO} hinein / heraus
42b6bcf320234d3a8e968581accf9a30	2020-04-12	{SYNO} rauf	{SYNO} hinauf / herauf
b096dd187b914083bde82c93e43e76b0	2020-04-12	{SYNO} runter	{SYNO} hinunter / herunter
6a5fcaea11494f21bbb204f02e13eb10	2020-04-12	{SYNO} rüber	{SYNO} hinüber / herüber
