ИД	ДАТУМ	ГЕРМАНСКИ	ПРЕВОД
e4a5f2d897b243cea044f4ec96e0ad30	2020-04-12	[die] Dominikanische Republik	Dominikanska Republika
d29d56f174284f18a76ef775c97ab860	2020-04-12	[der] Irak	Irak
4961ea0ce01b4dbd924e1c02a9360f40	2020-04-12	[der] Iran	Iran
4ae41e03bb7342b1b4502de30eb11450	2020-04-12	[der] Jemen	Jemen
e7466a144e1b4bda99014d15ca528aa0	2020-04-12	[der] Libanon	Liban
6134087a51c64f60b766fcbf3ca596c0	2020-04-12	[die] Niederlande (Plural)	Holandija
9497888ce4b346558c8f4e8e54f78d70	2020-04-12	[die] Mongolei	Mongolija
d222bde5626c47dca6d47ddc99935e60	2020-04-12	[die] Schweiz	Švajcarska
34bec9c2a53c4e5baa32d88cec546ab0	2020-04-12	[die] Slowakei	Slovačka
7d2a224492a0471694a60f3eabc64450	2020-04-12	[der] Sudan	Sudan
29fa45427a564f4eb2a7a6b9e6a697a0	2020-04-12	[die] Türkei	Turska
595e96db1cd0499794a371937931dfa0	2020-04-12	[die] Tschechei	Češka
30961975ebda4f1a90e4955bbd7ce620	2020-04-12	[die] USA (Plural)	SAD
