ИД	ДАТУМ	ГЕРМАНСКИ	ПРЕВОД
0544e7ffddde4602b3df4ccfaebfd850	2020-03-23	Januar	Januar
eda601762f754c429e87a7c22249c8a0	2020-03-23	Februar	Februar
11822a24f9184341a7ea81f3a8699500	2020-03-23	März	Mart
ff8378a5d2154765a59582ff46c8cef0	2020-03-23	April	April
c65a345f77c4445fbf4b0fc467754fc0	2020-03-23	Mai	Maj
c61ecf40ed204fe4a1a4a4885610a340	2020-03-23	Juni	Jun
61c565488ba34ec78bbe20759deea440	2020-03-23	Juli	Jul
61432551a20848f79611cdfb7d7a7230	2020-03-23	August	Avgust
b232d7af8ee54e19a6ea02428e3bc180	2020-03-23	September	Septembar
db7b7ce50e8747a8b44f687ea978df40	2020-03-23	Oktober	Oktobar
9ce81b984780431682bebfca124f6600	2020-03-23	November	Novembar
b2cf63fdfe124bc68f805bc70a6ed500	2020-03-23	Dezember	Decembar
