ИД	ДАТУМ	ГЕРМАНСКИ	ПРЕВОД
b64eef9207444f2296b95d857c0497a0	2020-04-12	Er las das Buch [in] 3 Stunden.	Pročitao je tu knjigu za 3 sata.
dab4c2663df7447f92831c2d42140c20	2020-04-12	[In] einer Stunde wollen wir essen.	Za sat vremena želimo da jedemo.
cd04d60d225d436da1d93088b88c3ab0	2020-04-12	Er arbeitet [im] Zentrum der Stadt.	On radi u centru grada.
f6d0dafdfdbe40439053a54d0cb8e970	2020-04-12	Wir gehen heute Abend [ins] Theater.	Večeras idemo u pozorište.
70d29796c765401eb15ebf81ec3c1220	2020-04-12	Meine Freunde sind immer [in] guter Laune.	Moji prijatelji su uvek dobro raspoloženi.
2e470f70e60648aab5dac3c0e020b960	2020-04-12	Das Buch steht [im] Regal.	Knjiga stoji u regalu.
f675c9578e5e4241a6d9b47c0377ecb0	2020-04-12	Ich stelle das Buch [in das] Regal.	Stavljam knjigu u regal.
fd71bec2bd55457e9902a99048b3adb0	2020-04-12	Der Zug fährt [in] fünf Stunden ab	Voz kreće za 5 sati
22123428577a40cbafe3e76272b85a50	2020-04-12	[In] drei Wochen beginnt mein Urlaub.	Za tri nedelje počinje moj odmor.
546b578470214192a85da077d616f0b0	2020-04-12	[Im] Sommer fahren wir immer nach Spanien.	Leti uvek idemo za Španiju.
83896d6088464ce0808177a85b8148f0	2020-04-12	[Im] November ist es in Deutschland kalt und dunkel.	U novembru je u nemačkoj hladno i tamno.
680fa3b04c05444a90fdd25969af7e30	2020-04-12	[In] einer Stunde bin ich bei dir.	Za sat vremena sam kod tebe.
3bb298380f974277b296b0360d25fb50	2020-04-12	[In] der Nacht muss sie arbeiten.	Noću ona mora da radi.
