ИД	ДАТУМ	ГЕРМАНСКИ	ПРЕВОД
373eac0642ce4ad786afd34c75083750	2020-02-06	Steinbock (Sternzeichen)	Jarac (Zodijak)
6dbb2690041e49619c341c5f548218e0	2020-02-06	Wassermann (Sternzeichen)	Vodolija (Zodijak)
52bf4242859a4e67a8f14e7a74964f20	2020-02-06	Fische (Sternzeichen)	Riba (Zodijak)
8730e239d68f47dabcdead19fb276f10	2020-02-06	Widder (Sternzeichen)	Ovan (Zodijak)
bb694fc43db94cfdbb602cf7e840d9c0	2020-02-06	Stier (Sternzeichen)	Bik (Zodijak)
476f332a39d842f9ac9cd29b70e931b0	2020-02-06	Zwilling (Sternzeichen)	Blizanac (Zodijak)
2a5aabb9568b4d259250491466679f30	2020-02-06	Krebs (Sternzeichen)	Rak (Zodijak)
ee2e56f7a72245f6a6b9b87645974460	2020-02-06	Löwe (Sternzeichen)	Lav (Zodijak)
be6d41e132fe42abab1bd51f7fb4fc40	2020-02-06	Jungfrau (Sternzeichen)	Devica (Zodijak)
66da2babfe8541aa94d8bd49b66b3b50	2020-02-06	Waage (Sternzeichen)	Vaga (Zodijak)
82b9342330bc4abcb94fbb0728fbf670	2020-02-06	Skorpion (Sternzeichen)	Škorpija (Zodijak)
3ebd91dea99e4f18a253e925c63a6c00	2020-02-06	Schütze (Sternzeichen)	Strelac (Zodijak)
