ИД	ДАТУМ	ГЕРМАНСКИ	ПРЕВОД
577f34f7aada4e6b9098d296103a7b20	2020-02-08	Woher kommst du? Aus Serbien.	Odakle si ti? Iz Srbije.
c8b0ae613c0e443c9e79f51d1485d970	2020-02-08	Entschuldigung	Izvinite
91f4a5e899f842ccab929a1889c7f540	2020-02-08	Tut mir leid	Žao mi je
b2ca07bce1214b238b87dd28096a60d0	2020-02-08	Vielen Dank	Puno Hvala
c4a53d4066cc49a9b3b5be82b1dcdca0	2020-02-08	Danke	Hvala
0e3d4c03a88e4ed9898216aa64c8e4a0	2020-02-08	Was brauchen Sie? Salz.	Šta Vam treba? Soli.
0426b0a968b44104910d586752c970c0	2020-02-08	Brauchen Sie Salz? Ja/Nein.	Treba li Vam soli? Da/Ne.
02d7f935edb74776af5ec6b398524a60	2020-02-08	Wie viel möchten Sie? Ein Kilo.	Koliko želite? Jedan kilogram.
5afaa2fb905e4574b093b3076194a4e0	2020-02-08	Was(Wie viel) koste[t] Rindfleisch?	Koliko košta govedina?
3ac8998965ab4b83ac2216debddc1450	2020-02-08	Was(Wie viel) koste[n] 100 Gramm Käse?	Koliko košta 100 grama sira?
7b64679ccf4242069dbb6e63ef156220	2020-02-08	Wie gefällt Ihnen das Bad?	Kako Vam se dopada kupatilo?
14fba41861244c41b3a6071c59abad00	2020-02-08	Wie spät ist es?	Koliko je sati?
c56c11811aeb43ea9d12aba41e9d4970	2020-02-08	Der Deutschkurs ist am Dienstag und Donnerstag	Kurs nemačkog je utorkom i četvrtkom
bf7191b3870f48fab725047cf9b1de60	2020-02-08	von Motag bis Freitag	od ponedeljka do petka
4a446f2d3df14aa990510c09c8f52980	2020-02-08	von neun bis zwölf Uhr	od devet do dvanaest sati
9fddb55556b84a769b55b5473a420430	2020-02-08	Es ist halb 7	pola je sedam
3c460278b3c34db58d993e1ffb97eb30	2020-02-08	Es is kurz vor 10	skoro je 10 (sati)
4b56d2f0bf424d198af12924fb597cf0	2020-02-08	Wie findest du Anja? Sie ist sympathisch.	Šta misliš o Anji? Ona je simpatična.
a8e201321f104e07b8f62bae9dc58a40	2020-02-08	Er kann sehr gut Salsa tanzen.	On zna plesati salsu veoma dobro.
f3504c93f93b4a129ed6a891732e7030	2020-02-08	Corina will einen Tanzkurs machen.	Korina želi raditi plesni tečaj.
1c9a4e6d6d7d45f5ac753ceb76d964c0	2020-02-08	Sie [ist] nach England gefahren.	Ona je otputovala u Englesku.
46c331e2cd8247d58edb09a127bb9000	2020-02-08	Ich habe Zeitung gelesen.	Pročitao sam novine.
99c0a71bf4644bbeb2a248edc4529dc0	2020-02-08	Ich habe Russisch gelernt.	Naučio sam Ruski.
6cf552873d4d4dc8931fe9487cd6c710	2020-02-08	Sie hat jeden Tag gelogen.	Lagala je svaki dan.
a1127a9e649a45a68122fe99d5b5daf0	2020-02-08	ihr könnt zusammen schwimmen.	možete zajedno plivati. (2 lice)
