ИД	ДАТУМ	ГЕРМАНСКИ	ПРЕВОД
075aaaef86914a209bc77664a332ba10	2020-02-08	Es regnet	pada kiša
e9d458eaa90b4e86ab01b8c4c73d2320	2020-02-08	Es [sind] 25 Grad	dvadeset pet je stepeni
e76205f03fff4b209520afa0ead6ee80	2020-02-08	Es ist warm	toplo je
a51fc6e06daa48d3b664589ef935dea0	2020-02-08	Die Sonne scheint	Sunce sija
94e1b23122914709b219c3e22620e5a0	2020-02-08	Es ist windig	Vetrovito je
6323258623ba4876a5b364e9b5224e70	2020-02-08	Es [sind] nur 7 Grad	samo je sedam stepeni
1b0bbc80dd2e4b0f8df8cc8a91492910	2020-02-08	Es ist kalt	hladno je
a3f90e62416f44439ee992d77e76c280	2020-02-08	Es schneit	pada sneg
b48b2ea5336b4eb1a9e7b25ce81dac20	2020-02-08	Es ist bewölkt	oblačno je
cd978d2f3d1c4b98860103046581f410	2020-02-08	im Norden	na severu
1f5df67262cd4537b8ccffb37ef78a10	2020-02-08	im Süden	na jugu
edbc6e8d076343caa62950498c6d1e60	2020-02-08	im Osten	na istoku
b4cd5a5162664254af00049689db94e0	2020-02-08	im Westen	na zapadu
11a58e683acc4923b4654aa5d4cdd160	2020-02-08	der Frühling	Proleće
86b1e60dbcf549c3b5b49b9104c1fe50	2020-02-08	der Sommer	Leto
8a9e33bc6e104ddbb06a6b64203f7f90	2020-02-08	der Herbst	Jesen
0817616900e9456c86d8bed46716f150	2020-02-08	der Winter	Zima
