ИД	ДАТУМ	ГЕРМАНСКИ	ПРЕВОД
ded071fa106f4c97a2257c3bc9e33140	2020-02-06	null	0
01813d0f35ca4b2c8209d5445ea444a0	2020-02-06	eins	1
cece734642f342f19e74561231f22730	2020-02-06	zwei	2
bfa582c3f64749918653ab3d602f4b20	2020-02-06	drei	3
aa99bf338c9a4109b197fc2500a42640	2020-02-06	vier	4
9ea4d463c020401a98003c316454aef0	2020-02-06	fünf	5
6329cf6fde614e0b96c9c9fe32ccbf80	2020-02-06	sechs	6
d5ce3a1b144a4884bacb3116c8b80610	2020-02-06	sieben	7
e7462c5cea4a4b888600299f58a35c60	2020-02-06	acht	8
9b0d7497694e4c89bd8421318dd2cf20	2020-02-06	neun	9
c07463aa2cbb4efba65c57bc0d61be80	2020-02-06	zehn	10
59d828f359f84b99b9efc61846020c70	2020-02-06	elf	11
2315ff29b5364abb950fc9eef13246f0	2020-02-06	zwölf	12
f7a75331e46f42e59b5e6809086b2070	2020-02-06	dreizehn	13
7c81674c5ec34cd4a18a79304dc9d590	2020-02-06	vierzehn	14
554702aa18ab4399bd5f6da3db4e7830	2020-02-06	fünfzehn	15
1ab4f7d51ed44955bb86e701f8f1a360	2020-02-06	sechzehn	16
b0c3758d94274d3f91fc9341fcf0ca30	2020-02-06	siebzehn	17
17770807eecc46058d0294c88689d3a0	2020-02-06	achtzehn	18
2390a7131af941bc91da4da31a6d3660	2020-02-06	neunzehn	19
3a11045ae85d4bc6a264a7d2bd051e70	2020-02-06	zwanzig	20
a2f858e782db4c11aa2610446491e370	2020-02-06	einundzwanzig	21
8e839110d1644017b644a71c47bcb850	2020-02-06	drei[ß]ig	30
50c69728ebf84451a3fb472a1ebc9170	2020-02-06	vierzig	40
27e8bfb868954bba829208a206c7a1e0	2020-02-06	fünfzig	50
728e939436634094b0e3d29eddadfbf0	2020-02-06	sechzig	60
7f96bda9b3a64b01ac4b525afb2a00f0	2020-02-06	siebzig	70
cd6de1ec0cfa4a0c8cec6514da672ae0	2020-02-06	achtzig	80
18e894398dd74ba6a97f64f1f9da1f70	2020-02-06	neunzig	90
ea3999db311145e89738cbfc0bdc3710	2020-02-06	hundert	100
2b1f08a411f446c49368eee77a855e20	2020-02-06	zweihundert	200
ab114a69048a4425b66552f292ef1760	2020-02-06	dreihundert	300
3a287ee26bbd432f954e67ce5cc63a10	2020-02-06	vierhundert	400
52a20e3d89204dfd9553698698759d60	2020-02-06	fünfhundert	500
398d12e55a1641c5bf859ca1e3157c90	2020-02-06	sechshundert	600
2b8be8bdc4f24212bf72ac7beefef980	2020-02-06	siebenhundert	700
c9c8407bab3c4480b09fd88335bfe360	2020-02-06	achthundert	800
b792047c21f54a13a8d95eddea0ac550	2020-02-06	neunhundert	900
cbaecbea235f4bb79dfe957a2994bcb0	2020-02-06	tausend	1.000
0228046747b541aa94b97a7e43876e10	2020-02-06	zehntausend	10.000
14ac1d55c1564441bc81f202b728a5e0	2020-02-06	hunderttausend	100.000
cac9e276cbc94381a56c241b620d6b80	2020-02-06	eine Million	1.000.000
