ИД	ДАТУМ	ГЕРМАНСКИ	ПРЕВОД
6507bb9fe6af43418b24eeb86ba9fde0	2020-05-01	Als ich bei Aldi war, habe ich meine Ex-Freundin getroffen.	Kada sam bio kod Aldija, upoznao sam svoju bivšu devojku.
095228e844ee4db484656899dc479d00	2020-05-01	Du hast mich angerufen, als ich gerade gehen wollte.	Ti si ne nazvao, upravo kada sam hteo da idem.
1df244a018cc4748827c57cebec7fec0	2020-05-01	Als ich in Paris gewohnt habe, habe ich oft Wein getrunken.	Kada sam živeo u Parizu, često sam pio vino.
27f5cd5275714affb64aa3f90974f8d0	2020-05-01	als er eintrat, las ich ein Buch	kada je on ušao, čitao sam jednu knjigu
45ce16f489c542d2a356e5286dddff50	2020-05-01	zu der Zeit, als seine Eltern noch lebten	u vreme, kada su mu roditelji još bili živi
efa78824acc3415da0fb6333536a4550	2020-05-01	Als ich 10 war, hatte ich eine Katze.	Kada sam bio 10, imao sam jednu mačku.

3e6fbb841a9447b39d64261a90e11500	2020-05-01	Reiten ist schwerer als ich dachte.	Jahanje je teže nego što sam mislio.
3b4db117971e4cdbb63393f9e22e7630	2020-05-01	eher heute als morgen	rađe danas nego sutra
ecfdca14bd744b89b1548a5b85d6a010	2020-05-01	lieber sterben als unfrei sein	radije umreti nego neslobodan biti
65624301fe54410da09ab2ca68d647f0	2020-05-01	anders, als ich es mir gedacht hatte	drukčije, nego što sam zamišljao
62fb9b7962654a149e9d6bc953e88e60	2020-05-01	ich bin älter als er	ja sam stariji od njega

0ca41ceb8fe34facb130e6ae32b07550	2020-05-01	Als Tierarzt muss man sehr viel über Pferde wissen.	Kao veterinar mora čovek veoma mnogo da zna o konjima.
6f1525c100824e7b9633164f2abdca50	2020-05-01	Du kannst diese Decke als Sattel benutzen.	Ti možeš ovo ćebe kao sedlo koristiti.
1ed87723e4354915b1fee33fe2e5d740	2020-05-01	Als erstes füttere ich mein Pferd.	Kao prvo hranim ja svog konja.
f8648fd068b942d5b1ff1c59f7a45870	2020-05-01	Als zweites kämme ich seine Mähne.	Kao drugo češljam ja njegovu grivu.
7850165304594aa8b09a9ab50ef318d0	2020-05-01	er wurde als Sohn eines Arbeiters geboren	on se rodio kao sin radnika (pasiv)
2186472adcbc49708ad8da34f4807f40	2020-05-01	es sieht so aus, als ob es regnen wollte	izgleda tako, kao da hoće da pada kiša
fbd13bd3bc974b0eb8256b981c897650	2020-05-01	mir kam es vor, als ob ich schon Stunden gewartet hätte	činilo mi se, kao da sam već satima čekao
387c6d7a8882407886bf2a9e21de3960	2020-05-01	als ob es etwas Neues gewesen wäre!	kao da je to bilo nešto novo!
a7c29766a3834f529cdb3c15f9400680	2020-05-01	ich habe als Mädchen immer davon geträumt	ja sam kao devojka uvek otom sanjala

925e8743e45c448088b275c08792f9f0	2020-05-01	Mit meinem neuen Handy habe ich nichts als Ärger.	Sa mojim novim mobilnim nemam ništa sem problema.
1d43873fcb6b4e6b998d77ae3734a750	2020-05-01	Der Film war alles andere als spannend.	Film je bio sve drugo sem uzbudljiv.
