ИД	ДАТУМ	ГЕРМАНСКИ	ПРЕВОД
dda2183cc84f4445bf5134c4ce71a5c0	2020-05-01	er fragte, ob sie schon da sei	on je pitao, da li je ona već tu
4f5445cf7d574c93a0f46c27f47800e0	2020-05-01	Ich weiß nicht, ob ich Zeit habe.	Ne znam da li imam vremena.
7d5bc936f06c43bd8344181c31361d80	2020-05-01	Ob er mich liebt?	Da li on mene voli?
71c81be2d9424584a2bf73fe465f6fb0	2020-05-01	sie mussten sich fügen, ob es ihnen passte oder nicht	morali su se potčiniti, bilo da im to odgovara ili ne

6177560b67d14ab9b0417ffdfe3a2680	2020-05-01	er fragte sie, ob sie noch käme	pitao ju je, hoće li doći
e2aa361b9a7b4ce59530233d85ccb230	2020-05-01	ob es wohl regnen wird?	hoće li kiša?
d416366d757d4e189863b27e1ae334a0	2020-05-01	ob Arm, ob Reich, ob Mann, ob Frau, alle waren betroffen	bilo siromašan, bilo bogat, bilo muško, bilo žensko, svi si bili pogođeni

2c5d83aa1608440ba4b44a183740d860	2020-05-01	'Kommst du mit?' – 'Und ob!'	'Ideš li sa nama?' – 'I te kako!'
e702625ac3e344b8a0bab5d4f9f2e370	2020-05-01	'Kann ich zu deiner Geburtstagsparty kommen?' – 'Und ob!'	'Can I come to your birthday party?' – 'Of course!'
9484c6dce02e435a807793ae868f6930	2020-05-01	'Ich habe dein letztes Bier nicht getrunken.' – 'Und ob du das hast. Ich habe Beweise.'	'I did not drink your last  beer.' – 'Oh, You so did! I have evidence.'

f941db83a2ce41fab6822189c406ed20	2020-05-01	Du siehst aus als ob du etwas Schlaf gebrauchen könntest.	You look as if you could use some sleep.
4aa007282d9c4645804a08df584e86b0	2020-05-01	er tut so, als ob er müde wäre	pravi se, kao da je umoran

d35734a9964f4c709c496ac6c6642260	2020-05-01	Ob des starken Regens wurde das Fussballspiel abgesagt.	Wegen dem starken Regen wurde das Fussballspiel abgesagt.
805f44a5051f497980346a3ee2b26990	2020-05-01	sie fielen ob ihrer sonderbaren Kleidung auf	isticali su se zbog svoje čudne odeće
