ИД	ДАТУМ	ГЕРМАНСКИ	ПРЕВОД
c0b1b0313fa447bbb25406833b31d3d0	2020-05-01	wann kommt er?	kada on dolazi?
67d7253b1fde46659252e75522a08b00	2020-05-01	wann bist du geboren?	kada si ti rođen?
0de999df0b0f47e5beff0d74135b2130	2020-05-01	bis wann wirst du bleiben?	do kada ćeš ostati?
e924d8001a824532a9271dfc144df330	2020-05-01	seit wann weißt du es?	od kada to znaš?
aeec3b351c8f452da46a412c46d15cb0	2020-05-01	du bist wann morgen in Rom?	kada si sutra u Rimu?
23a36f79b12643ff8eef7ccdbc2f9c30	2020-05-01	frag ihn doch, wann es ihm passt	pitaj ga, kada mu odgovara
3d92ec0481f54e988ab6a1e8bd449fb0	2020-05-01	von wann bis wann gilt es?	od kad do kad to važi?
c1edd900e3b24ebca0cb48122ab2aec0	2020-05-01	ich weiß nicht, wann	ne znam kada
70f3045cd94e4205af48a0ab1b7dae70	2020-05-01	du kannst kommen, wann immer du willst	možeš doći, kad god želiš
29ca16469928407796dc9cd56f655bd0	2020-05-01	Wann kommt der Bus?	Kada dolazi autobus?
87343a077ebd4063a95b140d9d1c49c0	2020-05-01	Ich weiß genau, wann der Bus kommt.	Ja znam tačno, kada dolazi autobus.
17fa4da557374e2096036e1f3c0374c0	2020-05-01	Seit wann lernst du Deutsch?	Od kada učiš Nemački?
e73cc5a05ae84d60971b4892fba12160	2020-05-01	Bis wann musst du arbeiten?	Do kada moraš da radiš?
d1cdb44ff55b416e8d0dac47d9fe82a0	2020-05-01	Thomas fragt Maria, wann genau sie nach Hause kommt.	Tomas pita mariju, kada tačno ona dolazi kući.
1f7a05bb59e444cf94f83219c0ad0930	2020-05-01	Ich werde meinen Chef fragen, bis wann er morgen im Büro ist.	Pitaću mog šefa od kada je on sutra u kancelariji.
b77f41c017ef473cbfdd36408ca52210	2020-05-01	Wenn ich mit der Arbeit fertig bin, rufe ich dich an und sage dir, wann ich zuhause bin.	Kada završim sa poslom, pozvaću te da ti kažem, kada ću biti kod kuće.
2d17528210564a80994b56461ab67810	2020-05-01	Dann und wann esse ich Sushi.	S vremena na vreme jedem ja suši.
f9bbba9a3bf5446eb0d8a404946de180	2020-05-01	Das muss ich dir mal wann anders erklären.	To ti moram objasniti neki drugi put.
fbb97085eb5e469294ab648f0f183650	2020-05-01	Hast du morgen irgendwann (mal) Zeit?	Imaš li sutra u nekom momentu vremena?
e1474bb23823441ba801678356b9b4b0	2020-05-01	Ruf an, wann du willst!	Pozovi, kad god hoćeš!
