ИД	ДАТУМ	ГЕРМАНСКИ	ПРЕВОД
a79c8983a3f047639eb7a63a98c573f0	2020-05-01	Ich rufe dich an wenn ich mein Handy finde.	Nazvaću te kada/ako nađem moj mobitel.
00f0e30fc0054389bae659a0ee48ef30	2020-05-01	Wenn ich 40 bin, will ich eine Katze haben.	Kada budem imao 40, hoću da imam jednu mačku.
3873e419bf0d4a35b36278711b7f1480	2020-05-01	wenn er doch endlich käme!	kada bi on napokon došao!
87a5098a43534b40a6b46858dadd20b0	2020-05-01	jedes Mal, wenn wir kommen	svaki put kada mi dođemo
d3acac7a29f04d2589fa41855edad220	2020-05-01	wenn Weihnachten naht, duftet es immer nach Pfefferkuchen	kada se bliži Božić, miriše uvek na medenjake

e70751a8afb24fe99e6c5844a7ea2840	2020-05-01	wenn es dir recht ist, komme ich mit	ako vam odgovara, poći ću sa vama
5dbf7da81062438da741f31332078b80	2020-05-01	wenn er schon nichts weiß, sollte er den Mund halten	ako on već ništa nezna, treba bi da drži usta (zatvorena)
b7b4b5b764fd4802947fe33b2e5edd30	2020-05-01	wenn es nicht anders geht	ako nema drugog načina
7fdefc09d8804adba1c97060fd44d7c0	2020-05-01	wenn es auch anstrengend war, Spaß hat es doch gemacht	iako je bilo iscrpljujuće, bilo je zabavno
f22b10b0e9c5424d8bf84665cf563a30	2020-05-01	Wenn ich auch müde war, so habe ich doch Hausaufgaben gemacht.	Obwohl ich müde war, habe ich Hausaufgaben gemacht.

610750088fba4734895e120ffe028c50	2020-05-01	Wenn du mich eingeladen hättest, wäre ich zu deiner Party gekommen.	Da si me pozvao, došao bih ja na tvoj Parti.
1f5eb8547cce4729b4f5ba43c3c18f50	2020-05-01	ach, wenn ich doch aufgepasst hätte	ah, da sam obraćao pažnju
a9404e32a6fd429b8e56f12165c42ad0	2020-05-01	der Hund schaute ihn an, als wenn er alles verstanden hätte	pas ga je pogledao kao da je sve razumeo
d4dab775ce9049fea7db0863a742fea0	2020-05-01	Es riecht als wenn es brennt.	Miriše kao da gori. (kondicional)
