ИД	ДАТУМ	ГЕРМАНСКИ	ПРЕВОД
b617bcec8028473a8053781aca8504b0	2020-04-08	Ich krieche um die Kirche herum.	Ja puzim oko crkve.
949c4d8a1c9f4806831846a3cb6c3ef0	2020-04-08	Es soll ihm aber nicht gelingen.	Ali to mu ne bi trebalo uspeti.
accebb0f24044be38287f0ac862cb5c0	2020-04-08	Was benötigen bäume um sich am leben zu erhalten?	Šta treba drveću da bi se održalo u životu?
32057bdb37cf48ceaf812e64eb379870	2020-04-08	Er hat keine Rechnung erhalten.	On nije dobio račun.
e4873921c84a418db8ede9b6185d0910	2020-04-08	Blut und Tränen können fließen.	Krv i suze mogu teći.
b56fddb10988404fbfe8236d1695a7e0	2020-04-08	Er brach sich beide Beine.	Polomio je obe noge.
2f19d1162c51498e9b7a015826244130	2020-04-09	ich bin einverstanden	slažem se
51f42c3867df4e6ab922b665f4202500	2020-04-10	Sie waren Feinde.\nSie wurden Freunde.	Bili su neprijatelji\nPostali su prijatelji.
6a5a5c064b904718ac40328c698384d0	2020-04-11	das Insekt hat ihm/ihn ins Bein gestochen	insekt ga je ubo u nogu
cd20b2bf041f4416826016232c712600	2020-04-11	er verlässt sich darauf, dass du kommst	on se oslanja na to, da ćeš doći
9bb9b852ef4b4f19ba7b14a90a40d450	2020-04-11	einen Meter tief graben	iskopati metar duboko
179aaba6ec164f92bb0e0bdc4db71a50	2020-04-11	eine Laterne schien durch die Büsche	jedna lampa je sijala kroz žbunje
68e7a4cc518047ae86652e464342bcc0	2020-04-11	es scheint, dass…/als ob …	izgleda da…/kao da…
96645ef29ef74292bafda75a67891520	2020-04-11	die Feder ist gebrochen	pero se polomilo
a6c13274aace48dc90f77a04d1a32c20	2020-04-11	wenn ich das gewusst hätte!	da sam to znao!
48ee942be15c478494c94b5e2b8bef00	2020-04-11	Ich habe nicht gewusst, dass der Vogel dir gehört	nisam znao da ptica tebi pripada
bc2f7f0a02264c339478011ace5f3e00	2020-04-11	er ist moralisch tief gesunken	on je duboko moralno potonuo
d5c91a8abe3c45d481092222c26700c0	2020-04-11	er [hat] ihm ein Messer in die Rippen [stoßen](proveri)	gurnuo mu je nož u rebra
dc065e45d4a54348976205c1e2a3e9d0	2020-04-11	er [ist] auf alte Bekannte [stoßen](proveri)	on je naleteo na stare poznanike
086ee7cedea74dd4a4546b067ecc89c0	2020-04-11	es gelang ihr nicht, es zu tun	nije joj uspelo to da uradi
911456b83c2a464da6f67cde3f0d87d0	2020-04-11	es gelang mir nicht, ihn zu überreden	nije mi uspelo da ga ubedim
403fa0a122324802b1d8c7ee597d16a0	2020-04-11	der Kuchen ist mir nicht gelungen	kolač mi je nije uspeo
f7581693d4b646da8706983a83081a80	2020-04-11	ich weiß ein gutes Lokal	znam jedan dobar lokal
ea75c28b8a45467c8c1881e38f0b71d0	2020-04-11	das ist nicht zu verzeihen	to je neoprostivo
a878ab25a942425a9258ece068b37800	2020-04-11	verzeihen Sie [bitte] die Störung	oprostite na uznemiravanju
ae6adffc43aa4dea9a00f5efde027750	2020-04-11	die Sava fließt in die, zur Donau	Sava teče u Dunav
e64539e52314410cb4f72ea0ff97aac0	2020-04-11	du musst blasen, der Tee ist sehr heiß	moraš duvati, čaj je veoma vreo
732e0de68cd84eaa92b3eab389728460	2020-04-11	er hat nichts mehr zu verlieren(proveri)	on nema više šta da izgubi
27efe5bec97147fe832a409280288320	2020-04-11	der Weg verliert sich im Nebel	put se gubi u magli
