ИД	ВРСТА_КАРТЕ	ПИТАЊЕ	ОДГОВОР	ИЗВОР	ЛИНИЈА
089455902fdc4399b002e00b8ff33060	ПРЕВОД <= ГЕРМАНСКИ	Ich habe den Hund	Ja imam psa	de_Basic/извор/Akkusativ.tsv	2
590bf9a1296d4d788ed4b763e376f360	ПРЕВОД <= ГЕРМАНСКИ	Ich möchte einen Hund	Voleo bih (da imam) jednog psa	de_Basic/извор/Akkusativ.tsv	3
6061998fb1704f1ab38beea17bdfbff0	ПРЕВОД <= ГЕРМАНСКИ	Ich habe keinen Hund	Ja nemam psa	de_Basic/извор/Akkusativ.tsv	4
089455902fdc4399b002e00b8ff33061	ГЕРМАНСКИ <= ПРЕВОД	Ja imam psa	Ich habe den Hund	de_Basic/извор/Akkusativ.tsv	2
590bf9a1296d4d788ed4b763e376f361	ГЕРМАНСКИ <= ПРЕВОД	Voleo bih (da imam) jednog psa	Ich möchte einen Hund	de_Basic/извор/Akkusativ.tsv	3
6061998fb1704f1ab38beea17bdfbff1	ГЕРМАНСКИ <= ПРЕВОД	Ja nemam psa	Ich habe keinen Hund	de_Basic/извор/Akkusativ.tsv	4
e2b46b71ce8345c9a7cd1e192bbc6c30	ПРЕВОД <= ГЕРМАНСКИ	[Der] Apfelbaum wird heute gefällt.	Jabukovo drvo će danas pasti.	de_Basic/извор/Bestimmterartikel.tsv	2
9718a7d9ea484fc2af55ca218085d8f0	ПРЕВОД <= ГЕРМАНСКИ	Die Äste [des Birnbaumes] werden heute geschnitten.	Grane [kruške] će danas biti posečene.	de_Basic/извор/Bestimmterartikel.tsv	3
c5a2a759be7e430295a06e3976df73a0	ПРЕВОД <= ГЕРМАНСКИ	Ich schenke [dem] Vater ein Buch.	Poklanjam ocu jednu knjigu.	de_Basic/извор/Bestimmterartikel.tsv	4
1b603616fc414a8f9d7068d34964fbb0	ПРЕВОД <= ГЕРМАНСКИ	[Wessen] Äste werden heute geschnitten?	Čije grane će danas biti posečene?	de_Basic/извор/Bestimmterartikel.tsv	5
95ca7693f0eb4598bd5440ad58991590	ПРЕВОД <= ГЕРМАНСКИ	Ich komme aus [dem] Garten	Dolazim iz bašte	de_Basic/извор/Bestimmterartikel.tsv	6
24bf988214c74aef824eaaffc5b4ac80	ПРЕВОД <= ГЕРМАНСКИ	Du gehst in [den] Garten	Ti ideš u baštu	de_Basic/извор/Bestimmterartikel.tsv	7
2f0d4e42abf341f4b61280fda9ebac90	ПРЕВОД <= ГЕРМАНСКИ	Ich hab den Namen [des Lehrers] vergessen.	Zaboravio sam [učiteljevo] ime.	de_Basic/извор/Bestimmterartikel.tsv	8
e5e29ce12fa3448fad8f8c67346e0030	ПРЕВОД <= ГЕРМАНСКИ	Ich gebe [der] Mutter ein Geschenk.	Dao sam majci jedan poklon.	de_Basic/извор/Bestimmterartikel.tsv	9
c1240a59bf924beea72cd69b77f15db0	ПРЕВОД <= ГЕРМАНСКИ	Die Uhr zeigt [die] Zeit an	Sat pokazuje vreme	de_Basic/извор/Bestimmterartikel.tsv	10
50ac58e4d14e4f22b4dae26392dc8bc0	ПРЕВОД <= ГЕРМАНСКИ	Heute ist [der] 20. August.	Danas je dvadeseti Avgust.	de_Basic/извор/Bestimmterartikel.tsv	11
7ed8487c4bd54ecc8d2d75114dff3130	ПРЕВОД <= ГЕРМАНСКИ	Der Hund rennt.	The dog is running.	de_Basic/извор/Bestimmterartikel.tsv	12
d43b9114f4fb4c63a2a99d4a2467f6b0	ПРЕВОД <= ГЕРМАНСКИ	Die Katze rennt.	The cat is running.	de_Basic/извор/Bestimmterartikel.tsv	13
e9f34cdc5876490c870b28b231a76ca0	ПРЕВОД <= ГЕРМАНСКИ	Das Pferd rennt.	The horse is running.	de_Basic/извор/Bestimmterartikel.tsv	14
9caa2e7b7df24b8abc4e7d6e630eead0	ПРЕВОД <= ГЕРМАНСКИ	Die Tiere rennen.	The animals are running.	de_Basic/извор/Bestimmterartikel.tsv	15
ed9406f1feef47de94644a6aa4f58b00	ПРЕВОД <= ГЕРМАНСКИ	Er lacht wegen des Hundes.	He laughs because of the dog.	de_Basic/извор/Bestimmterartikel.tsv	16
ce3ecc27e1224281a6935400e7ccc190	ПРЕВОД <= ГЕРМАНСКИ	Sie lacht wegen der Katze.	She laughs because of the cat.	de_Basic/извор/Bestimmterartikel.tsv	17
dfdc79648a2346499b3714d679fc3560	ПРЕВОД <= ГЕРМАНСКИ	Es lacht wegen des Pferdes.	It laughs because of the horse.	de_Basic/извор/Bestimmterartikel.tsv	18
ddd9b63e5d4c48cc94103ba83a2f3520	ПРЕВОД <= ГЕРМАНСКИ	Sie lachen wegen der Tiere.	They laugh because of the animals.	de_Basic/извор/Bestimmterartikel.tsv	19
2c8e88001ec943699941698d710585e0	ПРЕВОД <= ГЕРМАНСКИ	Er spielt mit dem Hund.	He plays with the dog.	de_Basic/извор/Bestimmterartikel.tsv	20
1d9dfd865c5f409bb9abbb12337ca960	ПРЕВОД <= ГЕРМАНСКИ	Sie spielt mit der Katze.	She plays with the cat.	de_Basic/извор/Bestimmterartikel.tsv	21
fcad49fdc92346919e2d9cecf23b5bd0	ПРЕВОД <= ГЕРМАНСКИ	Es spielt mit dem Pferd.	It plays with the horse.	de_Basic/извор/Bestimmterartikel.tsv	22
d175fbbd20174ea48733962c8d9ebc50	ПРЕВОД <= ГЕРМАНСКИ	Sie spielen mit den Tieren.	They play with the animals.	de_Basic/извор/Bestimmterartikel.tsv	23
f09efc23883f460282228a45321a1840	ПРЕВОД <= ГЕРМАНСКИ	Er küsst den Hund.	He kisses the dog.	de_Basic/извор/Bestimmterartikel.tsv	24
03632522c5a44033a14f97e622675380	ПРЕВОД <= ГЕРМАНСКИ	Sie küsst die Katze.	She kisses the cat.	de_Basic/извор/Bestimmterartikel.tsv	25
521eee45d8dd44fcbbaed51eb91d4990	ПРЕВОД <= ГЕРМАНСКИ	Es küsst das Pferd.	It kisses the horse.	de_Basic/извор/Bestimmterartikel.tsv	26
2bcd1fffa1094d9897cff50d437664f0	ПРЕВОД <= ГЕРМАНСКИ	Sie küssen die Tiere.	They kiss the animals.	de_Basic/извор/Bestimmterartikel.tsv	27
63f681e4a6434808bc8e68d855ee4c20	ПРЕВОД <= ГЕРМАНСКИ	Der weiße Hund.	The white dog.	de_Basic/извор/Bestimmterartikel.tsv	28
562388cb5dbd41c39e7f3407eaa92130	ПРЕВОД <= ГЕРМАНСКИ	Die weiße Katze.	The white cat.	de_Basic/извор/Bestimmterartikel.tsv	29
415a742b491c4dbc824085924d012cf0	ПРЕВОД <= ГЕРМАНСКИ	Das weiße Pferd.	The white horse.	de_Basic/извор/Bestimmterartikel.tsv	30
b4e5b5efe16144dc8ce5f9a5e6cc51a0	ПРЕВОД <= ГЕРМАНСКИ	Die weißen Tiere.	The White animals.	de_Basic/извор/Bestimmterartikel.tsv	31
93bbe90a4ce24c32967f130f0eb51280	ПРЕВОД <= ГЕРМАНСКИ	Er lacht wegen des weißen Hundes.	He laughs because of the white dog.	de_Basic/извор/Bestimmterartikel.tsv	32
fa1937a74388403195cc9c93f0e27b60	ПРЕВОД <= ГЕРМАНСКИ	Sie lacht wegen der weißen Katze.	She laughs because of the white cat.	de_Basic/извор/Bestimmterartikel.tsv	33
71741e34d6d44d219460cf63a9873480	ПРЕВОД <= ГЕРМАНСКИ	Es lacht wegen des weißen Pferdes.	It laughs because of the white horse.	de_Basic/извор/Bestimmterartikel.tsv	34
ba1fb4f6c27b42baa7a17abd1b30b810	ПРЕВОД <= ГЕРМАНСКИ	Sie lachen wegen der weißen Tiere.	They laugh because of the white animals.	de_Basic/извор/Bestimmterartikel.tsv	35
6d13ff23963045bd870134a4bc1ce2e0	ПРЕВОД <= ГЕРМАНСКИ	Er spielt mit dem weißen Hund.	He plays with the white dog.	de_Basic/извор/Bestimmterartikel.tsv	36
81f719370d454badb83555c681e80710	ПРЕВОД <= ГЕРМАНСКИ	Sie spielt mit der weißen Katze.	She plays with the white cat.	de_Basic/извор/Bestimmterartikel.tsv	37
f6f502e7ae3f45c69f96d1e3fffd6070	ПРЕВОД <= ГЕРМАНСКИ	Es spielt mit dem weißen Pferd.	It plays with the white horse.	de_Basic/извор/Bestimmterartikel.tsv	38
5ea2b547d02440a095121bad6a8bf800	ПРЕВОД <= ГЕРМАНСКИ	Sie spielen mit den weißen Tieren.	They play with the white animals.	de_Basic/извор/Bestimmterartikel.tsv	39
04a2c7ecdf8649dab23263cae95e7440	ПРЕВОД <= ГЕРМАНСКИ	Er küsst den weißen Hund.	He kisses the white dog.	de_Basic/извор/Bestimmterartikel.tsv	40
bd69597a83644fca9ff94657a7dd5270	ПРЕВОД <= ГЕРМАНСКИ	Sie küsst die weiße Katze.	She kisses the white cat.	de_Basic/извор/Bestimmterartikel.tsv	41
e2ff3d64ea994a91a41d04ca01b88140	ПРЕВОД <= ГЕРМАНСКИ	Es küsst das weiße Pferd.	It kisses the white horse.	de_Basic/извор/Bestimmterartikel.tsv	42
7cae7e77203449fdb29cf86233205b70	ПРЕВОД <= ГЕРМАНСКИ	Sie küssen die weißen Tiere.	They kiss the white animals.	de_Basic/извор/Bestimmterartikel.tsv	43
e2b46b71ce8345c9a7cd1e192bbc6c31	ГЕРМАНСКИ <= ПРЕВОД	Jabukovo drvo će danas pasti.	[Der] Apfelbaum wird heute gefällt.	de_Basic/извор/Bestimmterartikel.tsv	2
9718a7d9ea484fc2af55ca218085d8f1	ГЕРМАНСКИ <= ПРЕВОД	Grane [kruške] će danas biti posečene.	Die Äste [des Birnbaumes] werden heute geschnitten.	de_Basic/извор/Bestimmterartikel.tsv	3
c5a2a759be7e430295a06e3976df73a1	ГЕРМАНСКИ <= ПРЕВОД	Poklanjam ocu jednu knjigu.	Ich schenke [dem] Vater ein Buch.	de_Basic/извор/Bestimmterartikel.tsv	4
1b603616fc414a8f9d7068d34964fbb1	ГЕРМАНСКИ <= ПРЕВОД	Čije grane će danas biti posečene?	[Wessen] Äste werden heute geschnitten?	de_Basic/извор/Bestimmterartikel.tsv	5
95ca7693f0eb4598bd5440ad58991591	ГЕРМАНСКИ <= ПРЕВОД	Dolazim iz bašte	Ich komme aus [dem] Garten	de_Basic/извор/Bestimmterartikel.tsv	6
24bf988214c74aef824eaaffc5b4ac81	ГЕРМАНСКИ <= ПРЕВОД	Ti ideš u baštu	Du gehst in [den] Garten	de_Basic/извор/Bestimmterartikel.tsv	7
2f0d4e42abf341f4b61280fda9ebac91	ГЕРМАНСКИ <= ПРЕВОД	Zaboravio sam [učiteljevo] ime.	Ich hab den Namen [des Lehrers] vergessen.	de_Basic/извор/Bestimmterartikel.tsv	8
e5e29ce12fa3448fad8f8c67346e0031	ГЕРМАНСКИ <= ПРЕВОД	Dao sam majci jedan poklon.	Ich gebe [der] Mutter ein Geschenk.	de_Basic/извор/Bestimmterartikel.tsv	9
c1240a59bf924beea72cd69b77f15db1	ГЕРМАНСКИ <= ПРЕВОД	Sat pokazuje vreme	Die Uhr zeigt [die] Zeit an	de_Basic/извор/Bestimmterartikel.tsv	10
50ac58e4d14e4f22b4dae26392dc8bc1	ГЕРМАНСКИ <= ПРЕВОД	Danas je dvadeseti Avgust.	Heute ist [der] 20. August.	de_Basic/извор/Bestimmterartikel.tsv	11
7ed8487c4bd54ecc8d2d75114dff3131	ГЕРМАНСКИ <= ПРЕВОД	The dog is running.	Der Hund rennt.	de_Basic/извор/Bestimmterartikel.tsv	12
d43b9114f4fb4c63a2a99d4a2467f6b1	ГЕРМАНСКИ <= ПРЕВОД	The cat is running.	Die Katze rennt.	de_Basic/извор/Bestimmterartikel.tsv	13
e9f34cdc5876490c870b28b231a76ca1	ГЕРМАНСКИ <= ПРЕВОД	The horse is running.	Das Pferd rennt.	de_Basic/извор/Bestimmterartikel.tsv	14
9caa2e7b7df24b8abc4e7d6e630eead1	ГЕРМАНСКИ <= ПРЕВОД	The animals are running.	Die Tiere rennen.	de_Basic/извор/Bestimmterartikel.tsv	15
ed9406f1feef47de94644a6aa4f58b01	ГЕРМАНСКИ <= ПРЕВОД	He laughs because of the dog.	Er lacht wegen des Hundes.	de_Basic/извор/Bestimmterartikel.tsv	16
ce3ecc27e1224281a6935400e7ccc191	ГЕРМАНСКИ <= ПРЕВОД	She laughs because of the cat.	Sie lacht wegen der Katze.	de_Basic/извор/Bestimmterartikel.tsv	17
dfdc79648a2346499b3714d679fc3561	ГЕРМАНСКИ <= ПРЕВОД	It laughs because of the horse.	Es lacht wegen des Pferdes.	de_Basic/извор/Bestimmterartikel.tsv	18
ddd9b63e5d4c48cc94103ba83a2f3521	ГЕРМАНСКИ <= ПРЕВОД	They laugh because of the animals.	Sie lachen wegen der Tiere.	de_Basic/извор/Bestimmterartikel.tsv	19
2c8e88001ec943699941698d710585e1	ГЕРМАНСКИ <= ПРЕВОД	He plays with the dog.	Er spielt mit dem Hund.	de_Basic/извор/Bestimmterartikel.tsv	20
1d9dfd865c5f409bb9abbb12337ca961	ГЕРМАНСКИ <= ПРЕВОД	She plays with the cat.	Sie spielt mit der Katze.	de_Basic/извор/Bestimmterartikel.tsv	21
fcad49fdc92346919e2d9cecf23b5bd1	ГЕРМАНСКИ <= ПРЕВОД	It plays with the horse.	Es spielt mit dem Pferd.	de_Basic/извор/Bestimmterartikel.tsv	22
d175fbbd20174ea48733962c8d9ebc51	ГЕРМАНСКИ <= ПРЕВОД	They play with the animals.	Sie spielen mit den Tieren.	de_Basic/извор/Bestimmterartikel.tsv	23
f09efc23883f460282228a45321a1841	ГЕРМАНСКИ <= ПРЕВОД	He kisses the dog.	Er küsst den Hund.	de_Basic/извор/Bestimmterartikel.tsv	24
