КАРТА_ИД	ДАТУМ_ПРЕГЛЕДА	ВРЕМЕ_ПРЕГЛЕДА	РЕЗУЛТАТ_ПРЕГЛЕДА	НОВИ_ИНТЕРВАЛ
af3d1104ec5c4859923f8e07bde3d110	2020-03-28	13:34:53+0100	1	1
580d04bbbd35464b9b9fb1a7cf1f4370	2020-03-28	13:35:01+0100	1	1
81eed46a2de14229ae7d4f5f12ae6650	2020-03-28	13:35:10+0100	1	1
12b5761c11f94d0cb749092cc374d060	2020-03-28	13:35:19+0100	1	1
a7e9ed221ec840179518055b40c27b90	2020-03-28	13:35:31+0100	1	1
bebe2fa2db80424c81748c04c97f6140	2020-03-28	13:35:45+0100	1	1
d41532a3bdb749aea6d7ea21792331e0	2020-03-28	13:36:30+0100	1	1
4579382b272940ea85234e791f31fd60	2020-03-28	13:36:36+0100	1	1
4520e3ebc50f4842bfb24e1b432483b0	2020-03-28	13:36:42+0100	1	1
8897552c42e14b9995af51f523f2e870	2020-03-28	13:36:53+0100	1	1
075aaaef86914a209bc77664a332ba10	2020-03-28	13:37:13+0100	1	1
4d856d85ff0a447c972850fadb8de5a0	2020-03-28	13:37:21+0100	1	1
7b235e1645704c9f8cdb9d1f691bd650	2020-03-28	13:37:59+0100	1	1
4097e07383bc4492aa2e87462ab70790	2020-03-28	13:38:05+0100	1	1
1b407d4ff4e849d1b52ee37e6659cf60	2020-03-28	13:38:10+0100	1	1
d81b6fcb42d84841995de376f535c7c0	2020-03-28	13:39:03+0100	1	1
104d5bce928f44da8cba03fc5113a1f0	2020-03-28	13:39:10+0100	1	1
b44833c58d834e83b8b4170dda08ea40	2020-03-28	13:39:22+0100	1	1
1f99a863afec4a3f8197161570faced0	2020-03-28	13:39:44+0100	1	1
c6d58aaa448a4130881fa75c16c24760	2020-03-28	13:39:51+0100	1	1
46b10f0d91004d44a61a1cc9859d0e70	2020-03-28	13:39:57+0100	1	1
4579382b272940ea85234e791f31fd60	2020-03-30	09:19:20+0200	1	2
d81b6fcb42d84841995de376f535c7c0	2020-03-30	09:19:32+0200	1	2
4d856d85ff0a447c972850fadb8de5a0	2020-03-30	09:19:41+0200	1	2
075aaaef86914a209bc77664a332ba10	2020-03-30	09:19:50+0200	1	2
12b5761c11f94d0cb749092cc374d060	2020-03-30	09:19:58+0200	1	2
7b235e1645704c9f8cdb9d1f691bd650	2020-03-30	09:20:09+0200	1	2
af3d1104ec5c4859923f8e07bde3d110	2020-03-30	09:20:16+0200	1	2
1f99a863afec4a3f8197161570faced0	2020-03-30	09:20:33+0200	0	1
b44833c58d834e83b8b4170dda08ea40	2020-03-30	09:20:41+0200	1	2
bebe2fa2db80424c81748c04c97f6140	2020-03-30	09:20:54+0200	1	2
81eed46a2de14229ae7d4f5f12ae6650	2020-03-30	09:21:01+0200	1	2
46b10f0d91004d44a61a1cc9859d0e70	2020-03-30	09:21:08+0200	1	2
c6d58aaa448a4130881fa75c16c24760	2020-03-30	09:21:23+0200	1	2
d41532a3bdb749aea6d7ea21792331e0	2020-03-30	09:21:29+0200	1	2
8897552c42e14b9995af51f523f2e870	2020-03-30	09:21:34+0200	1	2
4097e07383bc4492aa2e87462ab70790	2020-03-30	09:21:40+0200	1	2
a7e9ed221ec840179518055b40c27b90	2020-03-30	09:21:49+0200	1	2
104d5bce928f44da8cba03fc5113a1f0	2020-03-30	09:21:58+0200	1	2
580d04bbbd35464b9b9fb1a7cf1f4370	2020-03-30	09:22:07+0200	1	2
4520e3ebc50f4842bfb24e1b432483b0	2020-03-30	09:22:13+0200	1	2
1b407d4ff4e849d1b52ee37e6659cf60	2020-03-30	09:22:17+0200	1	2
0ea9d334a05a44d89008ccc290d44320	2020-03-31	10:59:45+0200	1	1
5f4e86fba8bd4e4b9f6268f4442fad60	2020-03-31	13:29:10+0200	1	1
1f99a863afec4a3f8197161570faced0	2020-03-31	13:29:15+0200	1	2
d83adc28b5534bdd925164c26c4accf0	2020-03-31	13:29:24+0200	1	1
0560fc1fab6b4bc08b87a47cf9df7e50	2020-03-31	13:29:30+0200	1	1
bf8ff5b002ff4d8b80bb073acb94ecb0	2020-03-31	13:29:35+0200	1	1
4630f5f731514a668be6cdeaf9a928c0	2020-03-31	13:29:46+0200	1	1
4630f5f731514a668be6cdeaf9a928c0	2020-04-03	06:39:11+0200	1	2
d83adc28b5534bdd925164c26c4accf0	2020-04-03	06:39:25+0200	1	2
bf8ff5b002ff4d8b80bb073acb94ecb0	2020-04-03	06:39:31+0200	1	2
5f4e86fba8bd4e4b9f6268f4442fad60	2020-04-03	06:39:38+0200	1	2
0560fc1fab6b4bc08b87a47cf9df7e50	2020-04-03	06:39:46+0200	1	2
0ea9d334a05a44d89008ccc290d44320	2020-04-03	06:39:54+0200	1	2
4520e3ebc50f4842bfb24e1b432483b0	2020-04-06	08:50:19+0200	1	3
b44833c58d834e83b8b4170dda08ea40	2020-04-06	08:50:26+0200	0	2
