КАРТА_ИД	ДАТУМ_ПРЕГЛЕДА	ВРЕМЕ_ПРЕГЛЕДА	РЕЗУЛТАТ_ПРЕГЛЕДА	НОВИ_ИНТЕРВАЛ
a0464a51fb5f4f17a10d37e7163c9350	2020-04-13	20:15:06+0200	0	0
68f37c186d1e44c4ba9f0e7a0f4c4fa0	2020-04-13	20:15:10+0200	1	1
ee861688fc754d46a5b82bf44442c081	2020-04-13	20:15:18+0200	1	1
68f37c186d1e44c4ba9f0e7a0f4c4fa2	2020-04-13	20:15:21+0200	2	2
a0464a51fb5f4f17a10d37e7163c9352	2020-04-13	20:15:28+0200	0	0
df7eb6fe546f4299a28c83c63ad98a92	2020-04-23	22:52:38+0200	1	1
ee861688fc754d46a5b82bf44442c082	2020-04-23	22:52:40+0200	1	1
68f37c186d1e44c4ba9f0e7a0f4c4fa0	2020-04-23	22:52:45+0200	1	2
ee861688fc754d46a5b82bf44442c081	2020-04-23	22:52:49+0200	1	2
68f37c186d1e44c4ba9f0e7a0f4c4fa2	2020-04-24	20:52:29+0200	0	2
a0464a51fb5f4f17a10d37e7163c9351	2020-04-24	20:52:41+0200	0	0
