КАРТА_ИД	ДАТУМ_ПРЕГЛЕДА	ВРЕМЕ_ПРЕГЛЕДА	РЕЗУЛТАТ_ПРЕГЛЕДА	НОВИ_ИНТЕРВАЛ
84c9a70b737d4fe297e985fdeb0126d0	2020-03-29	08:59:29+0200	1	1
4404429924a5418ab8129546a09023b0	2020-03-29	08:59:37+0200	1	1
3eece54d177e404f894d11beb67dbdb0	2020-03-29	08:59:41+0200	1	1
575b2714da4d43d1a841dde3299a0980	2020-03-29	08:59:48+0200	1	1
38b6f5dc816541d383510ef5a05a6620	2020-03-29	08:59:54+0200	1	1
a89c2d61a34d40479073820fc222ecb0	2020-03-29	09:00:06+0200	1	1
4f46cb4773b6439a852654064fbf94e0	2020-03-29	09:00:12+0200	1	1
236b02dd1f994cdf853bd1b708d6e540	2020-03-29	09:00:21+0200	0	0
832112b7b27c409896caebdbe7a74a60	2020-03-29	09:00:25+0200	1	1
73c342598cec417ba51b702c2eaf7d70	2020-03-29	09:00:31+0200	1	1
c85a9e8e995b4d56840e6a90eaa598f0	2020-03-29	09:00:54+0200	0	0
9cc35f83151d45ab819303b6154a2500	2020-03-29	09:01:04+0200	1	1
6dd4e9a6eff5463fac98c5ccca26a470	2020-03-29	09:02:33+0200	1	1
4976a1b5671f47d7ab90934f9b9684a0	2020-03-29	09:02:39+0200	1	1
91b30b9321cb4b4d88970bf113ec8000	2020-03-29	09:02:47+0200	1	1
879069b016e24afea770cf0c4fcc6520	2020-03-29	09:03:01+0200	1	1
2684742c166a475189c46c1ce03e3ef0	2020-03-29	09:03:07+0200	1	1
be57ee91550d404180bdcf1431214010	2020-03-29	09:03:14+0200	1	1
723d2961865d4f1aa6159a0d9dac88c0	2020-03-29	09:03:23+0200	1	1
d406419a2c144f97b816ea984cba6d30	2020-03-29	09:03:40+0200	1	1
c4715458caf04aaa962c55006fd61be0	2020-03-29	09:03:52+0200	1	1
a03c5b2924844f15881a06b354813130	2020-03-29	09:04:02+0200	1	1
c85a9e8e995b4d56840e6a90eaa598f0	2020-03-30	09:22:57+0200	0	0
236b02dd1f994cdf853bd1b708d6e540	2020-03-30	09:23:05+0200	1	1
3eece54d177e404f894d11beb67dbdb0	2020-03-31	13:30:34+0200	1	2
9cc35f83151d45ab819303b6154a2500	2020-03-31	13:30:42+0200	1	2
a03c5b2924844f15881a06b354813130	2020-03-31	13:30:55+0200	1	2
4f46cb4773b6439a852654064fbf94e0	2020-03-31	13:31:01+0200	1	2
6dd4e9a6eff5463fac98c5ccca26a470	2020-03-31	13:31:10+0200	1	2
879069b016e24afea770cf0c4fcc6520	2020-03-31	13:31:25+0200	1	2
2684742c166a475189c46c1ce03e3ef0	2020-03-31	13:31:34+0200	1	2
84c9a70b737d4fe297e985fdeb0126d0	2020-03-31	13:31:44+0200	1	2
be57ee91550d404180bdcf1431214010	2020-03-31	13:31:52+0200	1	2
832112b7b27c409896caebdbe7a74a60	2020-03-31	13:32:00+0200	1	2
38b6f5dc816541d383510ef5a05a6620	2020-03-31	13:32:04+0200	1	2
d406419a2c144f97b816ea984cba6d30	2020-03-31	13:32:13+0200	1	2
a89c2d61a34d40479073820fc222ecb0	2020-03-31	13:32:18+0200	1	2
91b30b9321cb4b4d88970bf113ec8000	2020-03-31	13:32:31+0200	1	2
73c342598cec417ba51b702c2eaf7d70	2020-03-31	13:32:36+0200	1	2
c85a9e8e995b4d56840e6a90eaa598f0	2020-03-31	13:32:45+0200	1	1
4404429924a5418ab8129546a09023b0	2020-03-31	13:32:50+0200	1	2
723d2961865d4f1aa6159a0d9dac88c0	2020-03-31	13:33:01+0200	1	2
575b2714da4d43d1a841dde3299a0980	2020-03-31	13:33:09+0200	1	2
4976a1b5671f47d7ab90934f9b9684a0	2020-03-31	13:33:15+0200	1	2
c4715458caf04aaa962c55006fd61be0	2020-03-31	13:33:21+0200	1	2
236b02dd1f994cdf853bd1b708d6e540	2020-04-03	06:38:52+0200	1	2
c85a9e8e995b4d56840e6a90eaa598f0	2020-04-03	06:38:59+0200	1	2
832112b7b27c409896caebdbe7a74a60	2020-04-07	09:13:05+0200	0	2
a89c2d61a34d40479073820fc222ecb0	2020-04-07	09:13:08+0200	1	3
38b6f5dc816541d383510ef5a05a6620	2020-04-07	09:13:13+0200	1	3
4976a1b5671f47d7ab90934f9b9684a0	2020-04-07	09:13:18+0200	1	3
a03c5b2924844f15881a06b354813130	2020-04-07	09:13:25+0200	1	3
4f46cb4773b6439a852654064fbf94e0	2020-04-07	09:13:29+0200	1	3
575b2714da4d43d1a841dde3299a0980	2020-04-07	09:13:34+0200	1	3
be57ee91550d404180bdcf1431214010	2020-04-07	09:13:42+0200	1	3
91b30b9321cb4b4d88970bf113ec8000	2020-04-07	09:13:48+0200	1	3
d406419a2c144f97b816ea984cba6d30	2020-04-07	09:14:04+0200	0	2
4404429924a5418ab8129546a09023b0	2020-04-07	09:16:00+0200	1	3
84c9a70b737d4fe297e985fdeb0126d0	2020-04-07	09:22:02+0200	1	3
6dd4e9a6eff5463fac98c5ccca26a470	2020-04-07	09:22:17+0200	0	2
9cc35f83151d45ab819303b6154a2500	2020-04-07	09:22:25+0200	0	2
2684742c166a475189c46c1ce03e3ef0	2020-04-07	09:22:35+0200	1	3
3eece54d177e404f894d11beb67dbdb0	2020-04-07	09:22:39+0200	1	3
c4715458caf04aaa962c55006fd61be0	2020-04-07	09:22:43+0200	1	3
723d2961865d4f1aa6159a0d9dac88c0	2020-04-07	09:22:47+0200	1	3
879069b016e24afea770cf0c4fcc6520	2020-04-07	09:22:54+0200	1	3
73c342598cec417ba51b702c2eaf7d70	2020-04-07	09:22:57+0200	1	3
c85a9e8e995b4d56840e6a90eaa598f0	2020-04-11	19:03:35+0200	1	3
236b02dd1f994cdf853bd1b708d6e540	2020-04-11	19:03:43+0200	1	3
7c2b5cc5ba6c46d0a8bccbaca7329bf0	2020-04-13	20:14:53+0200	1	1
f66d459efe9e47bba4951708da2493f0	2020-04-13	20:14:58+0200	0	0
a03c5b2924844f15881a06b354813130	2020-04-23	22:51:01+0200	1	4
4404429924a5418ab8129546a09023b0	2020-04-23	22:51:07+0200	1	4
c4715458caf04aaa962c55006fd61be0	2020-04-23	22:51:16+0200	1	4
3eece54d177e404f894d11beb67dbdb0	2020-04-23	22:51:22+0200	1	4
91b30b9321cb4b4d88970bf113ec8000	2020-04-23	22:51:33+0200	1	4
be57ee91550d404180bdcf1431214010	2020-04-23	22:51:42+0200	1	4
38b6f5dc816541d383510ef5a05a6620	2020-04-24	20:52:57+0200	1	4
b27ad41add1f4df896a015c5609b5e90	2020-04-24	20:53:18+0200	0	0
575b2714da4d43d1a841dde3299a0980	2020-04-24	20:53:28+0200	1	4
a3538d4753e446a78c315210cd13c4b0	2020-04-30	09:01:26+0200	1	1
7d520c05545344dabad8099ca0eccde0	2020-04-30	09:01:29+0200	1	1
723d2961865d4f1aa6159a0d9dac88c0	2020-05-01	06:48:33+0200	0	3
236b02dd1f994cdf853bd1b708d6e540	2020-05-01	06:48:38+0200	1	4
78da2266311349f99a3b95bd723fe6b0	2020-05-01	06:48:49+0200	1	1
4f46cb4773b6439a852654064fbf94e0	2020-05-01	06:48:57+0200	1	4
a89c2d61a34d40479073820fc222ecb0	2020-05-01	06:49:02+0200	1	4
e85ce1501314441091c3243469458a40	2020-05-01	06:49:09+0200	1	1
4976a1b5671f47d7ab90934f9b9684a0	2020-05-01	06:49:14+0200	1	4
879069b016e24afea770cf0c4fcc6520	2020-05-01	06:49:23+0200	1	4
84c9a70b737d4fe297e985fdeb0126d0	2020-05-01	06:49:32+0200	1	4
2684742c166a475189c46c1ce03e3ef0	2020-05-01	06:49:38+0200	1	4
29f6f7a1dadc4811a3510c000e8672c0	2020-05-01	06:49:47+0200	0	0
7c2b5cc5ba6c46d0a8bccbaca7329bf0	2020-05-01	06:49:53+0200	1	2
