ИД	ДАТУМ	ПИТАЊЕ	ОДГОВОР
4404429924a5418ab8129546a09023b0	2020-03-29	es - schön sein - dich wiedersehen	Es ist schön, dich wieder[zu]sehen.
91b30b9321cb4b4d88970bf113ec8000	2020-03-29	ich - versuchen - dich morgen anrufen	Ich versuche, dich morgen an[zu]rufen.
879069b016e24afea770cf0c4fcc6520	2020-03-29	er - Angst haben - Fehler machen	Er hat Angst, Fehler [zu] machen.
575b2714da4d43d1a841dde3299a0980	2020-03-29	es - teuer sein - im Zentrum wohnen	Es ist teuer, im Zentrum [zu] wohnen.
d406419a2c144f97b816ea984cba6d30	2020-03-29	Paul - versuchen möchten - sein altes iPhone verkaufen	Paul möchte versuchen, sein altes iPhone [zu] verkaufen.
a89c2d61a34d40479073820fc222ecb0	2020-03-29	es - langweilig sein - jeden Abend zu Hause bleiben	Es ist langweilig, jeden Abend zu Hause [zu] bleiben.
73c342598cec417ba51b702c2eaf7d70	2020-03-29	ich - keine Lust haben - meine Wohnung aufräumen	Ich habe keine Lust, meine Wohnung auf[zu]räumen.
832112b7b27c409896caebdbe7a74a60	2020-03-29	es - möglich sein - mit Karte bezahlen	Es ist möglich, mit Karte [zu] bezahlen.
2684742c166a475189c46c1ce03e3ef0	2020-03-29	ich - oft vergessen - die Tür abschließen	Ich vergesse oft, die Tür ab[zu]schließen.
3eece54d177e404f894d11beb67dbdb0	2020-03-29	es - wichtig sein - Hausaufgaben machen	Es ist wichtig, Hausaufgaben [zu] machen.
c4715458caf04aaa962c55006fd61be0	2020-03-29	Marko - keine Zeit haben - ins Fitnessstudio gehen	Marko hat keine Zeit, ins Fitnessstudio [zu] gehen.
236b02dd1f994cdf853bd1b708d6e540	2020-03-29	es - gefährlich sein - bei Schnee so schnell fahren	Es ist gefährlich, bei Schnee so schnell [zu] fahren.
4976a1b5671f47d7ab90934f9b9684a0	2020-03-29	ich - es interessant finden - fremde Länder kennenlernen	Ich finde es interessant, fremde Länder kennen[zu]lernen.
c85a9e8e995b4d56840e6a90eaa598f0	2020-03-29	ich - es wichtig finden - das Referat gut vorbereiten	Ich finde es wichtig, das Referat gut vor[zu]bereiten.
a03c5b2924844f15881a06b354813130	2020-03-29	es - manchmal extrem schwer sein - eine gute Arbeitsstelle bekommen	Es ist manchmal extrem schwer, eine gute Arbeitsstelle [zu] bekommen.
84c9a70b737d4fe297e985fdeb0126d0	2020-03-29	wir - am Freitagabend vorhaben - ins Kino gehen	Wir haben am Freitagabend vor, ins Kino [zu] gehen.
723d2961865d4f1aa6159a0d9dac88c0	2020-03-29	ich - es dumm finden - jeden Tag viel fernsehen	Ich finde es dumm, jeden Tag viel fern[zu]sehen.
be57ee91550d404180bdcf1431214010	2020-03-29	ich - Lust haben (Konjunktiv!) - in die USA auswandern	Ich hätte Lust, in die USA aus[zu]wandern.
9cc35f83151d45ab819303b6154a2500	2020-03-29	ich - bereit sein (Konjunktiv!) - dir helfen	Ich wäre bereit, dir [zu] helfen.
6dd4e9a6eff5463fac98c5ccca26a470	2020-03-29	Erik - planen - in London studieren	Erik plant, in London [zu] studieren.
38b6f5dc816541d383510ef5a05a6620	2020-03-29	es - interessant sein - mit Quizlet üben	Es ist interessant, mit Quizlet [zu] üben.
4f46cb4773b6439a852654064fbf94e0	2020-03-29	es - sehr wichtig sein - Fremdsprachen lernen	Es ist sehr wichtig, Fremdsprachen [zu] lernen.
