КАРТА_ИД	ДАТУМ_ПРЕГЛЕДА	ВРЕМЕ_ПРЕГЛЕДА	РЕЗУЛТАТ_ПРЕГЛЕДА	НОВИ_ИНТЕРВАЛ
53fc885d510045e7bd7379843c6ee9d0	2020-02-09	09:36:14+0100	2	2
a9f5b6bf7f66447789c00b4f8fb217d0	2020-02-09	09:36:16+0100	2	2
a64a373fb21245bb9bf61f1105b6d7a0	2020-02-09	09:36:17+0100	2	2
e4a56b8b73cd4c3db0c48ef7becff950	2020-02-09	09:36:19+0100	2	2
a64a373fb21245bb9bf61f1105b6d7a1	2020-02-09	09:36:21+0100	2	2
a9f5b6bf7f66447789c00b4f8fb217d1	2020-02-09	09:36:23+0100	2	2
e4a56b8b73cd4c3db0c48ef7becff951	2020-02-09	09:36:24+0100	2	2
53fc885d510045e7bd7379843c6ee9d1	2020-02-09	09:36:26+0100	2	2
a9f5b6bf7f66447789c00b4f8fb217d2	2020-02-09	09:36:29+0100	2	2
a64a373fb21245bb9bf61f1105b6d7a2	2020-02-09	09:36:31+0100	2	2
53fc885d510045e7bd7379843c6ee9d2	2020-02-09	09:36:33+0100	2	2
e4a56b8b73cd4c3db0c48ef7becff952	2020-02-09	09:36:35+0100	2	2
53fc885d510045e7bd7379843c6ee9d3	2020-02-09	09:36:37+0100	2	2
a64a373fb21245bb9bf61f1105b6d7a3	2020-02-09	09:36:38+0100	2	2
e4a56b8b73cd4c3db0c48ef7becff953	2020-02-09	09:36:39+0100	2	2
a9f5b6bf7f66447789c00b4f8fb217d3	2020-02-09	09:36:41+0100	2	2
53fc885d510045e7bd7379843c6ee9d4	2020-02-09	09:36:46+0100	2	2
e4a56b8b73cd4c3db0c48ef7becff954	2020-02-09	09:36:48+0100	2	2
a9f5b6bf7f66447789c00b4f8fb217d4	2020-02-09	09:36:50+0100	2	2
a64a373fb21245bb9bf61f1105b6d7a4	2020-02-09	09:36:52+0100	2	2
7137b7bf228c4a19b96ebc61c2a3f210	2020-02-09	12:10:20+0100	1	1
c9bde0299f8c45fdbf7b2d232ca18230	2020-02-09	12:10:22+0100	1	1
c9bde0299f8c45fdbf7b2d232ca18231	2020-02-09	12:10:24+0100	1	1
7137b7bf228c4a19b96ebc61c2a3f211	2020-02-09	12:10:26+0100	1	1
7137b7bf228c4a19b96ebc61c2a3f212	2020-02-09	12:10:30+0100	2	2
c9bde0299f8c45fdbf7b2d232ca18232	2020-02-09	12:10:32+0100	2	2
c9bde0299f8c45fdbf7b2d232ca18233	2020-02-09	12:10:36+0100	2	2
7137b7bf228c4a19b96ebc61c2a3f213	2020-02-09	12:10:39+0100	2	2
c9bde0299f8c45fdbf7b2d232ca18234	2020-02-09	12:10:44+0100	1	1
7137b7bf228c4a19b96ebc61c2a3f214	2020-02-09	12:10:46+0100	1	1
9223285877eb4386a02f30363505e810	2020-02-10	13:26:36+0100	1	1
fe2cf9b690784809aed478f830a3aa00	2020-02-10	13:26:40+0100	1	1
3648d268ed0c4363a05af321ed2a9150	2020-02-10	13:26:42+0100	1	1
51dec0bf3b6949399e9e75225508b8e0	2020-02-10	13:26:45+0100	1	1
5839cec31c794da4ac86453039c18330	2020-02-10	13:26:47+0100	1	1
c25eab02331644e0b3ef0cccb291d060	2020-02-10	13:26:48+0100	1	1
219059fad3324af983f7a6dad05b9e00	2020-02-10	13:26:50+0100	1	1
78c7a7ecbae447efaf0503e1b2496d70	2020-02-10	13:26:51+0100	1	1
dc0493b3ca6144a1a958aad1dfb43e00	2020-02-10	13:26:53+0100	2	2
12812c9895774bec85d966ad5e20e450	2020-02-10	13:26:54+0100	2	2
e56b054a076b471ca2ea0af9b8e87ab0	2020-02-10	13:26:56+0100	1	1
6dcf419dca964ff8bb875a5d01fb7ab0	2020-02-10	13:26:58+0100	1	1
bb20e2fa37ea4bf68516ad6a27227ed0	2020-02-10	13:27:02+0100	2	2
47a4993a72ea46bd8893dad9b0de0160	2020-02-10	13:27:03+0100	1	1
2be7b70ac6de48cc86808cc96b7d0cd0	2020-02-10	13:27:05+0100	2	2
6bdde39985294699ad5137998786c5b0	2020-02-10	13:27:07+0100	1	1
e105b369f0264354be3571729f2f7c50	2020-02-10	13:27:09+0100	2	2
dd3d79f54051422dbbb3beab0e8003c0	2020-02-10	13:27:11+0100	2	2
6a15bbe06e644e449257f9aa60fd4140	2020-02-10	13:27:12+0100	2	2
1717706617af41628f7f5785c5294ad0	2020-02-10	13:27:15+0100	1	1
5075d01cc9d9412989275841e0c2eca0	2020-02-10	13:27:17+0100	1	1
78c7a7ecbae447efaf0503e1b2496d71	2020-02-10	13:27:21+0100	2	2
6bdde39985294699ad5137998786c5b1	2020-02-10	13:27:23+0100	0	0
51dec0bf3b6949399e9e75225508b8e1	2020-02-10	13:27:26+0100	1	1
5839cec31c794da4ac86453039c18331	2020-02-10	13:27:28+0100	1	1
219059fad3324af983f7a6dad05b9e01	2020-02-10	13:27:34+0100	0	0
5075d01cc9d9412989275841e0c2eca1	2020-02-10	13:27:36+0100	2	2
c25eab02331644e0b3ef0cccb291d061	2020-02-10	13:27:38+0100	2	2
6a15bbe06e644e449257f9aa60fd4141	2020-02-10	13:27:41+0100	1	1
fe2cf9b690784809aed478f830a3aa01	2020-02-10	13:27:42+0100	2	2
3648d268ed0c4363a05af321ed2a9151	2020-02-10	13:51:21+0100	1	1
2be7b70ac6de48cc86808cc96b7d0cd1	2020-02-10	13:51:25+0100	1	1
e56b054a076b471ca2ea0af9b8e87ab1	2020-02-10	13:53:08+0100	1	1
9223285877eb4386a02f30363505e811	2020-02-10	13:53:09+0100	1	1
dd3d79f54051422dbbb3beab0e8003c1	2020-02-10	13:53:12+0100	0	0
bb20e2fa37ea4bf68516ad6a27227ed1	2020-02-10	13:53:15+0100	1	1
12812c9895774bec85d966ad5e20e451	2020-02-10	13:53:18+0100	0	0
dc0493b3ca6144a1a958aad1dfb43e01	2020-02-10	13:53:20+0100	1	1
e105b369f0264354be3571729f2f7c51	2020-02-10	13:53:23+0100	1	1
47a4993a72ea46bd8893dad9b0de0161	2020-02-10	13:53:35+0100	0	0
6dcf419dca964ff8bb875a5d01fb7ab1	2020-02-10	13:53:37+0100	2	2
1717706617af41628f7f5785c5294ad1	2020-02-10	13:53:40+0100	1	1
dc0493b3ca6144a1a958aad1dfb43e02	2020-02-10	13:53:43+0100	2	2
e56b054a076b471ca2ea0af9b8e87ab2	2020-02-10	13:53:44+0100	2	2
1717706617af41628f7f5785c5294ad2	2020-02-10	13:53:46+0100	2	2
2be7b70ac6de48cc86808cc96b7d0cd2	2020-02-10	13:53:47+0100	2	2
9223285877eb4386a02f30363505e812	2020-02-10	13:53:49+0100	2	2
bb20e2fa37ea4bf68516ad6a27227ed2	2020-02-10	13:53:51+0100	2	2
5075d01cc9d9412989275841e0c2eca2	2020-02-10	13:53:53+0100	2	2
6bdde39985294699ad5137998786c5b2	2020-02-10	13:53:54+0100	2	2
47a4993a72ea46bd8893dad9b0de0162	2020-02-10	13:53:58+0100	2	2
3648d268ed0c4363a05af321ed2a9152	2020-02-10	13:54:01+0100	2	2
e105b369f0264354be3571729f2f7c52	2020-02-10	13:54:03+0100	2	2
5839cec31c794da4ac86453039c18332	2020-02-10	13:54:08+0100	2	2
dd3d79f54051422dbbb3beab0e8003c2	2020-02-10	13:54:09+0100	2	2
fe2cf9b690784809aed478f830a3aa02	2020-02-10	13:54:14+0100	2	2
51dec0bf3b6949399e9e75225508b8e2	2020-02-10	13:54:16+0100	2	2
6a15bbe06e644e449257f9aa60fd4142	2020-02-10	13:54:18+0100	2	2
6dcf419dca964ff8bb875a5d01fb7ab2	2020-02-10	13:54:20+0100	2	2
219059fad3324af983f7a6dad05b9e02	2020-02-10	13:54:21+0100	2	2
12812c9895774bec85d966ad5e20e452	2020-02-10	13:54:25+0100	2	2
c25eab02331644e0b3ef0cccb291d062	2020-02-10	13:54:27+0100	2	2
78c7a7ecbae447efaf0503e1b2496d72	2020-02-10	13:54:30+0100	2	2
12812c9895774bec85d966ad5e20e453	2020-02-10	13:54:38+0100	2	2
5075d01cc9d9412989275841e0c2eca3	2020-02-10	13:54:39+0100	2	2
6bdde39985294699ad5137998786c5b3	2020-02-10	13:54:45+0100	1	1
6a15bbe06e644e449257f9aa60fd4143	2020-02-10	13:54:47+0100	2	2
e56b054a076b471ca2ea0af9b8e87ab3	2020-02-10	13:54:48+0100	2	2
c25eab02331644e0b3ef0cccb291d063	2020-02-10	13:54:51+0100	2	2
78c7a7ecbae447efaf0503e1b2496d73	2020-02-10	13:54:53+0100	2	2
5839cec31c794da4ac86453039c18333	2020-02-10	13:54:55+0100	2	2
9223285877eb4386a02f30363505e813	2020-02-10	13:54:56+0100	2	2
3648d268ed0c4363a05af321ed2a9153	2020-02-10	13:54:58+0100	2	2
fe2cf9b690784809aed478f830a3aa03	2020-02-10	13:55:01+0100	2	2
6dcf419dca964ff8bb875a5d01fb7ab3	2020-02-10	13:55:02+0100	2	2
