ИД	ВРСТА_КАРТЕ	ПИТАЊЕ	ОДГОВОР	ИЗВОР	ЛИНИЈА
e4a56b8b73cd4c3db0c48ef7becff950	ЧЛАН <= ЈЕДНИНА	d.. Hund	der Hund	de_Nomen/извор/nomen.tsv	2
a64a373fb21245bb9bf61f1105b6d7a0	ЧЛАН <= ЈЕДНИНА	d.. Katze	die Katze	de_Nomen/извор/nomen.tsv	3
a9f5b6bf7f66447789c00b4f8fb217d0	ЧЛАН <= ЈЕДНИНА	d.. Pferd	das Pferd	de_Nomen/извор/nomen.tsv	4
53fc885d510045e7bd7379843c6ee9d0	ЧЛАН <= ЈЕДНИНА	d.. Kilo	das Kilo	de_Nomen/извор/nomen.tsv	5
7137b7bf228c4a19b96ebc61c2a3f210	ЧЛАН <= ЈЕДНИНА	d.. Uhr	die Uhr	de_Nomen/извор/nomen.tsv	6
6dcf419dca964ff8bb875a5d01fb7ab0	ЧЛАН <= ЈЕДНИНА	d.. ===	=== ===	de_Nomen/извор/nomen.tsv	7
6a15bbe06e644e449257f9aa60fd4140	ЧЛАН <= ЈЕДНИНА	d.. Zeit	die Zeit	de_Nomen/извор/nomen.tsv	8
78c7a7ecbae447efaf0503e1b2496d70	ЧЛАН <= ЈЕДНИНА	d.. Herr	der Herr	de_Nomen/извор/nomen.tsv	9
5075d01cc9d9412989275841e0c2eca0	ЧЛАН <= ЈЕДНИНА	d.. Frau	die Frau	de_Nomen/извор/nomen.tsv	10
dc0493b3ca6144a1a958aad1dfb43e00	ЧЛАН <= ЈЕДНИНА	d.. Mann	der Mann	de_Nomen/извор/nomen.tsv	11
1717706617af41628f7f5785c5294ad0	ЧЛАН <= ЈЕДНИНА	d.. Hand	die Hand	de_Nomen/извор/nomen.tsv	12
fe2cf9b690784809aed478f830a3aa00	ЧЛАН <= ЈЕДНИНА	d.. Auge	das Auge	de_Nomen/извор/nomen.tsv	13
51dec0bf3b6949399e9e75225508b8e0	ЧЛАН <= ЈЕДНИНА	d.. Mensch	der Mensch	de_Nomen/извор/nomen.tsv	14
