КАРТА_ИД	ДАТУМ_ПРЕГЛЕДА	ВРЕМЕ_ПРЕГЛЕДА	РЕЗУЛТАТ_ПРЕГЛЕДА	НОВИ_ИНТЕРВАЛ
e5e585f77c5347a282a63311086db6c0	2020-02-09	12:33:53+0100	1	1
2a479360c75d41a9b23882afc4a6eea0	2020-02-09	12:33:54+0100	1	1
3139ac939a8346f6bb4f35b1a31e45b0	2020-02-09	12:33:56+0100	1	1
2928e7d0f3024d64a252d08f38c7b390	2020-02-09	12:33:59+0100	1	1
188251337cc7475caf127ff870dc9ac0	2020-02-09	12:34:02+0100	1	1
52ae77d28b7b4a37831df25201e1df70	2020-02-09	12:34:06+0100	1	1
e730c1b507ab4d1b984728680bd3af20	2020-02-09	12:34:08+0100	1	1
90a72a6391be44fab8e9628e4e72c6c0	2020-02-09	12:34:11+0100	1	1
1fce42810565462a88abf6bcc10e4920	2020-02-09	12:34:15+0100	1	1
a27b99cd4b3b4e6196fb633c00da7bb0	2020-02-09	12:34:18+0100	1	1
6ef95676a8d04693ad058eaf8010fcd0	2020-02-09	12:34:21+0100	1	1
553ee1d56e68491dafcde4ba423b9440	2020-02-09	12:34:23+0100	1	1
14dc66e28d1d4974bdfffb33577fb540	2020-02-09	12:34:26+0100	1	1
c715f9ac28374809885f84f9bca1ff70	2020-02-09	12:34:29+0100	1	1
b36285a8cc7148f58fabd926d2778270	2020-02-09	12:34:32+0100	1	1
a6134a63794d4a72b5ed6f1ef0538ee0	2020-02-09	12:34:35+0100	1	1
5c4ce08f8ac34e3ea474190294bf1a20	2020-02-09	12:34:37+0100	1	1
86e2c43b206947a5a9d64023d8b8cc80	2020-02-09	12:34:41+0100	1	1
ceb538f84d22469d976b6f349fb57230	2020-02-09	12:34:43+0100	1	1
e88263cf29ab43f4b7dee65f226036c0	2020-02-09	12:34:47+0100	1	1
0d9979ae589c4d13b851123163e296f0	2020-02-09	12:34:49+0100	1	1
65c8b6c238684733a3aea8bb62c5f9f0	2020-02-09	12:34:51+0100	1	1
80df1bad7ad9424a952412da89a063f0	2020-02-09	12:34:55+0100	1	1
79702770c2584bd990854c4a1a172740	2020-02-09	12:34:58+0100	1	1
c3f3675a460940ffaa500d483b2ae020	2020-02-09	12:35:01+0100	1	1
51735b6e883745fd8164d03a66dc5120	2020-02-09	12:35:04+0100	1	1
40805d943a284bc3a551c827bdc2b650	2020-02-09	12:35:05+0100	1	1
e2c2990819344ddab1c2af92d96f5d10	2020-02-09	12:35:11+0100	1	1
bac56a88482944a38018e8af13f75f90	2020-02-09	12:35:17+0100	1	1
3b4452f52cf74442af2e69344f63c980	2020-02-09	12:35:20+0100	1	1
86e2c43b206947a5a9d64023d8b8cc81	2020-02-09	12:35:24+0100	1	1
b36285a8cc7148f58fabd926d2778271	2020-02-09	12:35:27+0100	2	2
52ae77d28b7b4a37831df25201e1df71	2020-02-09	12:35:33+0100	1	1
2a479360c75d41a9b23882afc4a6eea1	2020-02-09	12:35:35+0100	2	2
e730c1b507ab4d1b984728680bd3af21	2020-02-09	12:35:37+0100	2	2
51735b6e883745fd8164d03a66dc5121	2020-02-09	12:35:40+0100	2	2
188251337cc7475caf127ff870dc9ac1	2020-02-09	12:35:44+0100	0	0
e88263cf29ab43f4b7dee65f226036c1	2020-02-09	12:35:49+0100	1	1
e2c2990819344ddab1c2af92d96f5d11	2020-02-09	12:35:52+0100	2	2
553ee1d56e68491dafcde4ba423b9441	2020-02-09	12:35:59+0100	0	0
a27b99cd4b3b4e6196fb633c00da7bb1	2020-02-09	12:36:02+0100	1	1
0d9979ae589c4d13b851123163e296f1	2020-02-09	12:36:04+0100	1	1
a6134a63794d4a72b5ed6f1ef0538ee1	2020-02-09	12:36:06+0100	1	1
14dc66e28d1d4974bdfffb33577fb541	2020-02-09	12:36:08+0100	1	1
6ef95676a8d04693ad058eaf8010fcd1	2020-02-09	12:36:11+0100	1	1
1fce42810565462a88abf6bcc10e4921	2020-02-09	12:36:15+0100	1	1
c3f3675a460940ffaa500d483b2ae021	2020-02-09	12:36:20+0100	1	1
ceb538f84d22469d976b6f349fb57231	2020-02-09	12:36:25+0100	1	1
3139ac939a8346f6bb4f35b1a31e45b1	2020-02-09	12:36:27+0100	1	1
90a72a6391be44fab8e9628e4e72c6c1	2020-02-09	12:36:29+0100	1	1
65c8b6c238684733a3aea8bb62c5f9f1	2020-02-09	12:36:32+0100	1	1
e5e585f77c5347a282a63311086db6c1	2020-02-09	12:36:35+0100	2	2
5c4ce08f8ac34e3ea474190294bf1a21	2020-02-09	12:36:38+0100	2	2
79702770c2584bd990854c4a1a172741	2020-02-09	12:36:41+0100	0	0
2928e7d0f3024d64a252d08f38c7b391	2020-02-09	12:36:44+0100	2	2
80df1bad7ad9424a952412da89a063f1	2020-02-09	12:36:48+0100	0	0
bac56a88482944a38018e8af13f75f91	2020-02-09	12:36:50+0100	2	2
40805d943a284bc3a551c827bdc2b651	2020-02-09	12:36:52+0100	2	2
c715f9ac28374809885f84f9bca1ff71	2020-02-09	12:36:55+0100	0	0
3b4452f52cf74442af2e69344f63c981	2020-02-09	12:36:58+0100	2	2
c715f9ac28374809885f84f9bca1ff71	2020-02-09	15:12:32+0100	1	1
79702770c2584bd990854c4a1a172741	2020-02-09	15:12:35+0100	2	2
553ee1d56e68491dafcde4ba423b9441	2020-02-09	15:12:37+0100	2	2
188251337cc7475caf127ff870dc9ac1	2020-02-09	15:12:39+0100	2	2
80df1bad7ad9424a952412da89a063f1	2020-02-09	15:12:44+0100	0	0
80df1bad7ad9424a952412da89a063f1	2020-02-10	08:07:44+0100	0	0
c715f9ac28374809885f84f9bca1ff70	2020-02-11	13:01:36+0100	1	2
ceb538f84d22469d976b6f349fb57230	2020-02-11	13:01:38+0100	1	2
a6134a63794d4a72b5ed6f1ef0538ee0	2020-02-11	13:01:41+0100	1	2
bac56a88482944a38018e8af13f75f90	2020-02-11	13:01:47+0100	1	2
b36285a8cc7148f58fabd926d2778270	2020-02-11	13:01:49+0100	1	2
14dc66e28d1d4974bdfffb33577fb540	2020-02-11	13:01:53+0100	1	2
1fce42810565462a88abf6bcc10e4920	2020-02-11	13:01:57+0100	1	2
65c8b6c238684733a3aea8bb62c5f9f0	2020-02-11	13:02:01+0100	1	2
80df1bad7ad9424a952412da89a063f0	2020-02-11	13:02:03+0100	1	2
3b4452f52cf74442af2e69344f63c980	2020-02-11	13:02:05+0100	1	2
52ae77d28b7b4a37831df25201e1df70	2020-02-11	13:02:10+0100	1	2
c3f3675a460940ffaa500d483b2ae020	2020-02-11	13:02:14+0100	1	2
6ef95676a8d04693ad058eaf8010fcd0	2020-02-11	13:02:18+0100	1	2
