ИД	ВРСТА_КАРТЕ	ПИТАЊЕ	ОДГОВОР	ИЗВОР	ЛИНИЈА
90a72a6391be44fab8e9628e4e72c6c0	ПРЕВОД <= ГЕРМАНСКИ	Ich lag auf dem Boden.	Ležao sam na podu.	de_Präteritum/извор/Sätze.tsv	2
c3f3675a460940ffaa500d483b2ae020	ПРЕВОД <= ГЕРМАНСКИ	Er lief zum König und sprach.	Potrčao je kralju i rekao.	de_Präteritum/извор/Sätze.tsv	3
1fce42810565462a88abf6bcc10e4920	ПРЕВОД <= ГЕРМАНСКИ	das mag ich ihm nicht sagen.	Ne želeh mu to reći.	de_Präteritum/извор/Sätze.tsv	4
52ae77d28b7b4a37831df25201e1df70	ПРЕВОД <= ГЕРМАНСКИ	Ich kannte seinen Bruder.	Znao sam njegovog brata.	de_Präteritum/извор/Sätze.tsv	5
ceb538f84d22469d976b6f349fb57230	ПРЕВОД <= ГЕРМАНСКИ	Ich half ihm gestern.	Pomogao sam mu juče.	de_Präteritum/извор/Sätze.tsv	6
e88263cf29ab43f4b7dee65f226036c0	ПРЕВОД <= ГЕРМАНСКИ	er galt als weise	važio je za mudrog čuveka	de_Präteritum/извор/Sätze.tsv	7
90a72a6391be44fab8e9628e4e72c6c1	ГЕРМАНСКИ <= ПРЕВОД	Ležao sam na podu.	Ich lag auf dem Boden.	de_Präteritum/извор/Sätze.tsv	2
c3f3675a460940ffaa500d483b2ae021	ГЕРМАНСКИ <= ПРЕВОД	Potrčao je kralju i rekao.	Er lief zum König und sprach.	de_Präteritum/извор/Sätze.tsv	3
1fce42810565462a88abf6bcc10e4921	ГЕРМАНСКИ <= ПРЕВОД	Ne želeh mu to reći.	das mag ich ihm nicht sagen.	de_Präteritum/извор/Sätze.tsv	4
52ae77d28b7b4a37831df25201e1df71	ГЕРМАНСКИ <= ПРЕВОД	Znao sam njegovog brata.	Ich kannte seinen Bruder.	de_Präteritum/извор/Sätze.tsv	5
ceb538f84d22469d976b6f349fb57231	ГЕРМАНСКИ <= ПРЕВОД	Pomogao sam mu juče.	Ich half ihm gestern.	de_Präteritum/извор/Sätze.tsv	6
e88263cf29ab43f4b7dee65f226036c1	ГЕРМАНСКИ <= ПРЕВОД	važio je za mudrog čuveka	er galt als weise	de_Präteritum/извор/Sätze.tsv	7
2a479360c75d41a9b23882afc4a6eea0	ПРЕВОД <= ГЕРМАНСКИ	ich hatte	imao sam	de_Präteritum/извор/hatten.tsv	2
5c4ce08f8ac34e3ea474190294bf1a20	ПРЕВОД <= ГЕРМАНСКИ	du hattest	imao si	de_Präteritum/извор/hatten.tsv	3
79702770c2584bd990854c4a1a172740	ПРЕВОД <= ГЕРМАНСКИ	er hatte	imao je	de_Präteritum/извор/hatten.tsv	4
86e2c43b206947a5a9d64023d8b8cc80	ПРЕВОД <= ГЕРМАНСКИ	sie hatte	imala je	de_Präteritum/извор/hatten.tsv	5
a27b99cd4b3b4e6196fb633c00da7bb0	ПРЕВОД <= ГЕРМАНСКИ	es hatte	imalo je	de_Präteritum/извор/hatten.tsv	6
