КАРТА_ИД	ДАТУМ_ПРЕГЛЕДА	ВРЕМЕ_ПРЕГЛЕДА	РЕЗУЛТАТ_ПРЕГЛЕДА	НОВИ_ИНТЕРВАЛ
9e12923fd83e48d5ac08ab01dea6ca20	2020-01-30	11:29:02+0100	2	2
0722f94042f4425ea6043bded0d6a820	2020-01-30	11:29:04+0100	2	2
61788414796a4bf38732695db87aab90	2020-01-30	11:29:07+0100	2	2
41b7fa646a26475aa6023ed1a1439270	2020-01-30	11:29:09+0100	2	2
b634c93aecec4427a1eeaad25c640be0	2020-01-30	11:29:10+0100	1	1
880e152c93b1412eb549c3d64420e970	2020-01-30	11:29:13+0100	2	2
f22afb424f1a4ed5b6f1492fa8e65140	2020-01-30	11:29:15+0100	2	2
037e5cd387d04496ae542cf484594e40	2020-01-30	11:29:17+0100	1	1
4157813edfb24ffc952f1bd9ccf1d9b0	2020-01-30	11:29:25+0100	2	2
f8924411091446248d30895d161966f0	2020-01-30	11:29:28+0100	2	2
9e12923fd83e48d5ac08ab01dea6ca21	2020-01-30	11:29:41+0100	0	0
0722f94042f4425ea6043bded0d6a821	2020-01-30	11:30:12+0100	1	1
61788414796a4bf38732695db87aab91	2020-01-30	11:30:15+0100	1	1
41b7fa646a26475aa6023ed1a1439271	2020-01-30	11:30:20+0100	2	2
b634c93aecec4427a1eeaad25c640be1	2020-01-30	11:30:22+0100	2	2
880e152c93b1412eb549c3d64420e971	2020-01-30	11:30:24+0100	2	2
f22afb424f1a4ed5b6f1492fa8e65141	2020-01-30	11:30:27+0100	2	2
037e5cd387d04496ae542cf484594e41	2020-01-30	11:30:30+0100	2	2
4157813edfb24ffc952f1bd9ccf1d9b1	2020-01-30	11:30:33+0100	2	2
f8924411091446248d30895d161966f1	2020-01-30	11:30:43+0100	0	0
9e12923fd83e48d5ac08ab01dea6ca22	2020-01-30	11:30:48+0100	0	0
0722f94042f4425ea6043bded0d6a822	2020-01-30	11:30:57+0100	1	1
61788414796a4bf38732695db87aab92	2020-01-30	11:31:00+0100	1	1
41b7fa646a26475aa6023ed1a1439272	2020-01-30	11:31:05+0100	1	1
b634c93aecec4427a1eeaad25c640be2	2020-01-30	11:31:16+0100	1	1
880e152c93b1412eb549c3d64420e972	2020-01-30	11:44:05+0100	1	1
f22afb424f1a4ed5b6f1492fa8e65142	2020-01-30	11:44:13+0100	0	0
037e5cd387d04496ae542cf484594e42	2020-01-30	11:44:15+0100	1	1
4157813edfb24ffc952f1bd9ccf1d9b2	2020-01-30	11:44:19+0100	1	1
f8924411091446248d30895d161966f2	2020-01-30	11:45:07+0100	0	0
9e12923fd83e48d5ac08ab01dea6ca23	2020-01-30	11:45:13+0100	0	0
0722f94042f4425ea6043bded0d6a823	2020-01-30	11:45:22+0100	0	0
61788414796a4bf38732695db87aab93	2020-01-30	11:45:28+0100	0	0
41b7fa646a26475aa6023ed1a1439273	2020-01-30	11:45:33+0100	1	1
b634c93aecec4427a1eeaad25c640be3	2020-01-30	11:45:36+0100	1	1
880e152c93b1412eb549c3d64420e973	2020-01-30	11:45:42+0100	1	1
f22afb424f1a4ed5b6f1492fa8e65143	2020-01-30	11:45:49+0100	0	0
037e5cd387d04496ae542cf484594e43	2020-01-30	11:45:52+0100	1	1
4157813edfb24ffc952f1bd9ccf1d9b3	2020-01-30	11:45:57+0100	1	1
f8924411091446248d30895d161966f3	2020-01-30	11:46:00+0100	1	1
9e12923fd83e48d5ac08ab01dea6ca24	2020-01-30	11:46:04+0100	1	1
0722f94042f4425ea6043bded0d6a824	2020-01-30	11:46:06+0100	1	1
61788414796a4bf38732695db87aab94	2020-01-30	11:46:08+0100	1	1
41b7fa646a26475aa6023ed1a1439274	2020-01-30	11:46:11+0100	1	1
b634c93aecec4427a1eeaad25c640be4	2020-01-30	11:46:13+0100	1	1
880e152c93b1412eb549c3d64420e974	2020-01-30	11:46:15+0100	1	1
f22afb424f1a4ed5b6f1492fa8e65144	2020-01-30	11:46:17+0100	1	1
037e5cd387d04496ae542cf484594e44	2020-01-30	11:46:19+0100	1	1
