ИД	ДАТУМ	ИНФИНИТИВ	ПРЕЗЕНТ	ПРЕТЕРИТ	ПЕРФЕКТ	ПРЕВОД
941d3aa7a6f64d1e902d9971d99c5c80	2020-02-06	leben	lebt	lebte	hat gelebt	živeti
ba937174b86a497da5eec1db5fd70e20	2020-02-06	kaufen	kauft	kaufte	hat gekauft	kupovati
a523269f524b4214895afe160b0ff5c0	2020-02-06	lernen	lernt	lernte	hat gelernt	učiti
fe558125f654499b992124951f620660	2020-02-06	machen	macht	machte	hat gemacht	praviti
45b804484ee04976976e27f0833669e0	2020-02-06	arbeiten	arbeitet	arbeitete	hat gearbeitet	raditi
993825d5143143b2bee57ecf5dbe2ae0	2020-02-08	legen	legt	legte	hat gelegt	polagati; stavljati (na tlo)
81475909c37742f98c726cdf69c8c540	2020-02-08	stellen	stellt	stellte	hat gestellt	postavljati
aee4192ac2a9482ab6a67b5269ac05f0	2020-02-08	setzen	setzt	setzte	hat gesetzt	posedati; stavljati (na dupe)
689d9e2d294449e5ac908a091ab80830	2020-03-29	planen	plant	plante	hat geplant	planirati
fdb633231dfd46ac97024c071b8d52b0	2020-03-29	sagen	sagt	sagte	hat gesagt	reći
7a4c5e383c16453481e6dd3f77e53c80	2020-03-29	ändern	ändert	änderte	hat geändert	izmeniti
30b55a884c844b5ba1958b2c08ad3980	2020-03-29	fragen	fragt	fragte	hat gefragt	pitati
7dad948e54db405899240ee51c73dd90	2020-03-29	glauben	glaubt	glaubte	hat geglaubt	verovati
176cbc4bcb51468dac16335ef5ba2a80	2020-03-29	hören	hört	hörte	hat gehört	čuti
3deb6d64fcd34e58bd5a58b2c6836df0	2020-03-29	zeigen	zeigt	zeigte	hat gezeigt	pokazati
ef02597811364c20a152f284550b97d0	2020-03-29	reden	redet	redete	hat geredet	pričati
2102cef3418944be81f20e4546a50060	2020-03-31	suchen	sucht	suchte	hat gesucht	tražiti
4261e807ac8f417bba0b24a7c15fd440	2020-03-31	lieben	liebt	liebte	hat geliebt	voleti
07ac2b6a0e83404fa49e3515fdd91510	2020-03-31	führen	führt	führte	hat geführt	voditi; predvoditi
