ИД	ДАТУМ	ИНФИНИТИВ	ПРЕЗЕНТ	ПРЕТЕРИТ	ПЕРФЕКТ	ПРЕВОД
9e12923fd83e48d5ac08ab01dea6ca20	2019-12-07	beginnen	beginnt	begann	hat begonnen	početi
0722f94042f4425ea6043bded0d6a820	2019-12-07	bekommen	bekommt	bekam	hat bekommen	dobiti
61788414796a4bf38732695db87aab90	2019-12-07	bieten	bietet	bot	hat geboten	nuditi
41b7fa646a26475aa6023ed1a1439270	2019-12-07	bitten	bittet	bat	hat gebeten	moliti
b634c93aecec4427a1eeaad25c640be0	2019-12-07	bleiben	bleibt	blieb	ist geblieben	ostati
880e152c93b1412eb549c3d64420e970	2019-12-07	brennen	brennt	brannte	hat gebrannt	goreti
f22afb424f1a4ed5b6f1492fa8e65140	2019-12-07	bringen	bringt	brachte	hat gebracht	doneti
037e5cd387d04496ae542cf484594e40	2019-12-07	denken	denkt	dachte	hat gedacht	misliti
4157813edfb24ffc952f1bd9ccf1d9b0	2019-12-07	dürfen	darf	durfte	hat gedurft	smeti
f8924411091446248d30895d161966f0	2019-12-07	empfehlen	empfiehlt	empfahl	hat empfohlen	preporučiti
de07bde59ede40c694d1ab603dc6b870	2020-01-31	essen	isst	aß	hat gegessen	jesti
626a3120c18f4744995429cca9f927d0	2020-01-31	fahren	fährt	fuhr	ist gefahren	voziti; putovati
923c9a3057f74ffd93f387ac559dc800	2020-01-31	fallen	fällt	fiel	ist gefallen	pasti
04f1c7d7a69a4329a9595814c7d72bf0	2020-01-31	finden	findet	fand	hat gefunden	naći
b2d8d718e2194ae89d99f29132781760	2020-01-31	fliegen	fliegt	flog	ist geflogen	leteti
dbdd587dc8b44137a35899f6ccfa65c0	2020-02-02	fliehen	flieht	floh	ist geflohen	pobeći
78800cc773684261b84d4c6e507cd570	2020-02-02	frieren	friert	fror	hat gefroren	smrzavati (se)
1d258aed486a429f8ca7220b8377eb50	2020-02-02	geben	gibt	gab	hat gegeben	dati
dcdf694156264a89a4f4869a19e3b920	2020-02-02	gefallen	gefällt	gefiel	hat gefallen	dopadati se
78d721ef79ac4371b52216f34dd7cbb0	2020-02-02	gehen	geht	ging	ist gegangen	ići
70493c0d97674efb8d66218c9e08dfa0	2020-02-03	gelten	gilt	galt	hat gegolten	važiti
12cbde2735cc40fb805198522fbc41e0	2020-02-03	geschehen	geschieht	geschah	ist geschehen	desiti se
842afa4193eb48e787d7243425731e30	2020-02-03	gewinnen	gewinnt	gewann	hat gewonnen	pobediti
94c6eafd33f846e78df61ec02a834630	2020-02-03	haben	hat	hatte	hat gehabt	imati
a3e89d5fe1dd422aac35e87fafd83910	2020-02-03	halten	hält	hielt	hat gehalten	držati
f88c27035229457d855fa3a42fa14e90	2020-02-06	hängen	hängt	hing	hat gehangen	visiti
76129727065b498db4296bed909600b0	2020-02-06	heben	hebt	hob	hat gehoben	podizati
65c6b04077f64dd1809c01724bbb8c60	2020-02-06	heißen	heißt	hieß	hat geheißen	zvati se
3f6e2534046d42a4897dcae5c4612d30	2020-02-06	helfen	hilft	half	hat geholfen	pomoći
203c69829ec449f59595bbdf231f4bb0	2020-02-06	kennen	kennt	kannte	hat gekannt	poznavati
67313ec67865418d8e3a0662a30e5a20	2020-02-07	klingen	klingt	klang	hat geklungen	zvučati; zvoniti
b876487e17854bfb88e7b0b2270db360	2020-02-07	kommen	kommt	kam	ist gekommen	doći
