ВРСТА_КАРТЕ	ДАТУМ	ИНТЕРВАЛИ
ПРЕВОД <= ИНФИНИТИВ	2020-04-17	1, 6, 15, 38, 94, 234, 586, 1465, 3662
ПРЕТЕРИТ <= ИНФИНИТИВ	2020-04-17	1, 6, 15, 38, 94, 234, 586, 1465, 3662
СВЕ <= ПРЕВОД	2020-04-17	1, 6, 15, 38, 94, 234, 586, 1465, 3662
ПЕРФЕКТ <= ИНФИНИТИВ	2020-04-17	1, 6, 15, 38, 94, 234, 586, 1465, 3662
ИНФИНИТИВ <= ПРЕВОД	2020-04-17	1, 6, 15, 38, 94, 234, 586, 1465, 3662
ПРЕЗЕНТ <= ИНФИНИТИВ	2020-04-17	1, 6, 15, 38, 94, 234, 586, 1465, 3662
СВЕ <= ПРЕВОД	2020-04-17	1, 6, 15, 38, 94, 234, 586, 1465, 3662
ПЕРФЕКТ <= ИНФИНИТИВ	2020-04-17	1, 6, 15, 38, 94, 234, 586, 1465, 3662
ПРЕВОД <= ИНФИНИТИВ	2020-04-17	1, 6, 15, 38, 94, 234, 586, 1465, 3662
ИНФИНИТИВ <= ПРЕВОД	2020-04-17	1, 6, 15, 38, 94, 234, 586, 1465, 3662
ПРЕЗЕНТ <= ИНФИНИТИВ	2020-04-17	1, 6, 15, 38, 94, 234, 586, 1465, 3662
ПРЕТЕРИТ <= ИНФИНИТИВ	2020-04-17	1, 6, 15, 38, 94, 234, 586, 1465, 3662
ПЕРФЕКТ <= ИНФИНИТИВ	2020-04-17	1, 6, 15, 38, 94, 234, 586, 1465, 3662
ПРЕЗЕНТ <= ИНФИНИТИВ	2020-04-17	1, 6, 15, 38, 94, 234, 586, 1465, 3662
ПРЕВОД <= ИНФИНИТИВ	2020-04-17	1, 6, 15, 38, 94, 234, 586, 1465, 3662
СВЕ <= ПРЕВОД	2020-04-17	1, 6, 15, 38, 94, 234, 586, 1465, 3662
ПРЕТЕРИТ <= ИНФИНИТИВ	2020-04-17	1, 6, 15, 38, 94, 234, 586, 1465, 3662
ИНФИНИТИВ <= ПРЕВОД	2020-04-17	1, 6, 15, 38, 94, 234, 586, 1465, 3662
ПЕРФЕКТ <= ИНФИНИТИВ	2020-04-17	1, 6, 15, 38, 94, 234, 586, 1465, 3662
ИНФИНИТИВ <= ПРЕВОД	2020-04-17	1, 6, 15, 38, 94, 234, 586, 1465, 3662
ПРЕЗЕНТ <= ИНФИНИТИВ	2020-04-17	1, 6, 15, 38, 94, 234, 586, 1465, 3662
СВЕ <= ПРЕВОД	2020-04-17	1, 6, 15, 38, 94, 234, 586, 1465, 3662
ПРЕВОД <= ИНФИНИТИВ	2020-04-17	1, 6, 15, 38, 94, 234, 586, 1465, 3662
ПРЕТЕРИТ <= ИНФИНИТИВ	2020-04-17	1, 6, 15, 38, 94, 234, 586, 1465, 3662
