КАРТА_ИД	ДАТУМ_ПРЕГЛЕДА	ВРЕМЕ_ПРЕГЛЕДА	РЕЗУЛТАТ_ПРЕГЛЕДА	НОВИ_ИНТЕРВАЛ
993825d5143143b2bee57ecf5dbe2ae0	2020-02-09	09:39:24+0100	2	2
ba937174b86a497da5eec1db5fd70e20	2020-02-09	09:39:26+0100	2	2
941d3aa7a6f64d1e902d9971d99c5c80	2020-02-09	09:39:28+0100	2	2
fe558125f654499b992124951f620660	2020-02-09	09:39:29+0100	2	2
aee4192ac2a9482ab6a67b5269ac05f0	2020-02-09	09:39:32+0100	2	2
45b804484ee04976976e27f0833669e0	2020-02-09	09:39:34+0100	2	2
81475909c37742f98c726cdf69c8c540	2020-02-09	09:39:38+0100	2	2
a523269f524b4214895afe160b0ff5c0	2020-02-09	09:39:40+0100	2	2
ba937174b86a497da5eec1db5fd70e21	2020-02-09	09:39:43+0100	2	2
aee4192ac2a9482ab6a67b5269ac05f1	2020-02-09	09:39:46+0100	2	2
fe558125f654499b992124951f620661	2020-02-09	09:39:48+0100	2	2
a523269f524b4214895afe160b0ff5c1	2020-02-09	09:39:50+0100	2	2
941d3aa7a6f64d1e902d9971d99c5c81	2020-02-09	09:39:53+0100	2	2
45b804484ee04976976e27f0833669e1	2020-02-09	09:39:55+0100	2	2
81475909c37742f98c726cdf69c8c541	2020-02-09	09:39:57+0100	2	2
993825d5143143b2bee57ecf5dbe2ae1	2020-02-09	09:39:58+0100	2	2
aee4192ac2a9482ab6a67b5269ac05f2	2020-02-09	09:40:13+0100	2	2
fe558125f654499b992124951f620662	2020-02-09	09:40:15+0100	2	2
a523269f524b4214895afe160b0ff5c2	2020-02-09	09:40:16+0100	2	2
45b804484ee04976976e27f0833669e2	2020-02-09	09:40:19+0100	2	2
993825d5143143b2bee57ecf5dbe2ae2	2020-02-09	09:40:22+0100	2	2
941d3aa7a6f64d1e902d9971d99c5c82	2020-02-09	09:40:24+0100	2	2
81475909c37742f98c726cdf69c8c542	2020-02-09	09:40:26+0100	2	2
ba937174b86a497da5eec1db5fd70e22	2020-02-09	09:40:27+0100	2	2
fe558125f654499b992124951f620663	2020-02-09	09:40:30+0100	2	2
a523269f524b4214895afe160b0ff5c3	2020-02-09	09:40:32+0100	2	2
993825d5143143b2bee57ecf5dbe2ae3	2020-02-09	09:40:34+0100	2	2
45b804484ee04976976e27f0833669e3	2020-02-09	09:40:36+0100	2	2
81475909c37742f98c726cdf69c8c543	2020-02-09	09:40:38+0100	2	2
ba937174b86a497da5eec1db5fd70e23	2020-02-09	09:40:40+0100	2	2
aee4192ac2a9482ab6a67b5269ac05f3	2020-02-09	09:40:42+0100	2	2
941d3aa7a6f64d1e902d9971d99c5c83	2020-02-09	09:40:44+0100	2	2
aee4192ac2a9482ab6a67b5269ac05f4	2020-02-09	09:40:49+0100	2	2
a523269f524b4214895afe160b0ff5c4	2020-02-09	09:40:50+0100	2	2
fe558125f654499b992124951f620664	2020-02-09	09:40:52+0100	2	2
941d3aa7a6f64d1e902d9971d99c5c84	2020-02-09	09:40:53+0100	2	2
ba937174b86a497da5eec1db5fd70e24	2020-02-09	09:40:55+0100	2	2
45b804484ee04976976e27f0833669e4	2020-02-09	09:40:56+0100	2	2
81475909c37742f98c726cdf69c8c544	2020-02-09	09:40:58+0100	2	2
993825d5143143b2bee57ecf5dbe2ae4	2020-02-09	09:41:04+0100	2	2
45b804484ee04976976e27f0833669e5	2020-02-09	09:41:22+0100	2	2
941d3aa7a6f64d1e902d9971d99c5c85	2020-02-09	09:41:30+0100	2	2
fe558125f654499b992124951f620665	2020-02-09	09:41:34+0100	2	2
ba937174b86a497da5eec1db5fd70e25	2020-02-09	09:41:39+0100	2	2
a523269f524b4214895afe160b0ff5c5	2020-02-09	09:41:42+0100	2	2
aee4192ac2a9482ab6a67b5269ac05f5	2020-02-09	09:41:46+0100	2	2
993825d5143143b2bee57ecf5dbe2ae5	2020-02-09	09:41:50+0100	2	2
81475909c37742f98c726cdf69c8c545	2020-02-09	09:41:53+0100	2	2
aee4192ac2a9482ab6a67b5269ac05f0	2020-02-19	11:30:58+0100	1	3
45b804484ee04976976e27f0833669e0	2020-02-19	11:31:01+0100	1	3
993825d5143143b2bee57ecf5dbe2ae0	2020-02-19	11:31:10+0100	0	2
ba937174b86a497da5eec1db5fd70e20	2020-02-19	11:31:12+0100	1	3
81475909c37742f98c726cdf69c8c540	2020-02-19	11:31:15+0100	1	3
a523269f524b4214895afe160b0ff5c0	2020-02-19	11:31:17+0100	1	3
941d3aa7a6f64d1e902d9971d99c5c80	2020-02-19	11:31:19+0100	1	3
fe558125f654499b992124951f620660	2020-02-19	11:31:21+0100	1	3
fe558125f654499b992124951f620661	2020-02-19	11:31:24+0100	1	3
ba937174b86a497da5eec1db5fd70e21	2020-02-19	11:31:26+0100	1	3
941d3aa7a6f64d1e902d9971d99c5c81	2020-02-19	11:31:27+0100	1	3
aee4192ac2a9482ab6a67b5269ac05f1	2020-02-19	11:31:30+0100	1	3
81475909c37742f98c726cdf69c8c541	2020-02-19	11:31:33+0100	1	3
a523269f524b4214895afe160b0ff5c1	2020-02-19	11:31:35+0100	1	3
45b804484ee04976976e27f0833669e1	2020-02-19	11:31:37+0100	1	3
993825d5143143b2bee57ecf5dbe2ae1	2020-02-19	11:31:40+0100	1	3
81475909c37742f98c726cdf69c8c542	2020-02-19	11:31:43+0100	1	3
aee4192ac2a9482ab6a67b5269ac05f2	2020-02-19	11:31:45+0100	1	3
a523269f524b4214895afe160b0ff5c2	2020-02-19	11:31:47+0100	1	3
993825d5143143b2bee57ecf5dbe2ae2	2020-02-19	11:31:49+0100	1	3
ba937174b86a497da5eec1db5fd70e22	2020-02-19	11:31:50+0100	1	3
45b804484ee04976976e27f0833669e2	2020-02-19	11:31:54+0100	1	3
941d3aa7a6f64d1e902d9971d99c5c82	2020-02-19	11:31:56+0100	1	3
fe558125f654499b992124951f620662	2020-02-19	11:31:58+0100	1	3
fe558125f654499b992124951f620663	2020-02-19	11:32:00+0100	1	3
a523269f524b4214895afe160b0ff5c3	2020-02-19	11:32:02+0100	1	3
45b804484ee04976976e27f0833669e3	2020-02-19	11:32:04+0100	1	3
ba937174b86a497da5eec1db5fd70e23	2020-02-19	11:32:06+0100	1	3
81475909c37742f98c726cdf69c8c543	2020-02-19	11:32:08+0100	1	3
993825d5143143b2bee57ecf5dbe2ae3	2020-02-19	11:32:10+0100	1	3
aee4192ac2a9482ab6a67b5269ac05f3	2020-02-19	11:32:12+0100	1	3
941d3aa7a6f64d1e902d9971d99c5c83	2020-02-19	11:32:14+0100	1	3
81475909c37742f98c726cdf69c8c544	2020-02-19	11:32:17+0100	1	3
ba937174b86a497da5eec1db5fd70e24	2020-02-19	11:32:20+0100	2	4
a523269f524b4214895afe160b0ff5c4	2020-02-19	11:32:21+0100	2	4
993825d5143143b2bee57ecf5dbe2ae4	2020-02-19	11:32:25+0100	1	3
aee4192ac2a9482ab6a67b5269ac05f4	2020-02-19	11:32:27+0100	1	3
45b804484ee04976976e27f0833669e4	2020-02-19	11:32:30+0100	1	3
