ИД	ВРСТА_КАРТЕ	ПИТАЊЕ	ОДГОВОР	ИЗВОР	ЛИНИЈА
941d3aa7a6f64d1e902d9971d99c5c80	ИНФИНИТИВ <= ПРЕВОД	živeti	leben	de_regelmäßige_Verben/извор/regelmäßige.tsv	2
ba937174b86a497da5eec1db5fd70e20	ИНФИНИТИВ <= ПРЕВОД	kupovati	kaufen	de_regelmäßige_Verben/извор/regelmäßige.tsv	3
a523269f524b4214895afe160b0ff5c0	ИНФИНИТИВ <= ПРЕВОД	učiti	lernen	de_regelmäßige_Verben/извор/regelmäßige.tsv	4
fe558125f654499b992124951f620660	ИНФИНИТИВ <= ПРЕВОД	praviti	machen	de_regelmäßige_Verben/извор/regelmäßige.tsv	5
45b804484ee04976976e27f0833669e0	ИНФИНИТИВ <= ПРЕВОД	raditi	arbeiten	de_regelmäßige_Verben/извор/regelmäßige.tsv	6
993825d5143143b2bee57ecf5dbe2ae0	ИНФИНИТИВ <= ПРЕВОД	polagati; stavljati (na tlo)	legen	de_regelmäßige_Verben/извор/regelmäßige.tsv	7
81475909c37742f98c726cdf69c8c540	ИНФИНИТИВ <= ПРЕВОД	postavljati	stellen	de_regelmäßige_Verben/извор/regelmäßige.tsv	8
aee4192ac2a9482ab6a67b5269ac05f0	ИНФИНИТИВ <= ПРЕВОД	posedati; stavljati (na dupe)	setzen	de_regelmäßige_Verben/извор/regelmäßige.tsv	9
689d9e2d294449e5ac908a091ab80830	ИНФИНИТИВ <= ПРЕВОД	planirati	planen	de_regelmäßige_Verben/извор/regelmäßige.tsv	10
fdb633231dfd46ac97024c071b8d52b0	ИНФИНИТИВ <= ПРЕВОД	reći	sagen	de_regelmäßige_Verben/извор/regelmäßige.tsv	11
7a4c5e383c16453481e6dd3f77e53c80	ИНФИНИТИВ <= ПРЕВОД	izmeniti	ändern	de_regelmäßige_Verben/извор/regelmäßige.tsv	12
30b55a884c844b5ba1958b2c08ad3980	ИНФИНИТИВ <= ПРЕВОД	pitati	fragen	de_regelmäßige_Verben/извор/regelmäßige.tsv	13
7dad948e54db405899240ee51c73dd90	ИНФИНИТИВ <= ПРЕВОД	verovati	glauben	de_regelmäßige_Verben/извор/regelmäßige.tsv	14
176cbc4bcb51468dac16335ef5ba2a80	ИНФИНИТИВ <= ПРЕВОД	čuti	hören	de_regelmäßige_Verben/извор/regelmäßige.tsv	15
3deb6d64fcd34e58bd5a58b2c6836df0	ИНФИНИТИВ <= ПРЕВОД	pokazati	zeigen	de_regelmäßige_Verben/извор/regelmäßige.tsv	16
ef02597811364c20a152f284550b97d0	ИНФИНИТИВ <= ПРЕВОД	pričati	reden	de_regelmäßige_Verben/извор/regelmäßige.tsv	17
2102cef3418944be81f20e4546a50060	ИНФИНИТИВ <= ПРЕВОД	tražiti	suchen	de_regelmäßige_Verben/извор/regelmäßige.tsv	18
4261e807ac8f417bba0b24a7c15fd440	ИНФИНИТИВ <= ПРЕВОД	voleti	lieben	de_regelmäßige_Verben/извор/regelmäßige.tsv	19
07ac2b6a0e83404fa49e3515fdd91510	ИНФИНИТИВ <= ПРЕВОД	voditi; predvoditi	führen	de_regelmäßige_Verben/извор/regelmäßige.tsv	20
941d3aa7a6f64d1e902d9971d99c5c81	ПРЕЗЕНТ <= ИНФИНИТИВ	leben	lebt	de_regelmäßige_Verben/извор/regelmäßige.tsv	2
ba937174b86a497da5eec1db5fd70e21	ПРЕЗЕНТ <= ИНФИНИТИВ	kaufen	kauft	de_regelmäßige_Verben/извор/regelmäßige.tsv	3
a523269f524b4214895afe160b0ff5c1	ПРЕЗЕНТ <= ИНФИНИТИВ	lernen	lernt	de_regelmäßige_Verben/извор/regelmäßige.tsv	4
fe558125f654499b992124951f620661	ПРЕЗЕНТ <= ИНФИНИТИВ	machen	macht	de_regelmäßige_Verben/извор/regelmäßige.tsv	5
45b804484ee04976976e27f0833669e1	ПРЕЗЕНТ <= ИНФИНИТИВ	arbeiten	arbeitet	de_regelmäßige_Verben/извор/regelmäßige.tsv	6
993825d5143143b2bee57ecf5dbe2ae1	ПРЕЗЕНТ <= ИНФИНИТИВ	legen	legt	de_regelmäßige_Verben/извор/regelmäßige.tsv	7
81475909c37742f98c726cdf69c8c541	ПРЕЗЕНТ <= ИНФИНИТИВ	stellen	stellt	de_regelmäßige_Verben/извор/regelmäßige.tsv	8
aee4192ac2a9482ab6a67b5269ac05f1	ПРЕЗЕНТ <= ИНФИНИТИВ	setzen	setzt	de_regelmäßige_Verben/извор/regelmäßige.tsv	9
689d9e2d294449e5ac908a091ab80831	ПРЕЗЕНТ <= ИНФИНИТИВ	planen	plant	de_regelmäßige_Verben/извор/regelmäßige.tsv	10
fdb633231dfd46ac97024c071b8d52b1	ПРЕЗЕНТ <= ИНФИНИТИВ	sagen	sagt	de_regelmäßige_Verben/извор/regelmäßige.tsv	11
7a4c5e383c16453481e6dd3f77e53c81	ПРЕЗЕНТ <= ИНФИНИТИВ	ändern	ändert	de_regelmäßige_Verben/извор/regelmäßige.tsv	12
30b55a884c844b5ba1958b2c08ad3981	ПРЕЗЕНТ <= ИНФИНИТИВ	fragen	fragt	de_regelmäßige_Verben/извор/regelmäßige.tsv	13
7dad948e54db405899240ee51c73dd91	ПРЕЗЕНТ <= ИНФИНИТИВ	glauben	glaubt	de_regelmäßige_Verben/извор/regelmäßige.tsv	14
176cbc4bcb51468dac16335ef5ba2a81	ПРЕЗЕНТ <= ИНФИНИТИВ	hören	hört	de_regelmäßige_Verben/извор/regelmäßige.tsv	15
3deb6d64fcd34e58bd5a58b2c6836df1	ПРЕЗЕНТ <= ИНФИНИТИВ	zeigen	zeigt	de_regelmäßige_Verben/извор/regelmäßige.tsv	16
ef02597811364c20a152f284550b97d1	ПРЕЗЕНТ <= ИНФИНИТИВ	reden	redet	de_regelmäßige_Verben/извор/regelmäßige.tsv	17
2102cef3418944be81f20e4546a50061	ПРЕЗЕНТ <= ИНФИНИТИВ	suchen	sucht	de_regelmäßige_Verben/извор/regelmäßige.tsv	18
4261e807ac8f417bba0b24a7c15fd441	ПРЕЗЕНТ <= ИНФИНИТИВ	lieben	liebt	de_regelmäßige_Verben/извор/regelmäßige.tsv	19
07ac2b6a0e83404fa49e3515fdd91511	ПРЕЗЕНТ <= ИНФИНИТИВ	führen	führt	de_regelmäßige_Verben/извор/regelmäßige.tsv	20
941d3aa7a6f64d1e902d9971d99c5c82	ПРЕТЕРИТ <= ИНФИНИТИВ	leben	lebte	de_regelmäßige_Verben/извор/regelmäßige.tsv	2
ba937174b86a497da5eec1db5fd70e22	ПРЕТЕРИТ <= ИНФИНИТИВ	kaufen	kaufte	de_regelmäßige_Verben/извор/regelmäßige.tsv	3
a523269f524b4214895afe160b0ff5c2	ПРЕТЕРИТ <= ИНФИНИТИВ	lernen	lernte	de_regelmäßige_Verben/извор/regelmäßige.tsv	4
fe558125f654499b992124951f620662	ПРЕТЕРИТ <= ИНФИНИТИВ	machen	machte	de_regelmäßige_Verben/извор/regelmäßige.tsv	5
45b804484ee04976976e27f0833669e2	ПРЕТЕРИТ <= ИНФИНИТИВ	arbeiten	arbeitete	de_regelmäßige_Verben/извор/regelmäßige.tsv	6
993825d5143143b2bee57ecf5dbe2ae2	ПРЕТЕРИТ <= ИНФИНИТИВ	legen	legte	de_regelmäßige_Verben/извор/regelmäßige.tsv	7
81475909c37742f98c726cdf69c8c542	ПРЕТЕРИТ <= ИНФИНИТИВ	stellen	stellte	de_regelmäßige_Verben/извор/regelmäßige.tsv	8
aee4192ac2a9482ab6a67b5269ac05f2	ПРЕТЕРИТ <= ИНФИНИТИВ	setzen	setzte	de_regelmäßige_Verben/извор/regelmäßige.tsv	9
689d9e2d294449e5ac908a091ab80832	ПРЕТЕРИТ <= ИНФИНИТИВ	planen	plante	de_regelmäßige_Verben/извор/regelmäßige.tsv	10
fdb633231dfd46ac97024c071b8d52b2	ПРЕТЕРИТ <= ИНФИНИТИВ	sagen	sagte	de_regelmäßige_Verben/извор/regelmäßige.tsv	11
7a4c5e383c16453481e6dd3f77e53c82	ПРЕТЕРИТ <= ИНФИНИТИВ	ändern	änderte	de_regelmäßige_Verben/извор/regelmäßige.tsv	12
30b55a884c844b5ba1958b2c08ad3982	ПРЕТЕРИТ <= ИНФИНИТИВ	fragen	fragte	de_regelmäßige_Verben/извор/regelmäßige.tsv	13
7dad948e54db405899240ee51c73dd92	ПРЕТЕРИТ <= ИНФИНИТИВ	glauben	glaubte	de_regelmäßige_Verben/извор/regelmäßige.tsv	14
176cbc4bcb51468dac16335ef5ba2a82	ПРЕТЕРИТ <= ИНФИНИТИВ	hören	hörte	de_regelmäßige_Verben/извор/regelmäßige.tsv	15
3deb6d64fcd34e58bd5a58b2c6836df2	ПРЕТЕРИТ <= ИНФИНИТИВ	zeigen	zeigte	de_regelmäßige_Verben/извор/regelmäßige.tsv	16
ef02597811364c20a152f284550b97d2	ПРЕТЕРИТ <= ИНФИНИТИВ	reden	redete	de_regelmäßige_Verben/извор/regelmäßige.tsv	17
2102cef3418944be81f20e4546a50062	ПРЕТЕРИТ <= ИНФИНИТИВ	suchen	suchte	de_regelmäßige_Verben/извор/regelmäßige.tsv	18
4261e807ac8f417bba0b24a7c15fd442	ПРЕТЕРИТ <= ИНФИНИТИВ	lieben	liebte	de_regelmäßige_Verben/извор/regelmäßige.tsv	19
07ac2b6a0e83404fa49e3515fdd91512	ПРЕТЕРИТ <= ИНФИНИТИВ	führen	führte	de_regelmäßige_Verben/извор/regelmäßige.tsv	20
941d3aa7a6f64d1e902d9971d99c5c83	ПЕРФЕКТ <= ИНФИНИТИВ	leben	hat gelebt	de_regelmäßige_Verben/извор/regelmäßige.tsv	2
ba937174b86a497da5eec1db5fd70e23	ПЕРФЕКТ <= ИНФИНИТИВ	kaufen	hat gekauft	de_regelmäßige_Verben/извор/regelmäßige.tsv	3
a523269f524b4214895afe160b0ff5c3	ПЕРФЕКТ <= ИНФИНИТИВ	lernen	hat gelernt	de_regelmäßige_Verben/извор/regelmäßige.tsv	4
fe558125f654499b992124951f620663	ПЕРФЕКТ <= ИНФИНИТИВ	machen	hat gemacht	de_regelmäßige_Verben/извор/regelmäßige.tsv	5
45b804484ee04976976e27f0833669e3	ПЕРФЕКТ <= ИНФИНИТИВ	arbeiten	hat gearbeitet	de_regelmäßige_Verben/извор/regelmäßige.tsv	6
993825d5143143b2bee57ecf5dbe2ae3	ПЕРФЕКТ <= ИНФИНИТИВ	legen	hat gelegt	de_regelmäßige_Verben/извор/regelmäßige.tsv	7
81475909c37742f98c726cdf69c8c543	ПЕРФЕКТ <= ИНФИНИТИВ	stellen	hat gestellt	de_regelmäßige_Verben/извор/regelmäßige.tsv	8
aee4192ac2a9482ab6a67b5269ac05f3	ПЕРФЕКТ <= ИНФИНИТИВ	setzen	hat gesetzt	de_regelmäßige_Verben/извор/regelmäßige.tsv	9
689d9e2d294449e5ac908a091ab80833	ПЕРФЕКТ <= ИНФИНИТИВ	planen	hat geplant	de_regelmäßige_Verben/извор/regelmäßige.tsv	10
fdb633231dfd46ac97024c071b8d52b3	ПЕРФЕКТ <= ИНФИНИТИВ	sagen	hat gesagt	de_regelmäßige_Verben/извор/regelmäßige.tsv	11
7a4c5e383c16453481e6dd3f77e53c83	ПЕРФЕКТ <= ИНФИНИТИВ	ändern	hat geändert	de_regelmäßige_Verben/извор/regelmäßige.tsv	12
30b55a884c844b5ba1958b2c08ad3983	ПЕРФЕКТ <= ИНФИНИТИВ	fragen	hat gefragt	de_regelmäßige_Verben/извор/regelmäßige.tsv	13
7dad948e54db405899240ee51c73dd93	ПЕРФЕКТ <= ИНФИНИТИВ	glauben	hat geglaubt	de_regelmäßige_Verben/извор/regelmäßige.tsv	14
176cbc4bcb51468dac16335ef5ba2a83	ПЕРФЕКТ <= ИНФИНИТИВ	hören	hat gehört	de_regelmäßige_Verben/извор/regelmäßige.tsv	15
3deb6d64fcd34e58bd5a58b2c6836df3	ПЕРФЕКТ <= ИНФИНИТИВ	zeigen	hat gezeigt	de_regelmäßige_Verben/извор/regelmäßige.tsv	16
ef02597811364c20a152f284550b97d3	ПЕРФЕКТ <= ИНФИНИТИВ	reden	hat geredet	de_regelmäßige_Verben/извор/regelmäßige.tsv	17
2102cef3418944be81f20e4546a50063	ПЕРФЕКТ <= ИНФИНИТИВ	suchen	hat gesucht	de_regelmäßige_Verben/извор/regelmäßige.tsv	18
4261e807ac8f417bba0b24a7c15fd443	ПЕРФЕКТ <= ИНФИНИТИВ	lieben	hat geliebt	de_regelmäßige_Verben/извор/regelmäßige.tsv	19
07ac2b6a0e83404fa49e3515fdd91513	ПЕРФЕКТ <= ИНФИНИТИВ	führen	hat geführt	de_regelmäßige_Verben/извор/regelmäßige.tsv	20
941d3aa7a6f64d1e902d9971d99c5c84	ПРЕВОД <= ИНФИНИТИВ	leben	živeti	de_regelmäßige_Verben/извор/regelmäßige.tsv	2
ba937174b86a497da5eec1db5fd70e24	ПРЕВОД <= ИНФИНИТИВ	kaufen	kupovati	de_regelmäßige_Verben/извор/regelmäßige.tsv	3
a523269f524b4214895afe160b0ff5c4	ПРЕВОД <= ИНФИНИТИВ	lernen	učiti	de_regelmäßige_Verben/извор/regelmäßige.tsv	4
