ИД	ВРСТА_КАРТЕ	ПИТАЊЕ	ОДГОВОР	ИЗВОР	ЛИНИЈА
9e12923fd83e48d5ac08ab01dea6ca20	ИНФИНИТИВ <= ПРЕВОД	početi	beginnen	de_unregelmäßige_Verben/извор/unregelmäßige.tsv	2
0722f94042f4425ea6043bded0d6a820	ИНФИНИТИВ <= ПРЕВОД	dobiti	bekommen	de_unregelmäßige_Verben/извор/unregelmäßige.tsv	3
61788414796a4bf38732695db87aab90	ИНФИНИТИВ <= ПРЕВОД	nuditi	bieten	de_unregelmäßige_Verben/извор/unregelmäßige.tsv	4
41b7fa646a26475aa6023ed1a1439270	ИНФИНИТИВ <= ПРЕВОД	moliti	bitten	de_unregelmäßige_Verben/извор/unregelmäßige.tsv	5
b634c93aecec4427a1eeaad25c640be0	ИНФИНИТИВ <= ПРЕВОД	ostati	bleiben	de_unregelmäßige_Verben/извор/unregelmäßige.tsv	6
880e152c93b1412eb549c3d64420e970	ИНФИНИТИВ <= ПРЕВОД	goreti	brennen	de_unregelmäßige_Verben/извор/unregelmäßige.tsv	7
f22afb424f1a4ed5b6f1492fa8e65140	ИНФИНИТИВ <= ПРЕВОД	doneti	bringen	de_unregelmäßige_Verben/извор/unregelmäßige.tsv	8
037e5cd387d04496ae542cf484594e40	ИНФИНИТИВ <= ПРЕВОД	misliti	denken	de_unregelmäßige_Verben/извор/unregelmäßige.tsv	9
4157813edfb24ffc952f1bd9ccf1d9b0	ИНФИНИТИВ <= ПРЕВОД	smeti	dürfen	de_unregelmäßige_Verben/извор/unregelmäßige.tsv	10
f8924411091446248d30895d161966f0	ИНФИНИТИВ <= ПРЕВОД	preporučiti	empfehlen	de_unregelmäßige_Verben/извор/unregelmäßige.tsv	11
de07bde59ede40c694d1ab603dc6b870	ИНФИНИТИВ <= ПРЕВОД	jesti	essen	de_unregelmäßige_Verben/извор/unregelmäßige.tsv	12
626a3120c18f4744995429cca9f927d0	ИНФИНИТИВ <= ПРЕВОД	voziti; putovati	fahren	de_unregelmäßige_Verben/извор/unregelmäßige.tsv	13
923c9a3057f74ffd93f387ac559dc800	ИНФИНИТИВ <= ПРЕВОД	pasti	fallen	de_unregelmäßige_Verben/извор/unregelmäßige.tsv	14
04f1c7d7a69a4329a9595814c7d72bf0	ИНФИНИТИВ <= ПРЕВОД	naći	finden	de_unregelmäßige_Verben/извор/unregelmäßige.tsv	15
b2d8d718e2194ae89d99f29132781760	ИНФИНИТИВ <= ПРЕВОД	leteti	fliegen	de_unregelmäßige_Verben/извор/unregelmäßige.tsv	16
dbdd587dc8b44137a35899f6ccfa65c0	ИНФИНИТИВ <= ПРЕВОД	pobeći	fliehen	de_unregelmäßige_Verben/извор/unregelmäßige.tsv	17
78800cc773684261b84d4c6e507cd570	ИНФИНИТИВ <= ПРЕВОД	smrzavati (se)	frieren	de_unregelmäßige_Verben/извор/unregelmäßige.tsv	18
1d258aed486a429f8ca7220b8377eb50	ИНФИНИТИВ <= ПРЕВОД	dati	geben	de_unregelmäßige_Verben/извор/unregelmäßige.tsv	19
dcdf694156264a89a4f4869a19e3b920	ИНФИНИТИВ <= ПРЕВОД	dopadati se	gefallen	de_unregelmäßige_Verben/извор/unregelmäßige.tsv	20
78d721ef79ac4371b52216f34dd7cbb0	ИНФИНИТИВ <= ПРЕВОД	ići	gehen	de_unregelmäßige_Verben/извор/unregelmäßige.tsv	21
70493c0d97674efb8d66218c9e08dfa0	ИНФИНИТИВ <= ПРЕВОД	važiti	gelten	de_unregelmäßige_Verben/извор/unregelmäßige.tsv	22
12cbde2735cc40fb805198522fbc41e0	ИНФИНИТИВ <= ПРЕВОД	desiti se	geschehen	de_unregelmäßige_Verben/извор/unregelmäßige.tsv	23
842afa4193eb48e787d7243425731e30	ИНФИНИТИВ <= ПРЕВОД	pobediti	gewinnen	de_unregelmäßige_Verben/извор/unregelmäßige.tsv	24
94c6eafd33f846e78df61ec02a834630	ИНФИНИТИВ <= ПРЕВОД	imati	haben	de_unregelmäßige_Verben/извор/unregelmäßige.tsv	25
a3e89d5fe1dd422aac35e87fafd83910	ИНФИНИТИВ <= ПРЕВОД	držati	halten	de_unregelmäßige_Verben/извор/unregelmäßige.tsv	26
f88c27035229457d855fa3a42fa14e90	ИНФИНИТИВ <= ПРЕВОД	visiti	hängen	de_unregelmäßige_Verben/извор/unregelmäßige.tsv	27
76129727065b498db4296bed909600b0	ИНФИНИТИВ <= ПРЕВОД	podizati	heben	de_unregelmäßige_Verben/извор/unregelmäßige.tsv	28
65c6b04077f64dd1809c01724bbb8c60	ИНФИНИТИВ <= ПРЕВОД	zvati se	heißen	de_unregelmäßige_Verben/извор/unregelmäßige.tsv	29
3f6e2534046d42a4897dcae5c4612d30	ИНФИНИТИВ <= ПРЕВОД	pomoći	helfen	de_unregelmäßige_Verben/извор/unregelmäßige.tsv	30
203c69829ec449f59595bbdf231f4bb0	ИНФИНИТИВ <= ПРЕВОД	poznavati	kennen	de_unregelmäßige_Verben/извор/unregelmäßige.tsv	31
67313ec67865418d8e3a0662a30e5a20	ИНФИНИТИВ <= ПРЕВОД	zvučati; zvoniti	klingen	de_unregelmäßige_Verben/извор/unregelmäßige.tsv	32
b876487e17854bfb88e7b0b2270db360	ИНФИНИТИВ <= ПРЕВОД	doći	kommen	de_unregelmäßige_Verben/извор/unregelmäßige.tsv	33
c102919b1f7f43bd975c3e5c4d16d660	ИНФИНИТИВ <= ПРЕВОД	moći; umeti	können	de_unregelmäßige_Verben/извор/unregelmäßige.tsv	34
d5a0b281ce924d9290128ac0618fe2b0	ИНФИНИТИВ <= ПРЕВОД	tovariti	laden	de_unregelmäßige_Verben/извор/unregelmäßige.tsv	35
6d470317e66f4658a65f968acfe375f0	ИНФИНИТИВ <= ПРЕВОД	pustiti	lassen	de_unregelmäßige_Verben/извор/unregelmäßige.tsv	36
97777462926249a2891ccb840d9b6910	ИНФИНИТИВ <= ПРЕВОД	trčati; hodati; kretati se	laufen	de_unregelmäßige_Verben/извор/unregelmäßige.tsv	37
