КАРТА_ИД	ДАТУМ_ПРЕГЛЕДА	ВРЕМЕ_ПРЕГЛЕДА	РЕЗУЛТАТ_ПРЕГЛЕДА	НОВИ_ИНТЕРВАЛ
bfcdb132b3d44036be8f7bc42597d932	2020-03-31	10:58:39+0200	0	0
bfcdb132b3d44036be8f7bc42597d931	2020-03-31	10:58:51+0200	1	1
e5f0a91350074add9c33bc9da5399ec3	2020-03-31	14:10:27+0200	1	1
56445a68bc284baaa42dff3d62baefd0	2020-03-31	14:10:39+0200	0	0
7e80eb43c4db42f2aecf4dbbd95ac280	2020-03-31	14:10:59+0200	0	0
aeeb938b31fa4777b0a4c90306a24f36	2020-03-31	14:11:21+0200	0	0
b77cda25cbc845c9828044712aa384d3	2020-03-31	14:12:04+0200	1	1
69f39b19c9cb4e548c2e63e3ab77a1f0	2020-03-31	14:12:12+0200	0	0
e0b06ea472624e70bb90a8c3fc2035c1	2020-03-31	14:12:39+0200	1	1
56445a68bc284baaa42dff3d62baefd1	2020-03-31	14:12:58+0200	0	0
05a631b207444353b99eac7732cada01	2020-03-31	14:13:18+0200	0	0
aeeb938b31fa4777b0a4c90306a24f32	2020-03-31	14:13:35+0200	1	1
bfcdb132b3d44036be8f7bc42597d935	2020-03-31	14:13:49+0200	1	1
0dc502bce6a447abb40d6364bc207610	2020-03-31	14:14:11+0200	1	1
1c8863bb15d44e728489477072411161	2020-03-31	14:14:34+0200	1	1
07a4956cde434bd6b7d2b384c8ed8a94	2020-03-31	14:14:53+0200	1	1
e5f0a91350074add9c33bc9da5399ec8	2020-03-31	14:15:09+0200	1	1
7e80eb43c4db42f2aecf4dbbd95ac283	2020-03-31	14:15:31+0200	1	1
8c4935237fb946c4aa21db55a2a4a442	2020-03-31	14:15:43+0200	0	0
c95409cabab340cf8ee3c688964c2682	2020-03-31	14:15:52+0200	1	1
ef6584a6686f4b4894dcdfcaba38aa30	2020-03-31	14:16:03+0200	1	1
aeeb938b31fa4777b0a4c90306a24f34	2020-03-31	14:16:17+0200	0	0
e5f0a91350074add9c33bc9da5399ec2	2020-03-31	14:16:25+0200	1	1
07a4956cde434bd6b7d2b384c8ed8a92	2020-03-31	14:16:52+0200	1	1
07a4956cde434bd6b7d2b384c8ed8a91	2020-03-31	14:17:03+0200	1	1
f74ef91cce3b4d05ad999c84d68b55d2	2020-03-31	14:17:13+0200	1	1
07a4956cde434bd6b7d2b384c8ed8a90	2020-03-31	14:17:19+0200	1	1
b77cda25cbc845c9828044712aa384d0	2020-04-02	09:05:55+0200	1	1
7e80eb43c4db42f2aecf4dbbd95ac280	2020-04-02	09:11:23+0200	0	0
0dc502bce6a447abb40d6364bc207610	2020-04-02	09:12:15+0200	0	1
8c4935237fb946c4aa21db55a2a4a440	2020-04-02	09:13:51+0200	1	1
69f39b19c9cb4e548c2e63e3ab77a1f0	2020-04-02	09:14:07+0200	1	1
1c8863bb15d44e728489477072411160	2020-04-02	09:14:52+0200	0	0
aeeb938b31fa4777b0a4c90306a24f30	2020-04-02	09:15:21+0200	1	1
1deb7839d33246ce8e8daaef1106a1c0	2020-04-02	09:16:00+0200	0	0
aeeb938b31fa4777b0a4c90306a24f31	2020-04-02	09:16:29+0200	1	1
