ВРСТА_КАРТЕ	ДАТУМ	ИНТЕРВАЛИ
СТРОФА 4	2020-04-17	1, 6, 15, 38, 94, 234, 586, 1465, 3662
СТРОФА 7	2020-04-17	1, 6, 15, 38, 94, 234, 586, 1465, 3662
СТРОФА 1	2020-04-17	1, 6, 15, 38, 94, 234, 586, 1465, 3662
СТРОФА 5	2020-04-17	1, 6, 15, 38, 94, 234, 586, 1465, 3662
СТРОФА 8	2020-04-17	1, 6, 15, 38, 94, 234, 586, 1465, 3662
СТРОФА 2	2020-04-17	1, 6, 15, 38, 94, 234, 586, 1465, 3662
СТРОФА 0	2020-04-17	1, 6, 15, 38, 94, 234, 586, 1465, 3662
СТРОФА 6	2020-04-17	1, 6, 15, 38, 94, 234, 586, 1465, 3662
СТРОФА 3	2020-04-17	1, 6, 15, 38, 94, 234, 586, 1465, 3662
СТРОФА 3	2020-04-17	1, 6, 15, 38, 94, 234, 586, 1465, 3662
СТРОФА 4	2020-04-17	1, 6, 15, 38, 94, 234, 586, 1465, 3662
СТРОФА 5	2020-04-17	1, 6, 15, 38, 94, 234, 586, 1465, 3662
СТРОФА 7	2020-04-17	1, 6, 15, 38, 94, 234, 586, 1465, 3662
СТРОФА 6	2020-04-17	1, 6, 15, 38, 94, 234, 586, 1465, 3662
СТРОФА 0	2020-04-17	1, 6, 15, 38, 94, 234, 586, 1465, 3662
СТРОФА 2	2020-04-17	1, 6, 15, 38, 94, 234, 586, 1465, 3662
СТРОФА 8	2020-04-17	1, 6, 15, 38, 94, 234, 586, 1465, 3662
СТРОФА 1	2020-04-17	1, 6, 15, 38, 94, 234, 586, 1465, 3662
СТРОФА 5	2020-04-17	1, 6, 15, 38, 94, 234, 586, 1465, 3662
СТРОФА 8	2020-04-17	1, 6, 15, 38, 94, 234, 586, 1465, 3662
СТРОФА 2	2020-04-17	1, 6, 15, 38, 94, 234, 586, 1465, 3662
СТРОФА 0	2020-04-17	1, 6, 15, 38, 94, 234, 586, 1465, 3662
СТРОФА 4	2020-04-17	1, 6, 15, 38, 94, 234, 586, 1465, 3662
СТРОФА 6	2020-04-17	1, 6, 15, 38, 94, 234, 586, 1465, 3662
СТРОФА 7	2020-04-17	1, 6, 15, 38, 94, 234, 586, 1465, 3662
СТРОФА 1	2020-04-17	1, 6, 15, 38, 94, 234, 586, 1465, 3662
СТРОФА 3	2020-04-17	1, 6, 15, 38, 94, 234, 586, 1465, 3662
