ИД	ВРСТА_КАРТЕ	ПИТАЊЕ	ОДГОВОР	ИЗВОР	ЛИНИЈА
1c8863bb15d44e728489477072411160	СТРОФА 0	Bandiera rosa	Avanti o popolo alla riscossa\nBandiera rossa, Bandiera rossa\nAvanti o popolo alla riscossa\nBandiera rossa trionferà!\nBandiera rossa la trionferà!\nBandiera rossa la trionferà!\nBandiera rossa la trionferà!\nEvviva il comunismo e la libertà!	песме/извор/Bandiera-rosa.txt	2
1c8863bb15d44e728489477072411161	СТРОФА 1	Avanti o popolo alla riscossa\nBandiera rossa, Bandiera rossa\nAvanti o popolo alla riscossa\nBandiera rossa trionferà!\nBandiera rossa la trionferà!\nBandiera rossa la trionferà!\nBandiera rossa la trionferà!\nEvviva il comunismo e la libertà!	Degli sfruttati l’immensa schiera\nLa pura innalzi, rossa bandiera\nO proletari, alla riscossa\nBandiera rossa trionferà!\nBandiera rossa la trionferà!\nBandiera rossa la trionferà!\nBandiera rossa la trionferà!\nIl fruto del lavoro a chi lavora andrà!	песме/извор/Bandiera-rosa.txt	2
1c8863bb15d44e728489477072411162	СТРОФА 2	Degli sfruttati l’immensa schiera\nLa pura innalzi, rossa bandiera\nO proletari, alla riscossa\nBandiera rossa trionferà!\nBandiera rossa la trionferà!\nBandiera rossa la trionferà!\nBandiera rossa la trionferà!\nIl fruto del lavoro a chi lavora andrà!	Dai campi al mare, dalla miniera\nAll'officina, chi soffre e spera\nSia pronto e l'ora della riscossa\nBandiera rossa trionferà!\nBandiera rossa la trionferà!\nBandiera rossa la trionferà!\nBandiera rossa la trionferà!\nSoltanto il comunismo e vera libertà!	песме/извор/Bandiera-rosa.txt	2
1c8863bb15d44e728489477072411163	СТРОФА 3	Dai campi al mare, dalla miniera\nAll'officina, chi soffre e spera\nSia pronto e l'ora della riscossa\nBandiera rossa trionferà!\nBandiera rossa la trionferà!\nBandiera rossa la trionferà!\nBandiera rossa la trionferà!\nSoltanto il comunismo e vera libertà!	Non piu nemici, non piu frontiere\nSono i confini rosse bandiere,\nO comunisti, alla riscossa\nBandiera rossa trionferà!\nBandiera rossa la trionferà!\nBandiera rossa la trionferà!\nBandiera rossa la trionferà!\nNel solo comunismo pace libertà!	песме/извор/Bandiera-rosa.txt	2
1c8863bb15d44e728489477072411164	СТРОФА 4	Non piu nemici, non piu frontiere\nSono i confini rosse bandiere,\nO comunisti, alla riscossa\nBandiera rossa trionferà!\nBandiera rossa la trionferà!\nBandiera rossa la trionferà!\nBandiera rossa la trionferà!\nNel solo comunismo pace libertà!	Falange audace cosciente e fiera\nDispiega al sole rossa bandiera\nLavoratori alla riscossa\nBandiera rossa trionferà!\nBandiera rossa la trionferà!\nBandiera rossa la trionferà!\nBandiera rossa la trionferà!\nEvviva il comunismo e la libertà!	песме/извор/Bandiera-rosa.txt	2
f74ef91cce3b4d05ad999c84d68b55d0	СТРОФА 0	Canción del mariachi	Soy un hombre muy honrado\nQue me gusta lo mejor\nLas mujeres no me faltan, ni el dinero, ni el amor	песме/извор/Canción-del-mariachi.txt	2
f74ef91cce3b4d05ad999c84d68b55d1	СТРОФА 1	Soy un hombre muy honrado\nQue me gusta lo mejor\nLas mujeres no me faltan, ni el dinero, ni el amor	Jineteando en mi caballo\nPor la sierra yo me voy\nLas estrellas y la luna, ellas me dicen donde voy	песме/извор/Canción-del-mariachi.txt	2
f74ef91cce3b4d05ad999c84d68b55d2	СТРОФА 2	Jineteando en mi caballo\nPor la sierra yo me voy\nLas estrellas y la luna, ellas me dicen donde voy	Ay, ay, ay, ay\nAy, ay mi amor\nAy mi morena de mi corazón	песме/извор/Canción-del-mariachi.txt	2
f74ef91cce3b4d05ad999c84d68b55d3	СТРОФА 3	Ay, ay, ay, ay\nAy, ay mi amor\nAy mi morena de mi corazón	Me gusta tocar la guitarra\nMe gusta cantar el sol\nMariachi me acompaña cuando canto mi canción	песме/извор/Canción-del-mariachi.txt	2
f74ef91cce3b4d05ad999c84d68b55d4	СТРОФА 4	Me gusta tocar la guitarra\nMe gusta cantar el sol\nMariachi me acompaña cuando canto mi canción	Me gusta tomar mis copas\nAguardiente es lo mejor\nTambién el tequila blanco con su sal le da sabor	песме/извор/Canción-del-mariachi.txt	2
