ИД	ВРСТА_КАРТЕ	ПИТАЊЕ	ОДГОВОР	ИЗВОР	ЛИНИЈА
3f84e5288c544cd98d7039f22422b080	ТИП1	пи5665626895261261	од6820691083408786	тест_без_записа/извор/aaa	2
0611f48759134762a8573f1517ed75f0	ТИП1	пи13907403891048653	од056521829274299495	тест_без_записа/извор/aaa	3
aa9f9341b91343ed8b71c32300520180	ТИП1	пи3566966649940543	од6488231863219851	тест_без_записа/извор/aaa	4
570e8bc6374a42e2afec2cac922b85c0	ТИП1	пи0890624822806414	од14521653288864	тест_без_записа/извор/aaa	5
017127dd7da94a0aa34343c9dd511870	ТИП1	пи6055811767852696	од8304490458138457	тест_без_записа/извор/aaa	6
581f442bea124a88b002527bf8bde290	ТИП1	пи8033516315935594	од8833487388002089	тест_без_записа/извор/aaa	7
07ecc8660dc849feadff09561ea289f0	ТИП1	пи4465435635592988	од8300727438245973	тест_без_записа/извор/aaa	8
0c5c21278023449f9375700ecca44ac0	ТИП1	пи20855952155351565	од9519284702771909	тест_без_записа/извор/aaa	9
84604596927e461d81b871e9f8477520	ТИП1	пи85048232360699	од24279871001494446	тест_без_записа/извор/aaa	10
c09b4567782641adb60106ff827ff8b0	ТИП1	пи33647321222808335	од9105341558326924	тест_без_записа/извор/aaa	11
e119abdbae574439830cc2c829b7d070	ТИП1	пи07717544877029725	од1532025772190454	тест_без_записа/извор/aaa	12
d8fdf597f3604d639f4ef6357a6ede30	ТИП1	пи7399046371574413	од9774898497028305	тест_без_записа/извор/aaa	13
d71cd45c1f164e548d7dc2dcb879ea30	ТИП1	пи5795603937752866	од28941448570819894	тест_без_записа/извор/aaa	14
1a73dfbdc41a41efba917c2aca921dc0	ТИП1	пи9226388129631903	од5164173216032828	тест_без_записа/извор/aaa	15
245eaf1bdbc44ced87a1be428ea88760	ТИП1	пи3536215527070301	од8426239730053741	тест_без_записа/извор/aaa	16
3ede8c67b7d341ceab31384693dfe130	ТИП1	пи18506374382046942	од3775020406688566	тест_без_записа/извор/aaa	17
f7251660db90466990b8abb4352e62b0	ТИП1	пи5470158231430238	од17429660922262458	тест_без_записа/извор/aaa	18
1110f9f85057478b8a9fdf9737490d20	ТИП1	пи12214787848884168	од06332932476291186	тест_без_записа/извор/aaa	19
abdc1a90b4fa43a68924801cb4bba220	ТИП1	пи8052075222674128	од2493544374255079	тест_без_записа/извор/aaa	20
f2fffc3b5d5049f18abbc64d4e1ff750	ТИП1	пи05873209090091114	од9717285639046248	тест_без_записа/извор/aaa	21
8c487102c32f408e99ee04b086141020	ТИП1	пи6974963518875322	од34568602112837776	тест_без_записа/извор/aaa	22
980ef868c576405db6979326164f74a0	ТИП1	пи34210070427857175	од3615734338087324	тест_без_записа/извор/aaa	23
4bb3954494364568803df72f70560070	ТИП1	пи9779020885756596	од7467179056463102	тест_без_записа/извор/aaa	24
82b774a9a9794fd48f5d9f935d3f1540	ТИП1	пи4460937889648261	од10027855990100487	тест_без_записа/извор/aaa	25
9cda9fc9521f47cb9186fd24a2c61f90	ТИП1	пи9165657975278946	од8999525754319211	тест_без_записа/извор/aaa	26
5b4b2515e2a341bab3570aaebfda0350	ТИП1	пи839808289244957	од5664492199996741	тест_без_записа/извор/aaa	27
6f20c69c966245a78cc3cccc480dcea0	ТИП1	пи7066825250113021	од7066592340137009	тест_без_записа/извор/aaa	28
1d154f105a2a471b9386901e52223c40	ТИП1	пи02767866779968442	од6627100969363043	тест_без_записа/извор/aaa	29
5c0afad459f2408197f17ceb06d9de40	ТИП1	пи8568858030696003	од5560770367768935	тест_без_записа/извор/aaa	30
92ab8c45b5c74323bf0f4fc0d1ead840	ТИП1	пи3840476529660295	од28995159458109776	тест_без_записа/извор/aaa	31
b415e0a2066c474f9d81122c5f6680f0	ТИП1	пи5670215744143822	од02806193628108522	тест_без_записа/извор/aaa	32
88ec512faea04a628d171388f6a53c00	ТИП1	пи3325651102575171	од6583856117956958	тест_без_записа/извор/aaa	33
2cd1ee1affd745f1a595503c22b49ea0	ТИП1	пи6086221312986229	од9952814703819539	тест_без_записа/извор/aaa	34
0de0c477bf6c4de0bfe05ab34e108e20	ТИП1	пи055263730880911965	од727092370943289	тест_без_записа/извор/aaa	35
d9816b14ed204fb089eb192b2d5d79c0	ТИП1	пи19490253622692733	од18497949692519033	тест_без_записа/извор/aaa	36
492d19d278004c408fd7c0099c4eb390	ТИП1	пи22698092553368365	од6108273729274749	тест_без_записа/извор/aaa	37
2f44c561950f42eeb72a797d849f6e40	ТИП1	пи9091166268373584	од26478197241303625	тест_без_записа/извор/aaa	38
7899ff2f4e7842728c83fa6ec7c13520	ТИП1	пи6410001887401818	од5312119988996873	тест_без_записа/извор/aaa	39
de6b2c359c994721bf0d72c9bb5cbbe0	ТИП1	пи2136695982264437	од9485732978569527	тест_без_записа/извор/aaa	40
cd4d648448c14fcb8e347fa3218f5530	ТИП1	пи48786087184236315	од21794314066866216	тест_без_записа/извор/aaa	41
6dae6293a4704679a323a1e1ebbead60	ТИП1	пи4143969061701096	од9213433030400816	тест_без_записа/извор/aaa	42
c72166797c544521a5fd1db94a51ad50	ТИП1	пи055337838197296874	од115196510894095	тест_без_записа/извор/aaa	43
d57e473fee7a485fb54972fe7cd67760	ТИП1	пи5920256114918179	од04994996243849037	тест_без_записа/извор/aaa	44
28e5cf643fad4ef4bfa7bfcd7cdbfdb0	ТИП1	пи6785569976231789	од8917049029021611	тест_без_записа/извор/aaa	45
d58d9b88d0a94e4283d707e2cc788470	ТИП1	пи9590301219321498	од8325737695736816	тест_без_записа/извор/aaa	46
fa58fe7a1bef47e6a49fdc2a00c7c0d0	ТИП1	пи7431445110557701	од8060741362225048	тест_без_записа/извор/aaa	47
9c012571cfde45aa9ab36cd8e5779600	ТИП1	пи7109948674932416	од3970656657962133	тест_без_записа/извор/aaa	48
75975cbdf3d24360b43dcce086a8a9e0	ТИП1	пи3491664653713854	од576192256841167	тест_без_записа/извор/aaa	49
e146fd99713640aeaddb5be1929471f0	ТИП1	пи3397803390017523	од9561785791092828	тест_без_записа/извор/aaa	50
e416a644a5f444e9a88e12aff00601f0	ТИП1	пи4212934281067019	од595030730081001	тест_без_записа/извор/aaa	51
fd0b368649d444e0bdde6b95a9c3c9b0	ТИП1	пи9167108897376802	од3650917437034178	тест_без_записа/извор/aaa	52
bcdbc6f8deb94f3b8bb0c88a5f331520	ТИП1	пи9517827972079287	од4908577149843988	тест_без_записа/извор/aaa	53
5710b4d4a8d64473b2748645de92c5b0	ТИП1	пи5822216774084142	од597945436039673	тест_без_записа/извор/aaa	54
544059612ed143dd827d9503703655f0	ТИП1	пи36923010090071795	од4583873492142648	тест_без_записа/извор/aaa	55
001a8809f1ae4888bff5c1ead1ebaf30	ТИП1	пи2906139069429312	од4067057192914646	тест_без_записа/извор/aaa	56
843cebb8647a4e639ffca06a65bb25a0	ТИП1	пи0874233271109226	од256877370978576	тест_без_записа/извор/aaa	57
ea1094efc69248c499d81d938bb93d70	ТИП1	пи4810658337907212	од778891974357237	тест_без_записа/извор/aaa	58
d79a016f9b5840c9a4df982272a2cd50	ТИП1	пи22863927538710294	од6315408184580693	тест_без_записа/извор/aaa	59
4a07e4cc2a5942c6a4543bff92fdcce0	ТИП1	пи8046268750630173	од7317986374260014	тест_без_записа/извор/aaa	60
932a921e6fb242f6a660652828fa8470	ТИП1	пи594499688138435	од46837760648853766	тест_без_записа/извор/aaa	61
1d4d5d3f5f944ec6993623d44cd579e0	ТИП1	пи8393826439861383	од537576214008644	тест_без_записа/извор/aaa	62
700fb784431b4eafa0cbeeaed682bdc0	ТИП1	пи15139183418514168	од4871551207216057	тест_без_записа/извор/aaa	63
f13c5151ddbd43148a581d4ece7ac500	ТИП1	пи5597950123897537	од6707147773417728	тест_без_записа/извор/aaa	64
7cfeb46b7415466f9a295f1c7277fa10	ТИП1	пи61769697077902	од1162490469845846	тест_без_записа/извор/aaa	65
f8235e51596e4235a962131c30d8c330	ТИП1	пи8362266876776769	од06549258040331107	тест_без_записа/извор/aaa	66
274468a132c847a48e42efd801178cb0	ТИП1	пи46801062793263026	од34943144654805325	тест_без_записа/извор/aaa	67
ffda7f20b3f24d249467963d916de610	ТИП1	пи4551302527375144	од12203114000368254	тест_без_записа/извор/aaa	68
af6c94fea50e4f6db3c12f0b2c8425d0	ТИП1	пи9254259377513087	од014595752948764917	тест_без_записа/извор/aaa	69
6a102f4728244905a9ea4e2975c9a390	ТИП1	пи8932480605382168	од23297813338638662	тест_без_записа/извор/aaa	70
85526bc7b82f4f3c85ef78aaec8d8d70	ТИП1	пи1842873339857507	од3613083000060051	тест_без_записа/извор/aaa	71
80dd264a14fc4e73bc3d31dcae8da900	ТИП1	пи5935796470525264	од1712706093756582	тест_без_записа/извор/aaa	72
cb18eb4136474e55a3508a563cd82ba0	ТИП1	пи06580750275672609	од5137566890900918	тест_без_записа/извор/aaa	73
8d013254e56840a39be7aa031fa65e10	ТИП1	пи09798347510889549	од6240672270455717	тест_без_записа/извор/aaa	74
eb954920743d4090acc2e24adb6bcf40	ТИП1	пи1944692510948256	од2213549943854175	тест_без_записа/извор/aaa	75
75bc05fdbfc045c380c52829bddafa40	ТИП1	пи0261975415026664	од22889736543626615	тест_без_записа/извор/aaa	76
ecd34dad6c4947aca84695becaa39db0	ТИП1	пи6610316794363892	од8878553650128191	тест_без_записа/извор/aaa	77
941491af847e4401bc6c2223039e4540	ТИП1	пи3295429801115325	од7568520550046428	тест_без_записа/извор/aaa	78
5da3b396b3434968b4a9193c35913750	ТИП1	пи42939057230799504	од7951731432193943	тест_без_записа/извор/aaa	79
1377bae38db645c6920fba7a6add8720	ТИП1	пи29710883273186595	од7518008791156724	тест_без_записа/извор/aaa	80
1fe622a0d34a4de29e5001ccfeb3d9d0	ТИП1	пи004620683407168702	од18415250433864905	тест_без_записа/извор/aaa	81
38b3e29a6c6b4711bafd87437f6afd20	ТИП1	пи1494185988271114	од9931732377333329	тест_без_записа/извор/aaa	82
d7cb7c23ea3f4bb192ea87c61f632f70	ТИП1	пи730382095457227	од9716232196349077	тест_без_записа/извор/aaa	83
c5e4cdf268774a99b0e3defa2c6b11e0	ТИП1	пи2133154631066868	од0632695089992088	тест_без_записа/извор/aaa	84
8118b00fa6c94d8fa6e2795aa63b2380	ТИП1	пи4675522956786472	од815938313237246	тест_без_записа/извор/aaa	85
86fcd8bf51944ac98caa658d44228550	ТИП1	пи9354934185213745	од9135435464615183	тест_без_записа/извор/aaa	86
9c04813dd84e4c3ebb689e614c80dd80	ТИП1	пи4091906346190831	од635001076032906	тест_без_записа/извор/aaa	87
5278076c13e24129970cde6904625340	ТИП1	пи6839217907486667	од08232755240891998	тест_без_записа/извор/aaa	88
13bb0eeec0c84ad5b59b28092ff49e90	ТИП1	пи643671672421284	од5387032967744775	тест_без_записа/извор/aaa	89
2f605a72c9e546259e9ba4c6a3a709f0	ТИП1	пи9622769269444477	од26558729334058695	тест_без_записа/извор/aaa	90
3b58b890fc984d04a58eeb1468b88940	ТИП1	пи18479662638322392	од9784472434684078	тест_без_записа/извор/aaa	91
5916603e4a094cf2b481c6e8f5672b90	ТИП1	пи9101924172047858	од5659258928445223	тест_без_записа/извор/aaa	92
3f84e5288c544cd98d7039f22422b081	ТИП2	пи8627622575820657	од48762593167678125	тест_без_записа/извор/aaa	2
0611f48759134762a8573f1517ed75f1	ТИП2	пи6594800141188557	од7155071593072173	тест_без_записа/извор/aaa	3
aa9f9341b91343ed8b71c32300520181	ТИП2	пи7604419368790905	од5896375433754723	тест_без_записа/извор/aaa	4
570e8bc6374a42e2afec2cac922b85c1	ТИП2	пи16374850225924453	од39482790320803174	тест_без_записа/извор/aaa	5
017127dd7da94a0aa34343c9dd511871	ТИП2	пи5338360793689254	од5428239180706251	тест_без_записа/извор/aaa	6
581f442bea124a88b002527bf8bde291	ТИП2	пи9019059335456326	од6294717244280812	тест_без_записа/извор/aaa	7
07ecc8660dc849feadff09561ea289f1	ТИП2	пи3029534206729466	од9711054482162299	тест_без_записа/извор/aaa	8
0c5c21278023449f9375700ecca44ac1	ТИП2	пи7657961531278945	од29846109736232784	тест_без_записа/извор/aaa	9
84604596927e461d81b871e9f8477521	ТИП2	пи7637460010574035	од6562500002340543	тест_без_записа/извор/aaa	10
c09b4567782641adb60106ff827ff8b1	ТИП2	пи6887386545142925	од05399506223406758	тест_без_записа/извор/aaa	11
e119abdbae574439830cc2c829b7d071	ТИП2	пи2651981725742657	од5882987704383177	тест_без_записа/извор/aaa	12
d8fdf597f3604d639f4ef6357a6ede31	ТИП2	пи5503378181379325	од8291624528451944	тест_без_записа/извор/aaa	13
d71cd45c1f164e548d7dc2dcb879ea31	ТИП2	пи5523942517023248	од9052006652858101	тест_без_записа/извор/aaa	14
1a73dfbdc41a41efba917c2aca921dc1	ТИП2	пи13068362713766113	од8048595542839427	тест_без_записа/извор/aaa	15
245eaf1bdbc44ced87a1be428ea88761	ТИП2	пи778467327209947	од17654888299817995	тест_без_записа/извор/aaa	16
3ede8c67b7d341ceab31384693dfe131	ТИП2	пи6028186093937946	од7536790713292516	тест_без_записа/извор/aaa	17
f7251660db90466990b8abb4352e62b1	ТИП2	пи2687855366433757	од32956797913040214	тест_без_записа/извор/aaa	18
1110f9f85057478b8a9fdf9737490d21	ТИП2	пи15716759023564386	од8036556479178727	тест_без_записа/извор/aaa	19
abdc1a90b4fa43a68924801cb4bba221	ТИП2	пи4675973780198166	од18669082982164809	тест_без_записа/извор/aaa	20
f2fffc3b5d5049f18abbc64d4e1ff751	ТИП2	пи48675213291882746	од7136089050271104	тест_без_записа/извор/aaa	21
8c487102c32f408e99ee04b086141021	ТИП2	пи16159819363485184	од5584249330752905	тест_без_записа/извор/aaa	22
980ef868c576405db6979326164f74a1	ТИП2	пи2502541967452655	од5805181912955069	тест_без_записа/извор/aaa	23
4bb3954494364568803df72f70560071	ТИП2	пи8270868704762719	од20186884526975257	тест_без_записа/извор/aaa	24
82b774a9a9794fd48f5d9f935d3f1541	ТИП2	пи9650410714003858	од6223529507714975	тест_без_записа/извор/aaa	25
9cda9fc9521f47cb9186fd24a2c61f91	ТИП2	пи1411229670460904	од5841646439029808	тест_без_записа/извор/aaa	26
5b4b2515e2a341bab3570aaebfda0351	ТИП2	пи3203870176728668	од5614097730636207	тест_без_записа/извор/aaa	27
6f20c69c966245a78cc3cccc480dcea1	ТИП2	пи887187170372026	од4684037621018253	тест_без_записа/извор/aaa	28
1d154f105a2a471b9386901e52223c41	ТИП2	пи0072072885622862515	од08584453557574545	тест_без_записа/извор/aaa	29
5c0afad459f2408197f17ceb06d9de41	ТИП2	пи4738623231417185	од8642454739028155	тест_без_записа/извор/aaa	30
