ИД	ВРСТА_КАРТЕ	ПИТАЊЕ	ОДГОВОР	ИЗВОР	ЛИНИЈА
f8de5f96d5d743ff8a408a5feccd8f30	ТИП1	пи25211707516272774	од08590298923287298	тест_без_записа_и_линкова/извор/bbb	2
69dfcebb754848428d8659fcb6634380	ТИП1	пи3133407592033942	од07002439565014784	тест_без_записа_и_линкова/извор/bbb	3
d4c45849670e49f3b88f313ec8f85d70	ТИП1	пи15954499687875612	од7175874034825931	тест_без_записа_и_линкова/извор/bbb	4
5970b60ac51349ed8fbda4dddcb1f5c0	ТИП1	пи4858842578756952	од9160439647566777	тест_без_записа_и_линкова/извор/bbb	5
172ee13b019b464f8c3c0e283b339ca0	ТИП1	пи19235825843591514	од49239057750282234	тест_без_записа_и_линкова/извор/bbb	6
62168df5bf744001b6ca2f06ed326a80	ТИП1	пи9385530814517227	од5450548739545641	тест_без_записа_и_линкова/извор/bbb	7
0af1a7eee2674b41a5d2267d50db1470	ТИП1	пи11804148757210231	од46591491551893194	тест_без_записа_и_линкова/извор/bbb	8
fcbb56bea5e046aea1f649558b08b8c0	ТИП1	пи1370807511565837	од24378451831057457	тест_без_записа_и_линкова/извор/bbb	9
59b839f8d6314e6eb2c0fdd0b7145630	ТИП1	пи42894025532815305	од9445876268484958	тест_без_записа_и_линкова/извор/bbb	10
e971ea79571d4f90859db36c277ac970	ТИП1	пи622752576076588	од9352492650176633	тест_без_записа_и_линкова/извор/bbb	11
f8de5f96d5d743ff8a408a5feccd8f31	ТИП2	пи11421626206258262	од39050058221064887	тест_без_записа_и_линкова/извор/bbb	2
69dfcebb754848428d8659fcb6634381	ТИП2	пи9573847418851142	од3886908441953385	тест_без_записа_и_линкова/извор/bbb	3
d4c45849670e49f3b88f313ec8f85d71	ТИП2	пи133656269389836	од1874657395497228	тест_без_записа_и_линкова/извор/bbb	4
5970b60ac51349ed8fbda4dddcb1f5c1	ТИП2	пи3200390184659835	од06380084217106086	тест_без_записа_и_линкова/извор/bbb	5
172ee13b019b464f8c3c0e283b339ca1	ТИП2	пи655216123329679	од7478807577132655	тест_без_записа_и_линкова/извор/bbb	6
62168df5bf744001b6ca2f06ed326a81	ТИП2	пи6866916274220467	од6952833806846643	тест_без_записа_и_линкова/извор/bbb	7
0af1a7eee2674b41a5d2267d50db1471	ТИП2	пи2448057671801076	од3154239407750288	тест_без_записа_и_линкова/извор/bbb	8
fcbb56bea5e046aea1f649558b08b8c1	ТИП2	пи41997546452761747	од8058044687956949	тест_без_записа_и_линкова/извор/bbb	9
59b839f8d6314e6eb2c0fdd0b7145631	ТИП2	пи6082932013899852	од8213026065191154	тест_без_записа_и_линкова/извор/bbb	10
e971ea79571d4f90859db36c277ac971	ТИП2	пи8916932930178727	од1702433552100081	тест_без_записа_и_линкова/извор/bbb	11
f8de5f96d5d743ff8a408a5feccd8f32	ТИП3	пи7361530901980603	од67399289024568	тест_без_записа_и_линкова/извор/bbb	2
69dfcebb754848428d8659fcb6634382	ТИП3	пи9227666779582742	од3878339119378472	тест_без_записа_и_линкова/извор/bbb	3
d4c45849670e49f3b88f313ec8f85d72	ТИП3	пи028993820412400062	од9031820551393689	тест_без_записа_и_линкова/извор/bbb	4
5970b60ac51349ed8fbda4dddcb1f5c2	ТИП3	пи14073661749715394	од8846690498227218	тест_без_записа_и_линкова/извор/bbb	5
172ee13b019b464f8c3c0e283b339ca2	ТИП3	пи9569251940041426	од35556197121009714	тест_без_записа_и_линкова/извор/bbb	6
62168df5bf744001b6ca2f06ed326a82	ТИП3	пи9434771046433168	од6404499342954632	тест_без_записа_и_линкова/извор/bbb	7
0af1a7eee2674b41a5d2267d50db1472	ТИП3	пи1136332379915802	од07099262242936699	тест_без_записа_и_линкова/извор/bbb	8
fcbb56bea5e046aea1f649558b08b8c2	ТИП3	пи17019130507860047	од8644738543090849	тест_без_записа_и_линкова/извор/bbb	9
59b839f8d6314e6eb2c0fdd0b7145632	ТИП3	пи6433519603214195	од5010984536156659	тест_без_записа_и_линкова/извор/bbb	10
e971ea79571d4f90859db36c277ac972	ТИП3	пи5270201026050009	од6966882474462515	тест_без_записа_и_линкова/извор/bbb	11
f8de5f96d5d743ff8a408a5feccd8f33	ТИП4	пи8948035285250238	од058116079202746196	тест_без_записа_и_линкова/извор/bbb	2
69dfcebb754848428d8659fcb6634383	ТИП4	пи45776117244467596	од6209172951916025	тест_без_записа_и_линкова/извор/bbb	3
d4c45849670e49f3b88f313ec8f85d73	ТИП4	пи01645011009079944	од9955900688720056	тест_без_записа_и_линкова/извор/bbb	4
5970b60ac51349ed8fbda4dddcb1f5c3	ТИП4	пи4557514032385772	од7904644173208402	тест_без_записа_и_линкова/извор/bbb	5
172ee13b019b464f8c3c0e283b339ca3	ТИП4	пи19533252090987263	од26016769694544195	тест_без_записа_и_линкова/извор/bbb	6
62168df5bf744001b6ca2f06ed326a83	ТИП4	пи9579714352876446	од47289071688438955	тест_без_записа_и_линкова/извор/bbb	7
0af1a7eee2674b41a5d2267d50db1473	ТИП4	пи5538579228080106	од7887157549415685	тест_без_записа_и_линкова/извор/bbb	8
fcbb56bea5e046aea1f649558b08b8c3	ТИП4	пи44845298521849564	од709933794228199	тест_без_записа_и_линкова/извор/bbb	9
59b839f8d6314e6eb2c0fdd0b7145633	ТИП4	пи26205817640741436	од8733131027498777	тест_без_записа_и_линкова/извор/bbb	10
e971ea79571d4f90859db36c277ac973	ТИП4	пи5516848077199282	од8172970609067173	тест_без_записа_и_линкова/извор/bbb	11
