КАРТА_ИД	ДАТУМ_ПРЕГЛЕДА	ВРЕМЕ_ПРЕГЛЕДА	РЕЗУЛТАТ_ПРЕГЛЕДА	НОВИ_ИНТЕРВАЛ
1af60f7a9d38405eb0b4e67ec910b7e0	2020-04-05	11:44:23+0200	1	1
5e8dadf80f0f4e8cb1880e165d46a980	2020-04-05	11:44:23+0200	1	1
d1beae437bb94970b60b4a66106221c0	2020-04-05	11:44:23+0200	1	1
574d5becc5244f109fafdb5c5a1639d0	2020-04-05	11:44:23+0200	1	1
64cfb8ee69d74de196260a7c7b6b90e0	2020-04-05	11:44:23+0200	1	1
4c4e70900e8c40778576c93e74c42eb0	2020-04-05	11:44:23+0200	1	1
0bb3a79ca0954986aabdbf2671ebfed0	2020-04-05	11:44:23+0200	1	1
53b1890333c34095bfe7b1f06d646210	2020-04-05	11:44:23+0200	1	1
c0f6271ef7de4ae68050f48a359f7340	2020-04-05	11:44:23+0200	1	1
419fea60917e49d9897bd7965a8bc460	2020-04-05	11:44:23+0200	1	1
e9840d76a1cc45a7bc502866595f9b80	2020-04-05	11:44:24+0200	1	1
16260261185e4618b2da951889727870	2020-04-05	11:44:24+0200	1	1
c917d24716c844b38448dccdf645c020	2020-04-05	11:44:24+0200	1	1
a8b34ba9daeb4eb4ba19f8f90fdaa0b0	2020-04-05	11:44:24+0200	1	1
