ИД	ВРСТА_КАРТЕ	ПИТАЊЕ	ОДГОВОР	ИЗВОР	ЛИНИЈА
dc975a5ac5f24e30bf9a3fb8b7a42270	ТИП1	пи3670435875263479	од481034905733317	тест_без_линкова/извор/aaa	2
e9840d76a1cc45a7bc502866595f9b80	ТИП1	пи8722022421732689	од9624763672036872	тест_без_линкова/извор/aaa	3
64cfb8ee69d74de196260a7c7b6b90e0	ТИП1	пи5914912526325582	од6809622483136448	тест_без_линкова/извор/aaa	4
c0f6271ef7de4ae68050f48a359f7340	ТИП1	пи2873691874244707	од4910443657870103	тест_без_линкова/извор/aaa	5
419fea60917e49d9897bd7965a8bc460	ТИП1	пи30223905107765203	од036969056426380265	тест_без_линкова/извор/aaa	6
0bb3a79ca0954986aabdbf2671ebfed0	ТИП1	пи13708533206897122	од8859883228551002	тест_без_линкова/извор/aaa	7
16260261185e4618b2da951889727870	ТИП1	пи04364743037886476	од12368678086321727	тест_без_линкова/извор/aaa	8
d1beae437bb94970b60b4a66106221c0	ТИП1	пи986519595903231	од11165415527014544	тест_без_линкова/извор/aaa	9
1af60f7a9d38405eb0b4e67ec910b7e0	ТИП1	пи3497771852696405	од8346315486058847	тест_без_линкова/извор/aaa	10
574d5becc5244f109fafdb5c5a1639d0	ТИП1	пи23703056997356142	од9510001399211392	тест_без_линкова/извор/aaa	11
dc975a5ac5f24e30bf9a3fb8b7a42271	ТИП2	пи8216407245662262	од7602122025479556	тест_без_линкова/извор/aaa	2
e9840d76a1cc45a7bc502866595f9b81	ТИП2	пи26975962080351235	од5259889054867332	тест_без_линкова/извор/aaa	3
64cfb8ee69d74de196260a7c7b6b90e1	ТИП2	пи5862685496343089	од9589499302529106	тест_без_линкова/извор/aaa	4
c0f6271ef7de4ae68050f48a359f7341	ТИП2	пи7930523853678828	од9288935729100543	тест_без_линкова/извор/aaa	5
419fea60917e49d9897bd7965a8bc461	ТИП2	пи29280774059076975	од256346539604435	тест_без_линкова/извор/aaa	6
0bb3a79ca0954986aabdbf2671ebfed1	ТИП2	пи21864421895286024	од5256092774415139	тест_без_линкова/извор/aaa	7
16260261185e4618b2da951889727871	ТИП2	пи4711381584981913	од48249020505067663	тест_без_линкова/извор/aaa	8
d1beae437bb94970b60b4a66106221c1	ТИП2	пи9783877264695269	од6410028824230265	тест_без_линкова/извор/aaa	9
1af60f7a9d38405eb0b4e67ec910b7e1	ТИП2	пи5171137342760966	од03301477906458394	тест_без_линкова/извор/aaa	10
574d5becc5244f109fafdb5c5a1639d1	ТИП2	пи9144605357020537	од21759891906448758	тест_без_линкова/извор/aaa	11
dc975a5ac5f24e30bf9a3fb8b7a42272	ТИП3	пи12195629055815027	од39940744673530915	тест_без_линкова/извор/aaa	2
e9840d76a1cc45a7bc502866595f9b82	ТИП3	пи7862637151447055	од9045278901887945	тест_без_линкова/извор/aaa	3
64cfb8ee69d74de196260a7c7b6b90e2	ТИП3	пи9102186243682999	од8908373853848117	тест_без_линкова/извор/aaa	4
c0f6271ef7de4ae68050f48a359f7342	ТИП3	пи17491655934307393	од5282575890216953	тест_без_линкова/извор/aaa	5
419fea60917e49d9897bd7965a8bc462	ТИП3	пи19180101378717385	од5775043467541882	тест_без_линкова/извор/aaa	6
0bb3a79ca0954986aabdbf2671ebfed2	ТИП3	пи5407026068112296	од36011113752317225	тест_без_линкова/извор/aaa	7
16260261185e4618b2da951889727872	ТИП3	пи6983224411302615	од1949106761846543	тест_без_линкова/извор/aaa	8
d1beae437bb94970b60b4a66106221c2	ТИП3	пи26430028385615423	од19973010007150083	тест_без_линкова/извор/aaa	9
1af60f7a9d38405eb0b4e67ec910b7e2	ТИП3	пи5147032475008771	од4787921688657638	тест_без_линкова/извор/aaa	10
574d5becc5244f109fafdb5c5a1639d2	ТИП3	пи2231205283075609	од26539099512766673	тест_без_линкова/извор/aaa	11
dc975a5ac5f24e30bf9a3fb8b7a42273	ТИП4	пи4076298489324176	од6100706803956734	тест_без_линкова/извор/aaa	2
e9840d76a1cc45a7bc502866595f9b83	ТИП4	пи4949897544404924	од03195676651188295	тест_без_линкова/извор/aaa	3
64cfb8ee69d74de196260a7c7b6b90e3	ТИП4	пи1822189563020381	од7698924575175815	тест_без_линкова/извор/aaa	4
c0f6271ef7de4ae68050f48a359f7343	ТИП4	пи6632219600265147	од962261041570968	тест_без_линкова/извор/aaa	5
419fea60917e49d9897bd7965a8bc463	ТИП4	пи8215823211099486	од4127382012442611	тест_без_линкова/извор/aaa	6
0bb3a79ca0954986aabdbf2671ebfed3	ТИП4	пи4562603103394163	од45988094932573076	тест_без_линкова/извор/aaa	7
16260261185e4618b2da951889727873	ТИП4	пи9707403298973026	од535954363400873	тест_без_линкова/извор/aaa	8
d1beae437bb94970b60b4a66106221c3	ТИП4	пи07118163796466648	од5027554161096668	тест_без_линкова/извор/aaa	9
1af60f7a9d38405eb0b4e67ec910b7e3	ТИП4	пи24984009792820028	од6642492437572546	тест_без_линкова/извор/aaa	10
574d5becc5244f109fafdb5c5a1639d3	ТИП4	пи8702569526363304	од8961379625583947	тест_без_линкова/извор/aaa	11
4c4e70900e8c40778576c93e74c42eb0	ТИП1	пи4948243650084654	од9497469422534692	тест_без_линкова/извор/bbb	2
c917d24716c844b38448dccdf645c020	ТИП1	пи48062315027617986	од12261204116100477	тест_без_линкова/извор/bbb	3
a8b34ba9daeb4eb4ba19f8f90fdaa0b0	ТИП1	пи5444319739422673	од031694271503305615	тест_без_линкова/извор/bbb	4
5e8dadf80f0f4e8cb1880e165d46a980	ТИП1	пи1416384565779535	од6208603415037124	тест_без_линкова/извор/bbb	5
53b1890333c34095bfe7b1f06d646210	ТИП1	пи6382402026380609	од18269700544981904	тест_без_линкова/извор/bbb	6
4c4e70900e8c40778576c93e74c42eb1	ТИП2	пи7999992832996338	од5087887114354165	тест_без_линкова/извор/bbb	2
c917d24716c844b38448dccdf645c021	ТИП2	пи2792831022114519	од9612589620686499	тест_без_линкова/извор/bbb	3
a8b34ba9daeb4eb4ba19f8f90fdaa0b1	ТИП2	пи16299995803956502	од5233971075027256	тест_без_линкова/извор/bbb	4
5e8dadf80f0f4e8cb1880e165d46a981	ТИП2	пи17077012610036257	од52314551812513	тест_без_линкова/извор/bbb	5
53b1890333c34095bfe7b1f06d646211	ТИП2	пи832622456185365	од42607787743593406	тест_без_линкова/извор/bbb	6
4c4e70900e8c40778576c93e74c42eb2	ТИП3	пи9476341626468707	од06702252274628417	тест_без_линкова/извор/bbb	2
c917d24716c844b38448dccdf645c022	ТИП3	пи36811351829500716	од5748548776780392	тест_без_линкова/извор/bbb	3
a8b34ba9daeb4eb4ba19f8f90fdaa0b2	ТИП3	пи5681356810627416	од4481836585232747	тест_без_линкова/извор/bbb	4
5e8dadf80f0f4e8cb1880e165d46a982	ТИП3	пи5735842827972429	од09327493296384204	тест_без_линкова/извор/bbb	5
53b1890333c34095bfe7b1f06d646212	ТИП3	пи6544313301220932	од9446251435577809	тест_без_линкова/извор/bbb	6
4c4e70900e8c40778576c93e74c42eb3	ТИП4	пи9830189609645957	од8703283913612294	тест_без_линкова/извор/bbb	2
c917d24716c844b38448dccdf645c023	ТИП4	пи5955895933783225	од7512634554795143	тест_без_линкова/извор/bbb	3
a8b34ba9daeb4eb4ba19f8f90fdaa0b3	ТИП4	пи43011382252093344	од6419259849596382	тест_без_линкова/извор/bbb	4
5e8dadf80f0f4e8cb1880e165d46a983	ТИП4	пи9612673308291448	од2897938405128829	тест_без_линкова/извор/bbb	5
53b1890333c34095bfe7b1f06d646213	ТИП4	пи04702866454887367	од8782200628870663	тест_без_линкова/извор/bbb	6
4c4e70900e8c40778576c93e74c42eb4	ТИП5	пи04117331904124566	од2421537056721238	тест_без_линкова/извор/bbb	2
c917d24716c844b38448dccdf645c024	ТИП5	пи8981075502291341	од6762178917414537	тест_без_линкова/извор/bbb	3
a8b34ba9daeb4eb4ba19f8f90fdaa0b4	ТИП5	пи8072585075069475	од15286077188666414	тест_без_линкова/извор/bbb	4
5e8dadf80f0f4e8cb1880e165d46a984	ТИП5	пи7144986765549596	од5347478787296207	тест_без_линкова/извор/bbb	5
53b1890333c34095bfe7b1f06d646214	ТИП5	пи7879966374460952	од5056480063877379	тест_без_линкова/извор/bbb	6
4c4e70900e8c40778576c93e74c42eb5	ТИП6	пи09222415236874848	од5523614692449128	тест_без_линкова/извор/bbb	2
c917d24716c844b38448dccdf645c025	ТИП6	пи43048873721087055	од43619166874219717	тест_без_линкова/извор/bbb	3
a8b34ba9daeb4eb4ba19f8f90fdaa0b5	ТИП6	пи17496262423638054	од6237796071331023	тест_без_линкова/извор/bbb	4
5e8dadf80f0f4e8cb1880e165d46a985	ТИП6	пи8500892238073575	од7443312898884342	тест_без_линкова/извор/bbb	5
53b1890333c34095bfe7b1f06d646215	ТИП6	пи08376448064350361	од3753564095460872	тест_без_линкова/извор/bbb	6
4c4e70900e8c40778576c93e74c42eb6	ТИП7	пи6524346651911486	од3237894684171001	тест_без_линкова/извор/bbb	2
c917d24716c844b38448dccdf645c026	ТИП7	пи5693809961133331	од359878417036685	тест_без_линкова/извор/bbb	3
a8b34ba9daeb4eb4ba19f8f90fdaa0b6	ТИП7	пи20947494148362245	од6428295737175106	тест_без_линкова/извор/bbb	4
5e8dadf80f0f4e8cb1880e165d46a986	ТИП7	пи7774474244197899	од6183690138727629	тест_без_линкова/извор/bbb	5
53b1890333c34095bfe7b1f06d646216	ТИП7	пи7488261795466072	од3240425796331048	тест_без_линкова/извор/bbb	6
