КАРТА_ИД	ДАТУМ_ПРЕГЛЕДА	ВРЕМЕ_ПРЕГЛЕДА	РЕЗУЛТАТ_ПРЕГЛЕДА	НОВИ_ИНТЕРВАЛ
5cc4bf8b6d7e47e1ab4fb8b30e354060	2020-04-05	11:43:29+0200	1	1
750c708b9b344eaab89a3571ea066af0	2020-04-05	11:43:29+0200	1	1
c8946fd2f40c4eee94fc3517716e66a0	2020-04-05	11:43:29+0200	1	1
899b0daf12144f8085ec24a19e12fba0	2020-04-05	11:43:29+0200	1	1
17de2a125c62416b9c272eeecf0a4bf0	2020-04-05	11:43:29+0200	1	1
56f69643ac634a919dfa3e2ea3f88380	2020-04-05	11:43:30+0200	1	1
779a7d737ecc4deabe7f4d14ed290200	2020-04-05	11:43:30+0200	1	1
c99f313b24e64628b2f90a250a0157d0	2020-04-05	11:43:30+0200	1	1
859191a55051465f932a2bfb3118a6b0	2020-04-05	11:43:30+0200	1	1
566a4b22b0624e3eb0cd5d7f99ca9990	2020-04-05	11:43:30+0200	1	1
899b0daf12144f8085ec24a19e12fba1	2020-04-05	11:43:30+0200	1	1
566a4b22b0624e3eb0cd5d7f99ca9991	2020-04-05	11:43:30+0200	1	1
8e21ea747fbc4d47bb94a4b91c7f4c11	2020-04-05	11:43:30+0200	1	1
00f84f0f47bc47599d9776344c66d971	2020-04-05	11:43:30+0200	1	1
c99f313b24e64628b2f90a250a0157d1	2020-04-05	11:43:30+0200	1	1
52874fcf38784cc2ab70f238c8032251	2020-04-05	11:43:30+0200	1	1
750c708b9b344eaab89a3571ea066af1	2020-04-05	11:43:31+0200	1	1
b35e9e6522cc45cbbe5e838fc8371a21	2020-04-05	11:43:31+0200	1	1
17de2a125c62416b9c272eeecf0a4bf1	2020-04-05	11:43:31+0200	1	1
566a4b22b0624e3eb0cd5d7f99ca9992	2020-04-05	11:43:31+0200	1	1
750c708b9b344eaab89a3571ea066af2	2020-04-05	11:43:31+0200	1	1
779a7d737ecc4deabe7f4d14ed290202	2020-04-05	11:43:31+0200	1	1
c8946fd2f40c4eee94fc3517716e66a2	2020-04-05	11:43:31+0200	1	1
859191a55051465f932a2bfb3118a6b2	2020-04-05	11:43:31+0200	1	1
56f69643ac634a919dfa3e2ea3f88382	2020-04-05	11:43:31+0200	1	1
17de2a125c62416b9c272eeecf0a4bf2	2020-04-05	11:43:31+0200	1	1
899b0daf12144f8085ec24a19e12fba2	2020-04-05	11:43:31+0200	1	1
c99f313b24e64628b2f90a250a0157d2	2020-04-05	11:43:31+0200	1	1
5cc4bf8b6d7e47e1ab4fb8b30e354062	2020-04-05	11:43:31+0200	1	1
