ИД	ВРСТА_КАРТЕ	ПИТАЊЕ	ОДГОВОР	ИЗВОР	ЛИНИЈА
f608b3a916f3407ab1621a96fea10e80	ТИП1	пи9247699794209676	од6359229396680347	тест_одрађено_пола/извор/aaa	2
cc70f3a9ef684346bca776117c0a2d30	ТИП1	пи23137151234068376	од17006477264529718	тест_одрађено_пола/извор/aaa	3
00faa96541d54963854ef004b929f260	ТИП1	пи9065989718032913	од6044920918932644	тест_одрађено_пола/извор/aaa	4
fb86e858c36e4928a7cf5bde4780e700	ТИП1	пи7553422736234494	од32569507581274304	тест_одрађено_пола/извор/aaa	5
95a7255d2d6b4a89abe9e391c9f7bf80	ТИП1	пи9863619401289624	од7420832209366228	тест_одрађено_пола/извор/aaa	6
30fc1d334c4047218bf57850b17cf2e0	ТИП1	пи5000642366822318	од43873508795119665	тест_одрађено_пола/извор/aaa	7
ddc66bc1b00048b6a84720256638ddd0	ТИП1	пи6034558063568871	од9669184468957336	тест_одрађено_пола/извор/aaa	8
f3d3d19075114612a0db2073160b8210	ТИП1	пи8052426647379073	од7340180571255139	тест_одрађено_пола/извор/aaa	9
fcea829f0e424a72823a632f087973f0	ТИП1	пи6931490543384942	од977283405800959	тест_одрађено_пола/извор/aaa	10
0fa6405906c04ac683c2335bc9dd03b0	ТИП1	пи6662905909440483	од051694335153807724	тест_одрађено_пола/извор/aaa	11
843bdce4d78a41daa321e99d605f3bd0	ТИП1	пи1384532891643202	од6129396803862706	тест_одрађено_пола/извор/aaa	12
48a7d44dc9d24f4c969500aaecff0270	ТИП1	пи9360298543466751	од11598682994677623	тест_одрађено_пола/извор/aaa	13
7258ab68bc59494580768d4f273b3840	ТИП1	пи8107689698751647	од22868953334954212	тест_одрађено_пола/извор/aaa	14
fb545e6a1e7b435fbae4e2658d9dd4d0	ТИП1	пи9537406136102348	од7052166010036581	тест_одрађено_пола/извор/aaa	15
0b612f8185ce4f9eab8b3611c2f5eab0	ТИП1	пи8031050440292951	од014970002003548588	тест_одрађено_пола/извор/aaa	16
d3ef5c8817a24ee9af10e12118afe5c0	ТИП1	пи4532819533057191	од14889494988907814	тест_одрађено_пола/извор/aaa	17
f74b44c50e974b33bd8e9ad91066d210	ТИП1	пи005462167297247134	од1259606666942391	тест_одрађено_пола/извор/aaa	18
90ac3ef66dc94e5d907f6f4904b18720	ТИП1	пи8949646407430331	од738256244468622	тест_одрађено_пола/извор/aaa	19
2c43773d633f43b88eb55780b9a26e90	ТИП1	пи9887827286063635	од8182839116624182	тест_одрађено_пола/извор/aaa	20
7c8e499e9d03402ab650a60e8ecb22a0	ТИП1	пи6760570403724272	од5830321501174951	тест_одрађено_пола/извор/aaa	21
72b80507e98749218abb5ca3d60c8fe0	ТИП1	пи3879025354161907	од5488712858058061	тест_одрађено_пола/извор/aaa	22
5475e5887d884ddb9f0077c88e5ae7d0	ТИП1	пи38954174316805723	од39673649417546075	тест_одрађено_пола/извор/aaa	23
8676cb0e73f04042983e6e0026e35ee0	ТИП1	пи883870107200098	од8395694218543239	тест_одрађено_пола/извор/aaa	24
7d770157d266461eaf5e289590cbd6c0	ТИП1	пи2887140122968437	од5385011252524734	тест_одрађено_пола/извор/aaa	25
b3337fb3747245828c2cbe55630df770	ТИП1	пи5280161942744338	од34834401913013824	тест_одрађено_пола/извор/aaa	26
69e56269efe34915a2191616ec8fda50	ТИП1	пи055553718166915456	од7955615839971852	тест_одрађено_пола/извор/aaa	27
380ed1fc6404412cb77b1677e3ebe830	ТИП1	пи4472907038887204	од5693318026602525	тест_одрађено_пола/извор/aaa	28
548ffe39760e476ea58ccc8647b396b0	ТИП1	пи9157087909815946	од0124685147759378	тест_одрађено_пола/извор/aaa	29
415bb932598e414499d25bb4e7123b40	ТИП1	пи16570164794535813	од38685587654529774	тест_одрађено_пола/извор/aaa	30
cf65e68521a84224bb2affff86f09730	ТИП1	пи9689099169869182	од03049125057169777	тест_одрађено_пола/извор/aaa	31
a64df5896d89480ca44c23ad406226f0	ТИП1	пи1781650971458958	од8439715701092643	тест_одрађено_пола/извор/aaa	32
f6c625e823a145cbbd917c5e3fa2a3b0	ТИП1	пи29569198255691753	од47577032741746417	тест_одрађено_пола/извор/aaa	33
0a29b84d6cf74b37bc4cab1316876620	ТИП1	пи034818372109670204	од8767467614153278	тест_одрађено_пола/извор/aaa	34
d55d718543e44745920956b9b42cc650	ТИП1	пи5880985627153792	од9355518227773086	тест_одрађено_пола/извор/aaa	35
2b25e468880f4041a4603c83474165c0	ТИП1	пи6942796338610511	од2971044558683026	тест_одрађено_пола/извор/aaa	36
8ab4ffadede94147afe602b5e3489830	ТИП1	пи9548635194753996	од1265211006407031	тест_одрађено_пола/извор/aaa	37
7cb059779dc842948516353e8424c390	ТИП1	пи872784532019691	од877328797723253	тест_одрађено_пола/извор/aaa	38
b3550ded83a243649741a865361c4ec0	ТИП1	пи29215101526283793	од8453387147853942	тест_одрађено_пола/извор/aaa	39
fca71efb35f14f03877a6dca4f437210	ТИП1	пи5324352337612215	од1955755186036503	тест_одрађено_пола/извор/aaa	40
8a11093509b14f9bbd6e38795f144530	ТИП1	пи771748617636988	од11685912348400374	тест_одрађено_пола/извор/aaa	41
2527204be5b14e18bd39062e683a6700	ТИП1	пи985476217161784	од30085871771564854	тест_одрађено_пола/извор/aaa	42
c0ed5ebb74af44e595b2583a9b674cb0	ТИП1	пи6954835716265122	од7559918071588619	тест_одрађено_пола/извор/aaa	43
