ИД	ВРСТА_КАРТЕ	ПИТАЊЕ	ОДГОВОР	ИЗВОР	ЛИНИЈА
899b860d69cb468da7d33a63956735a0	ТИП1	пи6841636247601838	од09468188386726772	тест_све/извор/aaa	2
edf47b9029e44a08ba31bf6db9147090	ТИП1	пи30781051419538175	од04670067834761282	тест_све/извор/aaa	3
4187a8840915446eaf3f424a65d1a6f0	ТИП1	пи5630353910511202	од9246753327962056	тест_све/извор/aaa	4
96e080a91449430cad6e7b65abafe950	ТИП1	пи5948327700559167	од7697826707190932	тест_све/извор/aaa	5
7536da7ff89a4a2889bd7ac574492680	ТИП1	пи3149259339659928	од8172744637324815	тест_све/извор/aaa	6
64822fed9dc34923838e1276d937b2b0	ТИП1	пи09498854362874742	од18413216498010765	тест_све/извор/aaa	7
e58728cfbc1a4d10884340859e24b460	ТИП1	пи12293044873623382	од5350766679820409	тест_све/извор/aaa	8
3025a4c8f94b48f8b6abaab68c322ba0	ТИП1	пи30432771206401277	од5512015404211185	тест_све/извор/aaa	9
e6746c6b584848ed8b3e81ea1f37efa0	ТИП1	пи3749760278645683	од7240247921186473	тест_све/извор/aaa	10
f21440d425ad40a78c02b67437312a40	ТИП1	пи5898035760925874	од14499676569142783	тест_све/извор/aaa	11
185291fe88894d3f9140178b24d29660	ТИП1	пи896633045313988	од06656519826797125	тест_све/извор/aaa	12
f3d58599f8e1473290823ce8c5531a90	ТИП1	пи00788741008139382	од49200979058570304	тест_све/извор/aaa	13
e9598fcfa5b84a308147d1235d3a3930	ТИП1	пи4751484170106225	од6180492531769878	тест_све/извор/aaa	14
ba21cc49e4b644e3b33e16da49f15800	ТИП1	пи7775131894271483	од2739955719883097	тест_све/извор/aaa	15
37233d5d6d7f4cdaac4624c70ccdd650	ТИП1	пи22854525479471322	од6473950236522111	тест_све/извор/aaa	16
0778c093fafb403ba78d626628857310	ТИП1	пи6636446065091631	од8493434740890673	тест_све/извор/aaa	17
7739464280d34ee1aa77de63035c5550	ТИП1	пи2309607639346457	од1342394890526465	тест_све/извор/aaa	18
6e7abd6941fb41368138aec7a2493c90	ТИП1	пи9623574733023645	од22090398984776483	тест_све/извор/aaa	19
a53f14db768f4511a5542cd05f7b61f0	ТИП1	пи8580887477591056	од9338799548384197	тест_све/извор/aaa	20
f4dede0020d0423fbb55d537c0df24d0	ТИП1	пи1013209753668054	од19537137670810578	тест_све/извор/aaa	21
90d99139954d415c82fc38853c4633d0	ТИП1	пи9409900976138315	од08805553254290965	тест_све/извор/aaa	22
ea1076143dc349f1af7bff1a8ee193e0	ТИП1	пи7667243816584639	од20761450488268096	тест_све/извор/aaa	23
3d373ff92dae47f3abbcd2d576e53d30	ТИП1	пи6857183464444632	од8077600678740618	тест_све/извор/aaa	24
fb9925d21d22473b860893ea8a395680	ТИП1	пи4792885796368701	од0998517195668489	тест_све/извор/aaa	25
fc14944e95a643bcbd5db1ca0386e010	ТИП1	пи007544706554967084	од8334540193050557	тест_све/извор/aaa	26
76be4e71a41143d2ac70516a9aa61a10	ТИП1	пи5369738619988189	од30987866761265737	тест_све/извор/aaa	27
