ИД	ВРСТА_КАРТЕ	ПИТАЊЕ	ОДГОВОР	ИЗВОР	ЛИНИЈА
80ab2f6cbf7f4782904828bc0a8a8600	ТИП1	пи42222302301898007	од7986148649856653	тест_сви_неодрађени/извор/aaa	2
7312943520f445be857147c4ec8f2eb0	ТИП1	пи797044338734849	од5092358359580171	тест_сви_неодрађени/извор/aaa	3
d59b23b216264ad4b4dd595f62a17330	ТИП1	пи5524195998952381	од16608330094390455	тест_сви_неодрађени/извор/aaa	4
e242a032ee74409e916c14c503f50fb0	ТИП1	пи5154919359815676	од36269028028068073	тест_сви_неодрађени/извор/aaa	5
956418571eb64ca198d2e2bf02dc9710	ТИП1	пи9105101472520932	од7077785197393	тест_сви_неодрађени/извор/aaa	6
193f1fdea73a44c78c31acaeffa6f9d0	ТИП1	пи4371770624732799	од5677449653069268	тест_сви_неодрађени/извор/aaa	7
80ab2f6cbf7f4782904828bc0a8a8601	ТИП2	пи1280864210497582	од06707031831055255	тест_сви_неодрађени/извор/aaa	2
7312943520f445be857147c4ec8f2eb1	ТИП2	пи10800849154270475	од7774678413089479	тест_сви_неодрађени/извор/aaa	3
d59b23b216264ad4b4dd595f62a17331	ТИП2	пи7397951052841358	од45640468338719553	тест_сви_неодрађени/извор/aaa	4
e242a032ee74409e916c14c503f50fb1	ТИП2	пи5594142395943301	од572028376857024	тест_сви_неодрађени/извор/aaa	5
956418571eb64ca198d2e2bf02dc9711	ТИП2	пи44477537686570756	од05576021358137129	тест_сви_неодрађени/извор/aaa	6
193f1fdea73a44c78c31acaeffa6f9d1	ТИП2	пи5376458810474407	од6543156410621932	тест_сви_неодрађени/извор/aaa	7
80ab2f6cbf7f4782904828bc0a8a8602	ТИП3	пи8892744284748401	од3455104293741903	тест_сви_неодрађени/извор/aaa	2
7312943520f445be857147c4ec8f2eb2	ТИП3	пи13983701210638644	од8803768218882747	тест_сви_неодрађени/извор/aaa	3
d59b23b216264ad4b4dd595f62a17332	ТИП3	пи7769925143618686	од8744498261811702	тест_сви_неодрађени/извор/aaa	4
e242a032ee74409e916c14c503f50fb2	ТИП3	пи46206919174580685	од624864388984042	тест_сви_неодрађени/извор/aaa	5
956418571eb64ca198d2e2bf02dc9712	ТИП3	пи14798503986134626	од11619363041413966	тест_сви_неодрађени/извор/aaa	6
193f1fdea73a44c78c31acaeffa6f9d2	ТИП3	пи3145369924424162	од15496846822139165	тест_сви_неодрађени/извор/aaa	7
80ab2f6cbf7f4782904828bc0a8a8603	ТИП4	пи40407956677224954	од3910593990730791	тест_сви_неодрађени/извор/aaa	2
7312943520f445be857147c4ec8f2eb3	ТИП4	пи6270657672817057	од5209964320358752	тест_сви_неодрађени/извор/aaa	3
d59b23b216264ad4b4dd595f62a17333	ТИП4	пи1818391330198137	од8603242422629681	тест_сви_неодрађени/извор/aaa	4
e242a032ee74409e916c14c503f50fb3	ТИП4	пи1814402300997605	од18206337843712894	тест_сви_неодрађени/извор/aaa	5
956418571eb64ca198d2e2bf02dc9713	ТИП4	пи007025996784189803	од4353693710770167	тест_сви_неодрађени/извор/aaa	6
193f1fdea73a44c78c31acaeffa6f9d3	ТИП4	пи8127093249150994	од2519101096749813	тест_сви_неодрађени/извор/aaa	7
80ab2f6cbf7f4782904828bc0a8a8604	ТИП5	пи31977834552341	од39093581148843204	тест_сви_неодрађени/извор/aaa	2
7312943520f445be857147c4ec8f2eb4	ТИП5	пи9471932841873084	од9935371081242519	тест_сви_неодрађени/извор/aaa	3
d59b23b216264ad4b4dd595f62a17334	ТИП5	пи7254940824081346	од9087050723953605	тест_сви_неодрађени/извор/aaa	4
e242a032ee74409e916c14c503f50fb4	ТИП5	пи5614340768377897	од11349363106052479	тест_сви_неодрађени/извор/aaa	5
956418571eb64ca198d2e2bf02dc9714	ТИП5	пи4784633388353349	од7031031078383404	тест_сви_неодрађени/извор/aaa	6
193f1fdea73a44c78c31acaeffa6f9d4	ТИП5	пи49597616609281936	од5965181585474428	тест_сви_неодрађени/извор/aaa	7
80ab2f6cbf7f4782904828bc0a8a8605	ТИП6	пи5656021145041894	од34197697674768446	тест_сви_неодрађени/извор/aaa	2
7312943520f445be857147c4ec8f2eb5	ТИП6	пи3910134131797677	од21552513500670922	тест_сви_неодрађени/извор/aaa	3
d59b23b216264ad4b4dd595f62a17335	ТИП6	пи35165588289552263	од8993028718613325	тест_сви_неодрађени/извор/aaa	4
e242a032ee74409e916c14c503f50fb5	ТИП6	пи08833521344524786	од679539703263007	тест_сви_неодрађени/извор/aaa	5
956418571eb64ca198d2e2bf02dc9715	ТИП6	пи5665263023035554	од7589364792586187	тест_сви_неодрађени/извор/aaa	6
193f1fdea73a44c78c31acaeffa6f9d5	ТИП6	пи2153631205856289	од5314083339212964	тест_сви_неодрађени/извор/aaa	7
80ab2f6cbf7f4782904828bc0a8a8606	ТИП7	пи914142814853647	од8926784744821994	тест_сви_неодрађени/извор/aaa	2
7312943520f445be857147c4ec8f2eb6	ТИП7	пи20138121439965706	од3949037908285681	тест_сви_неодрађени/извор/aaa	3
d59b23b216264ad4b4dd595f62a17336	ТИП7	пи8826963688791892	од9072729259298241	тест_сви_неодрађени/извор/aaa	4
e242a032ee74409e916c14c503f50fb6	ТИП7	пи14269182596062857	од8656085530933403	тест_сви_неодрађени/извор/aaa	5
956418571eb64ca198d2e2bf02dc9716	ТИП7	пи4167432067786644	од8360027312913124	тест_сви_неодрађени/извор/aaa	6
193f1fdea73a44c78c31acaeffa6f9d6	ТИП7	пи4935076183489582	од9180003869081307	тест_сви_неодрађени/извор/aaa	7
80ab2f6cbf7f4782904828bc0a8a8607	ТИП8	пи5662357944043378	од6140138113795043	тест_сви_неодрађени/извор/aaa	2
7312943520f445be857147c4ec8f2eb7	ТИП8	пи21186235393079023	од8577734200522393	тест_сви_неодрађени/извор/aaa	3
d59b23b216264ad4b4dd595f62a17337	ТИП8	пи20618274796698632	од07035813308673211	тест_сви_неодрађени/извор/aaa	4
e242a032ee74409e916c14c503f50fb7	ТИП8	пи9912575749668863	од26432132816530785	тест_сви_неодрађени/извор/aaa	5
956418571eb64ca198d2e2bf02dc9717	ТИП8	пи611249811020043	од8747095563657254	тест_сви_неодрађени/извор/aaa	6
