КАРТА_ИД	ДАТУМ_ПРЕГЛЕДА	ВРЕМЕ_ПРЕГЛЕДА	РЕЗУЛТАТ_ПРЕГЛЕДА	НОВИ_ИНТЕРВАЛ
b9e9659b62fe492e91e7d44e8c97c3a0	2020-04-05	11:43:57+0200	1	1
3974e7fbfd234c559d8d16d1d826f9e0	2020-04-05	11:43:57+0200	1	1
a48e3602349746f5854f1e19f4359e20	2020-04-05	11:43:57+0200	1	1
7b226e046a0341728dcb6ebed53d24b0	2020-04-05	11:43:57+0200	1	1
3fd31d18860f48f9800d29466fa168a0	2020-04-05	11:43:57+0200	1	1
fde47dcf467947a190492d0254b35980	2020-04-05	11:43:57+0200	1	1
e42a71399d6248b6bafea663cbad0540	2020-04-05	11:43:57+0200	1	1
26059afc777540b48d9f7a3124b7fb20	2020-04-05	11:43:57+0200	1	1
780e30d7fc094e458ffd3a00310a20e0	2020-04-05	11:43:58+0200	1	1
991f183a56bf4045a7811909470a74c0	2020-04-05	11:43:58+0200	1	1
041b0d3aac7d4ad290742071413c0050	2020-04-05	11:43:58+0200	1	1
e407f867c63c49418b4a18efbf570620	2020-04-05	11:43:58+0200	1	1
671679f9244d4b29b7f006d5eb0cb690	2020-04-05	11:43:58+0200	1	1
24b2f1743b2d4c94a85483d6dc756100	2020-04-05	11:43:58+0200	1	1
5f8b92ac8b28441c8846155e5e866030	2020-04-05	11:43:58+0200	2	2
c3ea2c01505e404e91bbafc79ac86060	2020-04-05	11:43:58+0200	2	2
98227785b9d44d359c2ab651fcda3ad0	2020-04-05	11:43:58+0200	2	2
671679f9244d4b29b7f006d5eb0cb691	2020-04-05	11:43:58+0200	2	2
26059afc777540b48d9f7a3124b7fb21	2020-04-05	11:43:59+0200	2	2
5f8b92ac8b28441c8846155e5e866031	2020-04-05	11:43:59+0200	2	2
a48e3602349746f5854f1e19f4359e21	2020-04-05	11:43:59+0200	2	2
98227785b9d44d359c2ab651fcda3ad1	2020-04-05	11:43:59+0200	2	2
c3ea2c01505e404e91bbafc79ac86061	2020-04-05	11:43:59+0200	2	2
b9e9659b62fe492e91e7d44e8c97c3a1	2020-04-05	11:43:59+0200	2	2
24b2f1743b2d4c94a85483d6dc756101	2020-04-05	11:43:59+0200	2	2
a48e3602349746f5854f1e19f4359e22	2020-04-05	11:43:59+0200	2	2
b9e9659b62fe492e91e7d44e8c97c3a2	2020-04-05	11:43:59+0200	2	2
26059afc777540b48d9f7a3124b7fb22	2020-04-05	11:43:59+0200	2	2
98227785b9d44d359c2ab651fcda3ad2	2020-04-05	11:43:59+0200	1	1
24b2f1743b2d4c94a85483d6dc756102	2020-04-05	11:44:00+0200	1	1
671679f9244d4b29b7f006d5eb0cb692	2020-04-05	11:44:00+0200	1	1
c3ea2c01505e404e91bbafc79ac86062	2020-04-05	11:44:00+0200	1	1
5f8b92ac8b28441c8846155e5e866032	2020-04-05	11:44:00+0200	1	1
c3ea2c01505e404e91bbafc79ac86063	2020-04-05	11:44:00+0200	1	1
24b2f1743b2d4c94a85483d6dc756103	2020-04-05	11:44:00+0200	1	1
98227785b9d44d359c2ab651fcda3ad3	2020-04-05	11:44:00+0200	1	1
26059afc777540b48d9f7a3124b7fb23	2020-04-05	11:44:00+0200	1	1
a48e3602349746f5854f1e19f4359e23	2020-04-05	11:44:00+0200	1	1
b9e9659b62fe492e91e7d44e8c97c3a3	2020-04-05	11:44:00+0200	1	1
671679f9244d4b29b7f006d5eb0cb693	2020-04-05	11:44:00+0200	1	1
5f8b92ac8b28441c8846155e5e866033	2020-04-05	11:44:00+0200	1	1
a48e3602349746f5854f1e19f4359e24	2020-04-05	11:44:01+0200	2	2
c3ea2c01505e404e91bbafc79ac86064	2020-04-05	11:44:01+0200	2	2
98227785b9d44d359c2ab651fcda3ad4	2020-04-05	11:44:01+0200	2	2
26059afc777540b48d9f7a3124b7fb24	2020-04-05	11:44:01+0200	2	2
5f8b92ac8b28441c8846155e5e866034	2020-04-05	11:44:01+0200	2	2
671679f9244d4b29b7f006d5eb0cb694	2020-04-05	11:44:01+0200	0	0
b9e9659b62fe492e91e7d44e8c97c3a4	2020-04-05	11:44:01+0200	0	0
24b2f1743b2d4c94a85483d6dc756104	2020-04-05	11:44:01+0200	0	0
c3ea2c01505e404e91bbafc79ac86065	2020-04-05	11:44:02+0200	0	0
26059afc777540b48d9f7a3124b7fb25	2020-04-05	11:44:02+0200	0	0
b9e9659b62fe492e91e7d44e8c97c3a5	2020-04-05	11:44:02+0200	1	1
a48e3602349746f5854f1e19f4359e25	2020-04-05	11:44:02+0200	1	1
671679f9244d4b29b7f006d5eb0cb695	2020-04-05	11:44:02+0200	1	1
5f8b92ac8b28441c8846155e5e866035	2020-04-05	11:44:02+0200	1	1
24b2f1743b2d4c94a85483d6dc756105	2020-04-05	11:44:03+0200	2	2
98227785b9d44d359c2ab651fcda3ad5	2020-04-05	11:44:03+0200	2	2
