ИД	ВРСТА_КАРТЕ	ПИТАЊЕ	ОДГОВОР	ИЗВОР	ЛИНИЈА
780e30d7fc094e458ffd3a00310a20e0	ТИП1	пи20705372422858415	од11977489947091413	тест_сви_одрађени/извор/aaa	2
991f183a56bf4045a7811909470a74c0	ТИП1	пи746048971129823	од11858341694267283	тест_сви_одрађени/извор/aaa	3
e42a71399d6248b6bafea663cbad0540	ТИП1	пи3747570477764318	од058161766535324455	тест_сви_одрађени/извор/aaa	4
7b226e046a0341728dcb6ebed53d24b0	ТИП1	пи22061886685862964	од22815129224508413	тест_сви_одрађени/извор/aaa	5
041b0d3aac7d4ad290742071413c0050	ТИП1	пи6741213729016217	од23072641520493165	тест_сви_одрађени/извор/aaa	6
3974e7fbfd234c559d8d16d1d826f9e0	ТИП1	пи6840269447243146	од008983602790701206	тест_сви_одрађени/извор/aaa	7
e407f867c63c49418b4a18efbf570620	ТИП1	пи9579022733841654	од8814765043305649	тест_сви_одрађени/извор/aaa	8
fde47dcf467947a190492d0254b35980	ТИП1	пи6534439679844714	од5217175845011622	тест_сви_одрађени/извор/aaa	9
3fd31d18860f48f9800d29466fa168a0	ТИП1	пи9371796701986357	од597231474856806	тест_сви_одрађени/извор/aaa	10
5f8b92ac8b28441c8846155e5e866030	ТИП1	пи3423236498885184	од09323497152000282	тест_сви_одрађени/извор/bbb	2
98227785b9d44d359c2ab651fcda3ad0	ТИП1	пи3643363570324658	од9835132483843342	тест_сви_одрађени/извор/bbb	3
c3ea2c01505e404e91bbafc79ac86060	ТИП1	пи13827467155489426	од5767167472532926	тест_сви_одрађени/извор/bbb	4
671679f9244d4b29b7f006d5eb0cb690	ТИП1	пи02858554045273498	од9168118959761743	тест_сви_одрађени/извор/bbb	5
24b2f1743b2d4c94a85483d6dc756100	ТИП1	пи19031319849567674	од3525901997793067	тест_сви_одрађени/извор/bbb	6
26059afc777540b48d9f7a3124b7fb20	ТИП1	пи6387913473745771	од8635111481185949	тест_сви_одрађени/извор/bbb	7
b9e9659b62fe492e91e7d44e8c97c3a0	ТИП1	пи1588437913961841	од8901666807203117	тест_сви_одрађени/извор/bbb	8
a48e3602349746f5854f1e19f4359e20	ТИП1	пи07339422620008151	од9472864978501097	тест_сви_одрађени/извор/bbb	9
5f8b92ac8b28441c8846155e5e866031	ТИП2	пи8760875304469684	од056529596995968934	тест_сви_одрађени/извор/bbb	2
98227785b9d44d359c2ab651fcda3ad1	ТИП2	пи2859384419473838	од7752289731885071	тест_сви_одрађени/извор/bbb	3
c3ea2c01505e404e91bbafc79ac86061	ТИП2	пи6227224522518693	од5174038258464134	тест_сви_одрађени/извор/bbb	4
671679f9244d4b29b7f006d5eb0cb691	ТИП2	пи5882369124235679	од49734908276901235	тест_сви_одрађени/извор/bbb	5
24b2f1743b2d4c94a85483d6dc756101	ТИП2	пи799377698929595	од24260851770517722	тест_сви_одрађени/извор/bbb	6
26059afc777540b48d9f7a3124b7fb21	ТИП2	пи30694177830680636	од16147097203505056	тест_сви_одрађени/извор/bbb	7
b9e9659b62fe492e91e7d44e8c97c3a1	ТИП2	пи21041077275718878	од5141271924446046	тест_сви_одрађени/извор/bbb	8
